结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-14 14:19:24|algorithm5|2fold|College|0.02|{2, 4, 7}|17|3|1.0|0.9252991676330566|[0.93589744 0.92307692 0.90967742 0.91612903 0.89677419]|[0.93589744 0.91666667 0.92258065 0.93548387 0.89032258]|[0.94871795 0.91666667 0.89032258 0.93548387 0.88387097]|0.9163110008271298|0.9201902398676592|0.9150124069478908
2023-05-14 14:19:25|algorithm5|2fold|College|0.04|{2, 3, 4, 5, 7}|17|5|1.0|0.9158470630645752|[0.94871795 0.91666667 0.93548387 0.92903226 0.90322581]|[0.94871795 0.92948718 0.93548387 0.93548387 0.89677419]|[0.96153846 0.91025641 0.91612903 0.92903226 0.89677419]|0.9266253101736973|0.9291894127377999|0.9227460711331679
2023-05-14 14:19:26|algorithm5|2fold|College|0.06|{0, 1, 2}|17|3|0.6006441223832528|0.9674243927001953|[0.89102564 0.84615385 0.86451613 0.88387097 0.8516129 ]|[0.84615385 0.80128205 0.81935484 0.8516129  0.81935484]|[0.83974359 0.82692308 0.81935484 0.83225806 0.8516129 ]|0.8674358974358973|0.8275516956162118|0.8339784946236559
2023-05-14 14:19:27|algorithm5|2fold|College|0.08|{0, 1, 2}|17|3|0.6006441223832528|1.1261847019195557|[0.89102564 0.84615385 0.86451613 0.88387097 0.8516129 ]|[0.84615385 0.80128205 0.81935484 0.8516129  0.81935484]|[0.83974359 0.81410256 0.81935484 0.8516129  0.8516129 ]|0.8674358974358973|0.8275516956162118|0.8352853598014889
2023-05-14 14:19:28|algorithm5|2fold|College|0.1|{0, 1, 2}|17|3|0.6006441223832528|0.9750137329101562|[0.89102564 0.84615385 0.86451613 0.88387097 0.8516129 ]|[0.84615385 0.80128205 0.81935484 0.8516129  0.81935484]|[0.83974359 0.82692308 0.81935484 0.83225806 0.8516129 ]|0.8674358974358973|0.8275516956162118|0.8339784946236559
2023-05-14 14:19:29|algorithm5|2fold|College|0.12000000000000001|{0, 1, 2}|17|3|0.6006441223832528|1.0697662830352783|[0.89102564 0.84615385 0.86451613 0.88387097 0.8516129 ]|[0.84615385 0.80128205 0.81935484 0.8516129  0.81935484]|[0.83974359 0.81410256 0.81935484 0.8516129  0.8516129 ]|0.8674358974358973|0.8275516956162118|0.8352853598014889
2023-05-14 14:19:30|algorithm5|2fold|College|0.14|{0, 1, 2}|17|3|0.6006441223832528|1.0814142227172852|[0.89102564 0.84615385 0.86451613 0.88387097 0.8516129 ]|[0.84615385 0.80128205 0.81935484 0.8516129  0.81935484]|[0.83974359 0.81410256 0.81935484 0.82580645 0.84516129]|0.8674358974358973|0.8275516956162118|0.828833746898263
2023-05-14 14:19:32|algorithm5|2fold|College|0.16|{0, 1, 2}|17|3|0.6006441223832528|1.1449053287506104|[0.89102564 0.84615385 0.86451613 0.88387097 0.8516129 ]|[0.84615385 0.80128205 0.81935484 0.8516129  0.81935484]|[0.83974359 0.82692308 0.81935484 0.8516129  0.8516129 ]|0.8674358974358973|0.8275516956162118|0.8378494623655914
2023-05-14 14:19:33|algorithm5|2fold|College|0.18|{0, 1, 2}|17|3|0.6006441223832528|1.1474671363830566|[0.89102564 0.84615385 0.86451613 0.88387097 0.8516129 ]|[0.84615385 0.80128205 0.81935484 0.8516129  0.81935484]|[0.83974359 0.81410256 0.81935484 0.8516129  0.8516129 ]|0.8674358974358973|0.8275516956162118|0.8352853598014889
2023-05-14 14:19:34|algorithm5|2fold|College|0.19999999999999998|{0, 1, 2}|17|3|0.6006441223832528|1.2071301937103271|[0.89102564 0.84615385 0.86451613 0.88387097 0.8516129 ]|[0.84615385 0.80128205 0.81935484 0.8516129  0.81935484]|[0.83974359 0.81410256 0.81935484 0.8516129  0.8516129 ]|0.8674358974358973|0.8275516956162118|0.8352853598014889
2023-05-14 14:19:35|algorithm5|2fold|College|0.21999999999999997|{0, 1, 2}|17|3|0.6006441223832528|1.2472155094146729|[0.89102564 0.84615385 0.86451613 0.88387097 0.8516129 ]|[0.84615385 0.80128205 0.81935484 0.8516129  0.81935484]|[0.83974359 0.81410256 0.81935484 0.84516129 0.84516129]|0.8674358974358973|0.8275516956162118|0.8327047146401985
