结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-14 14:18:38|algorithm5|4fold|wdbc|0.02|{1, 3, 4}|30|3|1.0|0.383772611618042|[0.93859649 0.89473684 0.93859649 0.9122807  0.96460177]|[0.9122807  0.89473684 0.94736842 0.85087719 0.91150442]|[0.9122807  0.85964912 0.92982456 0.92982456 0.92035398]|0.9297624592454587|0.9033535165346995|0.9103865859338611
2023-05-14 14:18:39|algorithm5|4fold|wdbc|0.04|{24, 1, 2, 4}|30|4|1.0|0.4488215446472168|[0.95614035 0.90350877 0.95614035 0.92982456 0.95575221]|[0.92982456 0.92982456 0.96491228 0.92982456 0.94690265]|[0.90350877 0.85964912 0.96491228 0.88596491 0.96460177]|0.9402732494954199|0.9402577239559076|0.9157273715261605
2023-05-14 14:18:39|algorithm5|4fold|wdbc|0.06|{1, 2, 4, 8, 25}|30|5|1.0|0.47887134552001953|[0.95614035 0.90350877 0.95614035 0.93859649 0.94690265]|[0.93859649 0.93859649 0.94736842 0.89473684 0.95575221]|[0.9122807  0.92105263 0.93859649 0.89473684 0.92920354]|0.9402577239559076|0.935010091600683|0.9191740412979351
2023-05-14 14:18:40|algorithm5|4fold|wdbc|0.08|{0, 1, 4, 6, 7, 24}|30|6|1.0|0.5020229816436768|[0.96491228 0.92105263 0.93859649 0.95614035 0.96460177]|[0.93859649 0.95614035 0.94736842 0.92982456 0.96460177]|[0.9122807  0.92105263 0.92982456 0.92982456 0.92920354]|0.9490607048594939|0.9473063188945815|0.924437199192672
2023-05-14 14:18:40|algorithm5|4fold|wdbc|0.1|{0, 1, 2, 4, 7, 24, 8, 11}|30|8|1.0|0.5888056755065918|[0.94736842 0.92105263 0.95614035 0.93859649 0.97345133]|[0.94736842 0.95614035 0.95614035 0.93859649 0.96460177]|[0.92105263 0.9122807  0.93859649 0.92105263 0.92035398]|0.9473218444340941|0.9525694767893185|0.9226672876882471
2023-05-14 14:18:41|algorithm5|4fold|wdbc|0.12000000000000001|{1, 2, 4, 5, 6, 11, 24, 27}|30|8|1.0|0.6133978366851807|[0.94736842 0.92105263 0.94736842 0.94736842 0.95575221]|[0.92982456 0.94736842 0.94736842 0.94736842 0.96460177]|[0.92982456 0.92105263 0.93859649 0.90350877 0.95575221]|0.9437820214252444|0.9473063188945815|0.9297469337059463
2023-05-14 14:18:42|algorithm5|4fold|wdbc|0.14|{0, 1, 2, 5, 8, 11, 21, 24, 27}|30|9|1.0|0.6878314018249512|[0.94736842 0.94736842 0.97368421 0.93859649 0.97345133]|[0.96491228 0.94736842 0.97368421 0.96491228 0.97345133]|[0.94736842 0.92982456 0.92982456 0.92982456 0.9380531 ]|0.9560937742586555|0.9648657040832168|0.934979040521658
2023-05-14 14:18:43|algorithm5|4fold|wdbc|0.16|{1, 2, 5, 7, 9, 11, 16, 21, 24, 27}|30|10|1.0|1.0082752704620361|[0.94736842 0.92982456 0.95614035 0.93859649 0.95575221]|[0.93859649 0.94736842 0.96491228 0.94736842 0.97345133]|[0.94736842 0.89473684 0.93859649 0.89473684 0.96460177]|0.9455364073901569|0.9543393882937432|0.9280080732805466
2023-05-14 14:18:43|algorithm5|4fold|wdbc|0.18|{0, 1}|30|2|0.4|0.6396410465240479|[0.90350877 0.85087719 0.9122807  0.87719298 0.86725664]|[0.86842105 0.86842105 0.93859649 0.85087719 0.86725664]|[0.89473684 0.83333333 0.90350877 0.81578947 0.87610619]|0.8822232572581898|0.8787144853283652|0.8646949231485795
2023-05-14 14:18:44|algorithm5|4fold|wdbc|0.19999999999999998|{0, 1}|30|2|0.4|0.7277278900146484|[0.90350877 0.85087719 0.9122807  0.87719298 0.86725664]|[0.86842105 0.86842105 0.93859649 0.85087719 0.86725664]|[0.89473684 0.8245614  0.90350877 0.81578947 0.87610619]|0.8822232572581898|0.8787144853283652|0.8629405371836671
2023-05-14 14:18:45|algorithm5|4fold|wdbc|0.21999999999999997|{0, 1}|30|2|0.4|0.7396070957183838|[0.90350877 0.85087719 0.9122807  0.87719298 0.86725664]|[0.86842105 0.86842105 0.93859649 0.85087719 0.86725664]|[0.89473684 0.83333333 0.90350877 0.81578947 0.87610619]|0.8822232572581898|0.8787144853283652|0.8646949231485795
2023-05-14 14:18:46|algorithm5|4fold|wdbc|0.23999999999999996|{0, 1}|30|2|0.4|0.7682199478149414|[0.90350877 0.85087719 0.9122807  0.87719298 0.86725664]|[0.86842105 0.86842105 0.93859649 0.85087719 0.86725664]|[0.89473684 0.8245614  0.90350877 0.81578947 0.87610619]|0.8822232572581898|0.8787144853283652|0.8629405371836671
2023-05-14 14:18:47|algorithm5|4fold|wdbc|0.25999999999999995|{0, 1}|30|2|0.4|0.8909730911254883|[0.90350877 0.85087719 0.9122807  0.87719298 0.86725664]|[0.86842105 0.86842105 0.93859649 0.85087719 0.86725664]|[0.89473684 0.83333333 0.90350877 0.81578947 0.87610619]|0.8822232572581898|0.8787144853283652|0.8646949231485795
2023-05-14 14:18:48|algorithm5|4fold|wdbc|0.27999999999999997|{0, 1}|30|2|0.4|0.9449098110198975|[0.90350877 0.85087719 0.9122807  0.87719298 0.86725664]|[0.86842105 0.86842105 0.93859649 0.85087719 0.86725664]|[0.89473684 0.83333333 0.90350877 0.81578947 0.87610619]|0.8822232572581898|0.8787144853283652|0.8646949231485795
2023-05-14 14:18:49|algorithm5|4fold|wdbc|0.3|{0, 1}|30|2|0.4|1.0079660415649414|[0.90350877 0.85087719 0.9122807  0.87719298 0.86725664]|[0.86842105 0.86842105 0.93859649 0.85087719 0.86725664]|[0.89473684 0.8245614  0.90350877 0.81578947 0.87610619]|0.8822232572581898|0.8787144853283652|0.8629405371836671
2023-05-14 14:18:50|algorithm5|4fold|wdbc|0.32|{0, 1}|30|2|0.4|1.011948823928833|[0.90350877 0.85087719 0.9122807  0.87719298 0.86725664]|[0.86842105 0.86842105 0.93859649 0.85087719 0.86725664]|[0.89473684 0.8245614  0.90350877 0.81578947 0.87610619]|0.8822232572581898|0.8787144853283652|0.8629405371836671
2023-05-14 14:18:51|algorithm5|4fold|wdbc|0.34|{0, 1}|30|2|0.4|1.163170576095581|[0.90350877 0.85087719 0.9122807  0.87719298 0.86725664]|[0.86842105 0.86842105 0.93859649 0.85087719 0.86725664]|[0.89473684 0.8245614  0.90350877 0.81578947 0.87610619]|0.8822232572581898|0.8787144853283652|0.8629405371836671
2023-05-14 14:18:52|algorithm5|4fold|wdbc|0.36000000000000004|{0, 1}|30|2|0.4|1.0747036933898926|[0.90350877 0.85087719 0.9122807  0.87719298 0.86725664]|[0.86842105 0.86842105 0.93859649 0.85087719 0.86725664]|[0.89473684 0.8245614  0.90350877 0.81578947 0.87610619]|0.8822232572581898|0.8787144853283652|0.8629405371836671
2023-05-14 14:18:53|algorithm5|4fold|wdbc|0.38000000000000006|{0, 1}|30|2|0.4|1.021144151687622|[0.90350877 0.85087719 0.9122807  0.87719298 0.86725664]|[0.86842105 0.86842105 0.93859649 0.85087719 0.86725664]|[0.89473684 0.8245614  0.90350877 0.81578947 0.87610619]|0.8822232572581898|0.8787144853283652|0.8629405371836671
2023-05-14 14:18:54|algorithm5|4fold|wdbc|0.4000000000000001|{0, 1}|30|2|0.4|1.0457956790924072|[0.90350877 0.85087719 0.9122807  0.87719298 0.86725664]|[0.86842105 0.86842105 0.93859649 0.85087719 0.86725664]|[0.89473684 0.8245614  0.90350877 0.81578947 0.87610619]|0.8822232572581898|0.8787144853283652|0.8629405371836671
