结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-14 14:16:48|algorithm5|5fold|BreastTissue|0.02|{2, 3}|9|2|1.0|0.021000146865844727|[0.40909091 0.42857143 0.47619048 0.38095238 0.33333333]|[0.45454545 0.38095238 0.38095238 0.38095238 0.33333333]|[0.22727273 0.52380952 0.52380952 0.28571429 0.23809524]|0.40562770562770567|0.38614718614718613|0.35974025974025975
2023-05-14 14:16:48|algorithm5|5fold|BreastTissue|0.04|{2, 3, 4}|9|3|1.0|0.01100015640258789|[0.59090909 0.47619048 0.61904762 0.47619048 0.42857143]|[0.54545455 0.47619048 0.47619048 0.38095238 0.47619048]|[0.45454545 0.52380952 0.52380952 0.42857143 0.47619048]|0.5181818181818182|0.470995670995671|0.48138528138528136
2023-05-14 14:16:48|algorithm5|5fold|BreastTissue|0.06|{8, 2, 3, 6}|9|4|1.0|0.010002374649047852|[0.68181818 0.57142857 0.57142857 0.52380952 0.33333333]|[0.54545455 0.52380952 0.47619048 0.42857143 0.38095238]|[0.5        0.71428571 0.61904762 0.66666667 0.42857143]|0.5363636363636364|0.470995670995671|0.5857142857142856
2023-05-14 14:16:48|algorithm5|5fold|BreastTissue|0.08|{0, 1, 2, 3, 4, 6, 8}|9|7|1.0|0.009323835372924805|[0.68181818 0.57142857 0.61904762 0.61904762 0.57142857]|[0.68181818 0.66666667 0.57142857 0.57142857 0.47619048]|[0.68181818 0.57142857 0.61904762 0.71428571 0.47619048]|0.6125541125541126|0.5935064935064934|0.6125541125541126
2023-05-14 14:16:48|algorithm5|5fold|BreastTissue|0.1|{0, 1, 2, 3, 4, 6, 8}|9|7|0.9411764705882353|0.012000322341918945|[0.68181818 0.57142857 0.61904762 0.61904762 0.57142857]|[0.68181818 0.66666667 0.57142857 0.57142857 0.47619048]|[0.72727273 0.57142857 0.61904762 0.71428571 0.47619048]|0.6125541125541126|0.5935064935064934|0.6216450216450217
2023-05-14 14:16:48|algorithm5|5fold|BreastTissue|0.12000000000000001|{1, 2, 3, 6, 7, 8}|9|6|0.7529411764705882|0.010997772216796875|[0.68181818 0.57142857 0.61904762 0.52380952 0.52380952]|[0.63636364 0.66666667 0.57142857 0.57142857 0.42857143]|[0.68181818 0.52380952 0.71428571 0.76190476 0.38095238]|0.5839826839826839|0.5748917748917749|0.6125541125541125
2023-05-14 14:16:48|algorithm5|5fold|BreastTissue|0.14|{0, 1, 2, 3, 6, 7, 8}|9|7|0.6941176470588235|0.010998964309692383|[0.68181818 0.57142857 0.61904762 0.61904762 0.57142857]|[0.68181818 0.66666667 0.57142857 0.57142857 0.47619048]|[0.68181818 0.47619048 0.71428571 0.80952381 0.38095238]|0.6125541125541126|0.5935064935064934|0.6125541125541125
2023-05-14 14:16:48|algorithm5|5fold|BreastTissue|0.16|{0, 1, 2, 3, 6, 7, 8}|9|7|0.5882352941176471|0.011921882629394531|[0.68181818 0.57142857 0.61904762 0.61904762 0.57142857]|[0.68181818 0.66666667 0.57142857 0.57142857 0.47619048]|[0.68181818 0.47619048 0.71428571 0.80952381 0.42857143]|0.6125541125541126|0.5935064935064934|0.622077922077922
2023-05-14 14:16:48|algorithm5|5fold|BreastTissue|0.18|{0, 1, 2, 3, 4, 6, 7, 8}|9|8|0.5176470588235295|0.014129877090454102|[0.68181818 0.61904762 0.61904762 0.61904762 0.57142857]|[0.68181818 0.66666667 0.57142857 0.61904762 0.47619048]|[0.72727273 0.57142857 0.71428571 0.76190476 0.61904762]|0.6220779220779221|0.603030303030303|0.6787878787878788
2023-05-14 14:16:48|algorithm5|5fold|BreastTissue|0.19999999999999998|{0}|9|1|0.2|0.010999679565429688|[0.77272727 0.57142857 0.47619048 0.52380952 0.52380952]|[0.45454545 0.38095238 0.38095238 0.38095238 0.42857143]|[0.5        0.61904762 0.52380952 0.57142857 0.52380952]|0.5735930735930735|0.40519480519480516|0.5476190476190477
2023-05-14 14:16:48|algorithm5|5fold|BreastTissue|0.21999999999999997|{0}|9|1|0.2|0.011173009872436523|[0.77272727 0.57142857 0.47619048 0.52380952 0.52380952]|[0.45454545 0.38095238 0.38095238 0.38095238 0.42857143]|[0.5        0.61904762 0.52380952 0.57142857 0.52380952]|0.5735930735930735|0.40519480519480516|0.5476190476190477
2023-05-14 14:16:48|algorithm5|5fold|BreastTissue|0.23999999999999996|{0}|9|1|0.2|0.010860204696655273|[0.77272727 0.57142857 0.47619048 0.52380952 0.52380952]|[0.45454545 0.38095238 0.38095238 0.38095238 0.42857143]|[0.5        0.61904762 0.52380952 0.57142857 0.52380952]|0.5735930735930735|0.40519480519480516|0.5476190476190477
2023-05-14 14:16:48|algorithm5|5fold|BreastTissue|0.25999999999999995|{0}|9|1|0.2|0.010404348373413086|[0.77272727 0.57142857 0.47619048 0.52380952 0.52380952]|[0.45454545 0.38095238 0.38095238 0.38095238 0.42857143]|[0.5        0.61904762 0.52380952 0.57142857 0.52380952]|0.5735930735930735|0.40519480519480516|0.5476190476190477
2023-05-14 14:16:48|algorithm5|5fold|BreastTissue|0.27999999999999997|{0}|9|1|0.2|0.010573148727416992|[0.77272727 0.57142857 0.47619048 0.52380952 0.52380952]|[0.45454545 0.38095238 0.38095238 0.38095238 0.42857143]|[0.5        0.61904762 0.52380952 0.57142857 0.52380952]|0.5735930735930735|0.40519480519480516|0.5476190476190477
2023-05-14 14:16:48|algorithm5|5fold|BreastTissue|0.3|{0}|9|1|0.2|0.010515451431274414|[0.77272727 0.57142857 0.47619048 0.52380952 0.52380952]|[0.45454545 0.38095238 0.38095238 0.38095238 0.42857143]|[0.5        0.61904762 0.52380952 0.57142857 0.52380952]|0.5735930735930735|0.40519480519480516|0.5476190476190477
2023-05-14 14:16:48|algorithm5|5fold|BreastTissue|0.32|{0}|9|1|0.2|0.011668205261230469|[0.77272727 0.57142857 0.47619048 0.52380952 0.52380952]|[0.45454545 0.38095238 0.38095238 0.38095238 0.42857143]|[0.5        0.61904762 0.52380952 0.57142857 0.52380952]|0.5735930735930735|0.40519480519480516|0.5476190476190477
2023-05-14 14:16:48|algorithm5|5fold|BreastTissue|0.34|{0}|9|1|0.2|0.015941858291625977|[0.77272727 0.57142857 0.47619048 0.52380952 0.52380952]|[0.45454545 0.38095238 0.38095238 0.38095238 0.42857143]|[0.5        0.61904762 0.52380952 0.57142857 0.52380952]|0.5735930735930735|0.40519480519480516|0.5476190476190477
2023-05-14 14:16:48|algorithm5|5fold|BreastTissue|0.36000000000000004|{0}|9|1|0.2|0.012000083923339844|[0.77272727 0.57142857 0.47619048 0.52380952 0.52380952]|[0.45454545 0.38095238 0.38095238 0.38095238 0.42857143]|[0.5        0.61904762 0.52380952 0.57142857 0.52380952]|0.5735930735930735|0.40519480519480516|0.5476190476190477
