结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-14 14:17:21|algorithm5|5fold|movement|0.02|{3, 27, 4}|90|3|1.0|0.7589294910430908|[0.375      0.40277778 0.41666667 0.33333333 0.375     ]|[0.40277778 0.27777778 0.34722222 0.44444444 0.27777778]|[0.375      0.31944444 0.43055556 0.43055556 0.18055556]|0.38055555555555554|0.35|0.3472222222222222
2023-05-14 14:17:22|algorithm5|5fold|movement|0.04|{27, 1, 2, 26}|90|4|1.0|0.7424712181091309|[0.52777778 0.51388889 0.52777778 0.47222222 0.44444444]|[0.43055556 0.25       0.45833333 0.44444444 0.45833333]|[0.36111111 0.34722222 0.41666667 0.45833333 0.29166667]|0.4972222222222221|0.4083333333333333|0.375
2023-05-14 14:17:23|algorithm5|5fold|movement|0.06|{1, 2, 5, 42, 29}|90|5|1.0|0.789179801940918|[0.41666667 0.375      0.51388889 0.40277778 0.36111111]|[0.47222222 0.27777778 0.40277778 0.41666667 0.30555556]|[0.375      0.33333333 0.43055556 0.375      0.33333333]|0.4138888888888889|0.375|0.3694444444444444
2023-05-14 14:17:24|algorithm5|5fold|movement|0.08|{1, 2, 36, 22, 27, 61}|90|6|1.0|0.7675840854644775|[0.5        0.43055556 0.55555556 0.54166667 0.41666667]|[0.59722222 0.33333333 0.45833333 0.47222222 0.44444444]|[0.31944444 0.27777778 0.41666667 0.38888889 0.33333333]|0.4888888888888888|0.4611111111111111|0.3472222222222222
2023-05-14 14:17:25|algorithm5|5fold|movement|0.1|{1, 2, 40, 47, 57, 26, 29}|90|7|1.0|0.7642920017242432|[0.52777778 0.54166667 0.61111111 0.54166667 0.51388889]|[0.55555556 0.36111111 0.48611111 0.58333333 0.45833333]|[0.43055556 0.375      0.47222222 0.47222222 0.34722222]|0.5472222222222223|0.48888888888888893|0.41944444444444445
2023-05-14 14:17:25|algorithm5|5fold|movement|0.12000000000000001|{1, 12, 47, 20, 23, 57, 62, 31}|90|8|1.0|0.8442342281341553|[0.54166667 0.44444444 0.63888889 0.51388889 0.47222222]|[0.55555556 0.45833333 0.51388889 0.54166667 0.43055556]|[0.44444444 0.43055556 0.43055556 0.47222222 0.33333333]|0.5222222222222223|0.5|0.4222222222222222
2023-05-14 14:17:26|algorithm5|5fold|movement|0.14|{0, 1, 75, 14, 19, 84, 21, 56, 59}|90|9|1.0|0.9230713844299316|[0.52777778 0.51388889 0.56944444 0.43055556 0.45833333]|[0.48611111 0.48611111 0.625      0.54166667 0.41666667]|[0.34722222 0.29166667 0.38888889 0.43055556 0.33333333]|0.5|0.5111111111111111|0.3583333333333333
2023-05-14 14:17:27|algorithm5|5fold|movement|0.16|{0, 1, 27, 73, 42, 20, 25, 58, 59}|90|9|1.0|0.9375267028808594|[0.58333333 0.52777778 0.59722222 0.54166667 0.45833333]|[0.56944444 0.5        0.55555556 0.59722222 0.51388889]|[0.43055556 0.36111111 0.40277778 0.47222222 0.33333333]|0.5416666666666667|0.5472222222222223|0.4000000000000001
2023-05-14 14:17:28|algorithm5|5fold|movement|0.18|{0, 1, 5, 38, 45, 16, 53, 88, 26, 27}|90|10|1.0|0.9008369445800781|[0.58333333 0.48611111 0.68055556 0.55555556 0.51388889]|[0.58333333 0.40277778 0.5        0.54166667 0.5       ]|[0.45833333 0.25       0.375      0.38888889 0.45833333]|0.5638888888888889|0.5055555555555555|0.38611111111111107
2023-05-14 14:17:30|algorithm5|5fold|movement|0.19999999999999998|{0, 1, 2, 38, 8, 43, 15, 16, 80, 79, 53, 86, 27}|90|13|1.0|1.1165015697479248|[0.65277778 0.56944444 0.69444444 0.54166667 0.58333333]|[0.61111111 0.44444444 0.58333333 0.56944444 0.58333333]|[0.40277778 0.30555556 0.34722222 0.43055556 0.31944444]|0.6083333333333334|0.5583333333333333|0.3611111111111111
2023-05-14 14:17:31|algorithm5|5fold|movement|0.21999999999999997|{0, 3, 37, 40, 27, 44, 79, 20, 86, 23, 59, 62}|90|12|1.0|1.2026069164276123|[0.56944444 0.47222222 0.61111111 0.48611111 0.55555556]|[0.54166667 0.48611111 0.61111111 0.55555556 0.54166667]|[0.47222222 0.29166667 0.40277778 0.43055556 0.38888889]|0.538888888888889|0.5472222222222223|0.3972222222222222
2023-05-14 14:17:32|algorithm5|5fold|movement|0.23999999999999996|{0, 1, 2, 36, 59, 47, 48, 79, 81, 21, 22, 86, 27, 62}|90|14|1.0|0.987786054611206|[0.72222222 0.56944444 0.56944444 0.5        0.56944444]|[0.56944444 0.52777778 0.59722222 0.625      0.52777778]|[0.51388889 0.38888889 0.38888889 0.47222222 0.38888889]|0.586111111111111|0.5694444444444444|0.4305555555555555
2023-05-14 14:17:33|algorithm5|5fold|movement|0.25999999999999995|{1, 11, 12, 16, 81, 22, 23, 88, 28, 29, 36, 41, 53, 56, 62}|90|15|1.0|1.3831994533538818|[0.59722222 0.55555556 0.59722222 0.54166667 0.58333333]|[0.55555556 0.5        0.55555556 0.63888889 0.625     ]|[0.43055556 0.45833333 0.375      0.38888889 0.375     ]|0.575|0.575|0.40555555555555556
2023-05-14 14:17:35|algorithm5|5fold|movement|0.27999999999999997|{0, 64, 2, 9, 73, 15, 16, 81, 18, 86, 23, 88, 29, 38, 39, 57}|90|16|1.0|1.3525915145874023|[0.63888889 0.51388889 0.58333333 0.48611111 0.58333333]|[0.56944444 0.55555556 0.58333333 0.56944444 0.59722222]|[0.30555556 0.29166667 0.47222222 0.41666667 0.41666667]|0.5611111111111111|0.575|0.38055555555555565
2023-05-14 14:17:37|algorithm5|5fold|movement|0.3|{0, 1, 2, 73, 11, 12, 77, 16, 82, 83, 18, 23, 29, 34, 40, 41, 44, 55, 58, 59}|90|20|0.9965277777777778|1.6414546966552734|[0.63888889 0.51388889 0.61111111 0.54166667 0.56944444]|[0.625      0.52777778 0.65277778 0.625      0.56944444]|[0.375      0.43055556 0.36111111 0.45833333 0.30555556]|0.575|0.6|0.3861111111111111
2023-05-14 14:17:38|algorithm5|5fold|movement|0.32|{0, 1, 2, 3, 64, 5, 71, 11, 12, 15, 80, 16, 83, 26, 31, 33, 41, 44, 47, 54, 55, 57}|90|22|0.9930555555555556|1.607353925704956|[0.63888889 0.56944444 0.65277778 0.52777778 0.56944444]|[0.55555556 0.52777778 0.61111111 0.625      0.625     ]|[0.36111111 0.47222222 0.5        0.48611111 0.38888889]|0.5916666666666666|0.5888888888888889|0.4416666666666667
2023-05-14 14:17:40|algorithm5|5fold|movement|0.34|{1, 2, 70, 9, 73, 13, 78, 16, 18, 83, 23, 25, 31, 33, 36, 41, 47, 52, 53, 58, 59, 60}|90|22|0.9930555555555556|1.8971102237701416|[0.58333333 0.54166667 0.61111111 0.55555556 0.52777778]|[0.55555556 0.5        0.61111111 0.625      0.58333333]|[0.44444444 0.25       0.48611111 0.43055556 0.31944444]|0.5638888888888889|0.5750000000000001|0.3861111111111111
2023-05-14 14:17:43|algorithm5|5fold|movement|0.36000000000000004|{0, 1, 2, 77, 14, 15, 16, 17, 82, 20, 22, 23, 25, 89, 27, 32, 34, 37, 40, 42, 47, 48, 53, 57, 58, 59}|90|26|0.9930555555555556|2.1280276775360107|[0.63888889 0.5        0.69444444 0.52777778 0.55555556]|[0.63888889 0.55555556 0.61111111 0.63888889 0.55555556]|[0.40277778 0.31944444 0.41666667 0.47222222 0.41666667]|0.5833333333333334|0.6|0.40555555555555556
2023-05-14 14:17:45|algorithm5|5fold|movement|0.38000000000000006|{0, 1, 66, 3, 2, 68, 71, 8, 11, 14, 79, 18, 21, 88, 25, 89, 29, 31, 40, 41, 46, 47, 50, 53, 55, 57, 60}|90|27|0.9930555555555556|2.114863634109497|[0.63888889 0.56944444 0.65277778 0.54166667 0.55555556]|[0.52777778 0.66666667 0.63888889 0.625      0.63888889]|[0.45833333 0.375      0.48611111 0.56944444 0.34722222]|0.5916666666666666|0.6194444444444444|0.44722222222222224
2023-05-14 14:17:48|algorithm5|5fold|movement|0.4000000000000001|{0, 1, 2, 3, 68, 71, 11, 14, 79, 16, 18, 83, 21, 86, 23, 88, 28, 29, 33, 34, 35, 36, 39, 41, 42, 48, 55, 58, 63}|90|29|0.9930555555555556|2.522092819213867|[0.61111111 0.5        0.61111111 0.52777778 0.58333333]|[0.625      0.56944444 0.58333333 0.65277778 0.59722222]|[0.43055556 0.33333333 0.38888889 0.48611111 0.34722222]|0.5666666666666667|0.6055555555555555|0.39722222222222225
