结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-09 13:02:56|algorithm5|ori|Iris|0.02|{1, 3}|4|2|1.0|0.006012439727783203|[0.86666667 1.         1.         1.         0.93333333]|[0.9        1.         1.         0.96666667 0.93333333]|[0.86666667 1.         0.93333333 0.96666667 0.9       ]|0.96|0.96|0.9333333333333333
2023-05-09 13:02:56|algorithm5|ori|Iris|0.04|{1, 3}|4|2|1.0|0.005019664764404297|[0.86666667 1.         1.         1.         0.93333333]|[0.9        1.         1.         0.96666667 0.93333333]|[0.86666667 1.         0.93333333 0.96666667 0.9       ]|0.96|0.96|0.9333333333333333
2023-05-09 13:02:56|algorithm5|ori|Iris|0.06|{1, 2, 3}|4|3|0.98|0.0049898624420166016|[0.86666667 1.         1.         1.         0.96666667]|[0.9        1.         1.         0.96666667 0.93333333]|[0.93333333 1.         0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.96|0.9533333333333334
2023-05-09 13:02:56|algorithm5|ori|Iris|0.08|{1, 2, 3}|4|3|0.9733333333333334|0.005995750427246094|[0.86666667 1.         1.         1.         0.96666667]|[0.9        1.         1.         0.96666667 0.93333333]|[0.93333333 1.         0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.96|0.9533333333333334
2023-05-09 13:02:56|algorithm5|ori|Iris|0.1|{1, 2, 3}|4|3|0.9066666666666666|0.006027698516845703|[0.86666667 1.         1.         1.         0.96666667]|[0.9        1.         1.         0.96666667 0.93333333]|[0.93333333 1.         0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.96|0.9533333333333334
2023-05-09 13:02:56|algorithm5|ori|Iris|0.12000000000000001|{1, 2, 3}|4|3|0.8733333333333333|0.005997180938720703|[0.86666667 1.         1.         1.         0.96666667]|[0.9        1.         1.         0.96666667 0.93333333]|[0.93333333 1.         0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.96|0.9533333333333334
2023-05-09 13:02:56|algorithm5|ori|Iris|0.14|{1, 2, 3}|4|3|0.78|0.0070056915283203125|[0.86666667 1.         1.         1.         0.96666667]|[0.9        1.         1.         0.96666667 0.93333333]|[0.93333333 1.         0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.96|0.9533333333333334
2023-05-09 13:02:56|algorithm5|ori|Iris|0.16|{1, 2, 3}|4|3|0.7333333333333333|0.0069963932037353516|[0.86666667 1.         1.         1.         0.96666667]|[0.9        1.         1.         0.96666667 0.93333333]|[0.93333333 1.         0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.96|0.9533333333333334
2023-05-09 13:02:57|algorithm5|ori|Iris|0.18|{1, 2, 3}|4|3|0.6733333333333333|0.008043527603149414|[0.86666667 1.         1.         1.         0.96666667]|[0.9        1.         1.         0.96666667 0.93333333]|[0.93333333 1.         0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.96|0.9533333333333334
2023-05-09 13:02:57|algorithm5|ori|Iris|0.19999999999999998|{0, 1, 2, 3}|4|4|0.7133333333333334|0.008004903793334961|[0.9        1.         1.         0.96666667 0.96666667]|[0.9        1.         1.         0.96666667 0.96666667]|[0.93333333 0.96666667 0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.9666666666666666|0.9466666666666667
2023-05-09 13:02:57|algorithm5|ori|Iris|0.21999999999999997|{0, 1, 2, 3}|4|4|0.6666666666666666|0.008971929550170898|[0.9        1.         1.         0.96666667 0.96666667]|[0.9        1.         1.         0.96666667 0.96666667]|[0.93333333 0.96666667 0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.9666666666666666|0.9466666666666667
2023-05-09 13:02:57|algorithm5|ori|Iris|0.23999999999999996|{0, 1, 2, 3}|4|4|0.6266666666666667|0.008002758026123047|[0.9        1.         1.         0.96666667 0.96666667]|[0.9        1.         1.         0.96666667 0.96666667]|[0.93333333 1.         0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.9666666666666666|0.9533333333333334
2023-05-09 13:02:57|algorithm5|ori|Iris|0.25999999999999995|{0, 1, 2}|4|3|0.6|0.009010076522827148|[0.86666667 0.9        0.96666667 0.96666667 0.86666667]|[0.86666667 0.9        0.9        0.83333333 0.86666667]|[0.9        0.93333333 0.93333333 0.96666667 0.93333333]|0.9133333333333333|0.8733333333333334|0.9333333333333333
2023-05-09 13:02:57|algorithm5|ori|Iris|0.27999999999999997|{0, 1, 2}|4|3|0.6|0.00900578498840332|[0.86666667 0.9        0.96666667 0.96666667 0.86666667]|[0.86666667 0.9        0.9        0.83333333 0.86666667]|[0.9        0.93333333 0.93333333 0.96666667 0.93333333]|0.9133333333333333|0.8733333333333334|0.9333333333333333
2023-05-09 13:02:57|algorithm5|ori|Iris|0.3|{0, 1, 2}|4|3|0.6|0.009000539779663086|[0.86666667 0.9        0.96666667 0.96666667 0.86666667]|[0.86666667 0.9        0.9        0.83333333 0.86666667]|[0.9        0.93333333 0.93333333 0.96666667 0.93333333]|0.9133333333333333|0.8733333333333334|0.9333333333333333
2023-05-09 13:02:57|algorithm5|ori|Iris|0.32|{0, 1, 2, 3}|4|4|0.6|0.006013154983520508|[0.9        1.         1.         0.96666667 0.96666667]|[0.9        1.         1.         0.96666667 0.96666667]|[0.93333333 1.         0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.9666666666666666|0.9533333333333334
2023-05-09 13:02:57|algorithm5|ori|Iris|0.34|{0, 1, 2, 3}|4|4|0.6|0.007003307342529297|[0.9        1.         1.         0.96666667 0.96666667]|[0.9        1.         1.         0.96666667 0.96666667]|[0.93333333 0.96666667 0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.9666666666666666|0.9466666666666667
2023-05-09 13:02:57|algorithm5|ori|Iris|0.36000000000000004|{0, 1, 2, 3}|4|4|0.6|0.00698542594909668|[0.9        1.         1.         0.96666667 0.96666667]|[0.9        1.         1.         0.96666667 0.96666667]|[0.93333333 1.         0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.9666666666666666|0.9533333333333334
2023-05-09 13:02:57|algorithm5|ori|Iris|0.38000000000000006|{0, 1, 2, 3}|4|4|0.6|0.007004737854003906|[0.9        1.         1.         0.96666667 0.96666667]|[0.9        1.         1.         0.96666667 0.96666667]|[0.93333333 0.96666667 0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.9666666666666666|0.9466666666666667
2023-05-09 13:02:57|algorithm5|ori|Iris|0.4000000000000001|{0}|4|1|0.2|0.012038469314575195|[0.73333333 0.6        0.7        0.7        0.63333333]|[0.73333333 0.76666667 0.73333333 0.66666667 0.73333333]|[0.56666667 0.63333333 0.7        0.7        0.66666667]|0.6733333333333333|0.7266666666666667|0.6533333333333332
