结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-09 13:03:05|algorithm5|ori|Sonar|0.02|{0, 1, 3, 4}|60|4|1.0|0.2069995403289795|[0.71428571 0.61904762 0.5        0.46341463 0.65853659]|[0.54761905 0.52380952 0.42857143 0.43902439 0.65853659]|[0.69047619 0.64285714 0.52380952 0.53658537 0.65853659]|0.5910569105691057|0.5195121951219512|0.6104529616724739
2023-05-09 13:03:05|algorithm5|ori|Sonar|0.04|{0, 1, 2, 3, 31}|60|5|1.0|0.21200084686279297|[0.57142857 0.61904762 0.52380952 0.24390244 0.65853659]|[0.54761905 0.42857143 0.4047619  0.36585366 0.68292683]|[0.45238095 0.45238095 0.5        0.3902439  0.63414634]|0.5233449477351917|0.4859465737514518|0.4858304297328687
2023-05-09 13:03:05|algorithm5|ori|Sonar|0.06|{1, 2, 3, 8, 17}|60|5|1.0|0.2299208641052246|[0.64285714 0.45238095 0.5        0.65853659 0.70731707]|[0.80952381 0.4047619  0.42857143 0.6097561  0.7804878 ]|[0.38095238 0.45238095 0.5952381  0.70731707 0.56097561]|0.5922183507549361|0.6066202090592334|0.5393728222996516
2023-05-09 13:03:06|algorithm5|ori|Sonar|0.08|{0, 1, 34, 18, 3, 6}|60|6|1.0|0.28200411796569824|[0.54761905 0.57142857 0.5        0.46341463 0.80487805]|[0.52380952 0.73809524 0.57142857 0.43902439 0.7804878 ]|[0.66666667 0.64285714 0.5        0.43902439 0.6097561 ]|0.5774680603948896|0.6105691056910569|0.5716608594657375
2023-05-09 13:03:06|algorithm5|ori|Sonar|0.1|{0, 1}|60|2|0.40384615384615385|0.18900012969970703|[0.64285714 0.5952381  0.42857143 0.48780488 0.68292683]|[0.54761905 0.5        0.47619048 0.41463415 0.53658537]|[0.61904762 0.5        0.5        0.48780488 0.6097561 ]|0.567479674796748|0.4950058072009291|0.5433217189314751
2023-05-09 13:03:06|algorithm5|ori|Sonar|0.12000000000000001|{0, 1}|60|2|0.40384615384615385|0.2110002040863037|[0.64285714 0.5952381  0.42857143 0.48780488 0.68292683]|[0.54761905 0.5        0.47619048 0.41463415 0.53658537]|[0.61904762 0.5        0.5        0.48780488 0.6097561 ]|0.567479674796748|0.4950058072009291|0.5433217189314751
2023-05-09 13:03:06|algorithm5|ori|Sonar|0.14|{0, 1}|60|2|0.40384615384615385|0.20099997520446777|[0.64285714 0.5952381  0.42857143 0.48780488 0.68292683]|[0.54761905 0.5        0.47619048 0.41463415 0.53658537]|[0.61904762 0.5        0.5        0.51219512 0.6097561 ]|0.567479674796748|0.4950058072009291|0.5481997677119629
2023-05-09 13:03:07|algorithm5|ori|Sonar|0.16|{0, 1}|60|2|0.40384615384615385|0.2239992618560791|[0.64285714 0.5952381  0.42857143 0.48780488 0.68292683]|[0.54761905 0.5        0.47619048 0.41463415 0.53658537]|[0.61904762 0.47619048 0.5        0.48780488 0.6097561 ]|0.567479674796748|0.4950058072009291|0.5385598141695703
2023-05-09 13:03:07|algorithm5|ori|Sonar|0.18|{0, 1}|60|2|0.40384615384615385|0.24900078773498535|[0.64285714 0.5952381  0.42857143 0.48780488 0.68292683]|[0.54761905 0.5        0.47619048 0.41463415 0.53658537]|[0.61904762 0.5        0.5        0.48780488 0.6097561 ]|0.567479674796748|0.4950058072009291|0.5433217189314751
2023-05-09 13:03:07|algorithm5|ori|Sonar|0.19999999999999998|{0, 1}|60|2|0.40384615384615385|0.26700639724731445|[0.64285714 0.5952381  0.42857143 0.48780488 0.68292683]|[0.54761905 0.5        0.47619048 0.41463415 0.53658537]|[0.61904762 0.5        0.5        0.53658537 0.6097561 ]|0.567479674796748|0.4950058072009291|0.5530778164924507
