结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-09 13:07:00|algorithm5|ori|german|0.02|{0, 1, 3, 4, 5, 12}|20|6|1.0|1.082066297531128|[0.715 0.74  0.695 0.695 0.71 ]|[0.7 0.7 0.7 0.7 0.7]|[0.695 0.695 0.735 0.735 0.725]|0.711|0.7|0.717
2023-05-09 13:07:01|algorithm5|ori|german|0.04|{0, 1, 3, 4, 5, 7, 12}|20|7|1.0|1.1649045944213867|[0.74  0.7   0.73  0.71  0.705]|[0.71 0.7  0.7  0.7  0.72]|[0.665 0.7   0.735 0.735 0.725]|0.717|0.7059999999999998|0.712
2023-05-09 13:07:02|algorithm5|ori|german|0.06|{0, 1, 2, 3, 4, 7, 10, 12}|20|8|1.0|1.2220003604888916|[0.725 0.745 0.73  0.74  0.71 ]|[0.71  0.765 0.695 0.725 0.735]|[0.69 0.68 0.71 0.7  0.71]|0.7300000000000001|0.726|0.6980000000000001
2023-05-09 13:07:03|algorithm5|ori|german|0.08|{0, 1, 2}|20|3|0.6|0.7140064239501953|[0.735 0.765 0.74  0.73  0.725]|[0.7   0.7   0.73  0.72  0.715]|[0.7   0.72  0.73  0.705 0.715]|0.7390000000000001|0.7129999999999999|0.714
2023-05-09 13:07:04|algorithm5|ori|german|0.1|{0, 1, 2}|20|3|0.6|0.7749230861663818|[0.735 0.765 0.74  0.73  0.725]|[0.7   0.7   0.73  0.72  0.715]|[0.7   0.72  0.73  0.705 0.715]|0.7390000000000001|0.7129999999999999|0.714
2023-05-09 13:07:05|algorithm5|ori|german|0.12000000000000001|{0, 1, 2}|20|3|0.6|0.7880003452301025|[0.735 0.765 0.74  0.73  0.725]|[0.7   0.7   0.73  0.72  0.715]|[0.7   0.72  0.73  0.705 0.715]|0.7390000000000001|0.7129999999999999|0.714
2023-05-09 13:07:06|algorithm5|ori|german|0.14|{0, 1, 2}|20|3|0.6|0.8099987506866455|[0.735 0.765 0.74  0.73  0.725]|[0.7   0.7   0.73  0.72  0.715]|[0.7   0.72  0.73  0.705 0.715]|0.7390000000000001|0.7129999999999999|0.714
2023-05-09 13:07:06|algorithm5|ori|german|0.16|{0, 1, 2}|20|3|0.6|0.8429989814758301|[0.735 0.765 0.74  0.73  0.725]|[0.7   0.7   0.73  0.72  0.715]|[0.7   0.72  0.73  0.705 0.715]|0.7390000000000001|0.7129999999999999|0.714
2023-05-09 13:07:07|algorithm5|ori|german|0.18|{0, 1, 2}|20|3|0.6|0.8900060653686523|[0.735 0.765 0.74  0.73  0.725]|[0.7   0.7   0.73  0.72  0.715]|[0.7   0.72  0.73  0.705 0.715]|0.7390000000000001|0.7129999999999999|0.714
2023-05-09 13:07:08|algorithm5|ori|german|0.19999999999999998|{0, 1, 2}|20|3|0.6|0.8739964962005615|[0.735 0.765 0.74  0.73  0.725]|[0.7   0.7   0.73  0.72  0.715]|[0.7   0.72  0.73  0.705 0.715]|0.7390000000000001|0.7129999999999999|0.714
2023-05-09 13:07:09|algorithm5|ori|german|0.21999999999999997|{0, 1, 2}|20|3|0.6|0.882279634475708|[0.735 0.765 0.74  0.73  0.725]|[0.7   0.7   0.73  0.72  0.715]|[0.7   0.72  0.73  0.705 0.715]|0.7390000000000001|0.7129999999999999|0.714
2023-05-09 13:07:10|algorithm5|ori|german|0.23999999999999996|{0, 1, 2}|20|3|0.6|0.9350690841674805|[0.735 0.765 0.74  0.73  0.725]|[0.7   0.7   0.73  0.72  0.715]|[0.7   0.72  0.73  0.705 0.715]|0.7390000000000001|0.7129999999999999|0.714
2023-05-09 13:07:11|algorithm5|ori|german|0.25999999999999995|{0, 1, 2}|20|3|0.6|1.0629987716674805|[0.735 0.765 0.74  0.73  0.725]|[0.7   0.7   0.73  0.72  0.715]|[0.7   0.72  0.73  0.705 0.715]|0.7390000000000001|0.7129999999999999|0.714
2023-05-09 13:07:13|algorithm5|ori|german|0.27999999999999997|{0, 1, 2}|20|3|0.6|1.1579244136810303|[0.735 0.765 0.74  0.73  0.725]|[0.7   0.7   0.73  0.72  0.715]|[0.7   0.72  0.73  0.705 0.715]|0.7390000000000001|0.7129999999999999|0.714
2023-05-09 13:07:14|algorithm5|ori|german|0.3|{0, 1, 2}|20|3|0.6|1.1609387397766113|[0.735 0.765 0.74  0.73  0.725]|[0.7   0.7   0.73  0.72  0.715]|[0.7   0.72  0.73  0.705 0.715]|0.7390000000000001|0.7129999999999999|0.714
2023-05-09 13:07:15|algorithm5|ori|german|0.32|{0, 1, 2}|20|3|0.6|1.2239253520965576|[0.735 0.765 0.74  0.73  0.725]|[0.7   0.7   0.73  0.72  0.715]|[0.7   0.72  0.73  0.705 0.715]|0.7390000000000001|0.7129999999999999|0.714
2023-05-09 13:07:17|algorithm5|ori|german|0.34|{0, 1, 2}|20|3|0.6|1.5010755062103271|[0.735 0.765 0.74  0.73  0.725]|[0.7   0.7   0.73  0.72  0.715]|[0.7   0.72  0.73  0.705 0.715]|0.7390000000000001|0.7129999999999999|0.714
2023-05-09 13:07:19|algorithm5|ori|german|0.36000000000000004|{0, 1, 2}|20|3|0.6|1.7350268363952637|[0.735 0.765 0.74  0.73  0.725]|[0.7   0.7   0.73  0.72  0.715]|[0.7   0.72  0.73  0.705 0.715]|0.7390000000000001|0.7129999999999999|0.714
2023-05-09 13:07:20|algorithm5|ori|german|0.38000000000000006|{0, 1, 2}|20|3|0.6|1.8269851207733154|[0.735 0.765 0.74  0.73  0.725]|[0.7   0.7   0.73  0.72  0.715]|[0.7   0.72  0.73  0.705 0.715]|0.7390000000000001|0.7129999999999999|0.714
2023-05-09 13:07:22|algorithm5|ori|german|0.4000000000000001|{0, 1, 2}|20|3|0.6|1.8860068321228027|[0.735 0.765 0.74  0.73  0.725]|[0.7   0.7   0.73  0.72  0.715]|[0.7   0.72  0.73  0.705 0.715]|0.7390000000000001|0.7129999999999999|0.714
