结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-09 13:04:15|algorithm5|ori|musk|0.02|{1, 3, 5, 11, 15}|166|5|1.0|2.583998441696167|[0.53125    0.65263158 0.64210526 0.63157895 0.65263158]|[0.55208333 0.61052632 0.53684211 0.62105263 0.63157895]|[0.5625     0.48421053 0.61052632 0.57894737 0.55789474]|0.6220394736842106|0.5904166666666667|0.5588157894736842
2023-05-09 13:04:18|algorithm5|ori|musk|0.04|{1, 2, 3, 5, 44, 87}|166|6|1.0|2.5949978828430176|[0.58333333 0.57894737 0.69473684 0.69473684 0.67368421]|[0.47916667 0.49473684 0.55789474 0.6        0.51578947]|[0.59375    0.74736842 0.65263158 0.63157895 0.67368421]|0.6450877192982456|0.5295175438596491|0.6598026315789474
2023-05-09 13:04:21|algorithm5|ori|musk|0.06|{1, 160, 3, 133, 9, 53, 21, 63}|166|8|1.0|3.0629982948303223|[0.64583333 0.69473684 0.72631579 0.73684211 0.69473684]|[0.52083333 0.66315789 0.61052632 0.61052632 0.75789474]|[0.67708333 0.78947368 0.71578947 0.74736842 0.66315789]|0.6996929824561404|0.6325877192982456|0.7185745614035087
2023-05-09 13:04:24|algorithm5|ori|musk|0.08|{0, 1, 64, 7, 11, 17, 58, 123, 157}|166|9|1.0|3.1239984035491943|[0.625      0.66315789 0.64210526 0.74736842 0.61052632]|[0.58333333 0.67368421 0.66315789 0.74736842 0.58947368]|[0.65625    0.63157895 0.58947368 0.74736842 0.53684211]|0.6576315789473683|0.6514035087719299|0.6323026315789473
2023-05-09 13:04:26|algorithm5|ori|musk|0.1|{0, 1}|166|2|0.4012605042016807|1.578998327255249|[0.52083333 0.56842105 0.46315789 0.52631579 0.56842105]|[0.5625     0.56842105 0.56842105 0.56842105 0.55789474]|[0.53125    0.51578947 0.47368421 0.52631579 0.52631579]|0.5294298245614035|0.5651315789473684|0.5146710526315789
2023-05-09 13:04:28|algorithm5|ori|musk|0.12000000000000001|{0, 1}|166|2|0.4012605042016807|1.7195353507995605|[0.52083333 0.56842105 0.46315789 0.52631579 0.56842105]|[0.5625     0.56842105 0.56842105 0.56842105 0.55789474]|[0.53125    0.51578947 0.47368421 0.52631579 0.52631579]|0.5294298245614035|0.5651315789473684|0.5146710526315789
2023-05-09 13:04:29|algorithm5|ori|musk|0.14|{0, 1}|166|2|0.4012605042016807|1.8220512866973877|[0.52083333 0.56842105 0.46315789 0.52631579 0.56842105]|[0.5625     0.56842105 0.56842105 0.56842105 0.55789474]|[0.53125    0.51578947 0.47368421 0.52631579 0.52631579]|0.5294298245614035|0.5651315789473684|0.5146710526315789
2023-05-09 13:04:31|algorithm5|ori|musk|0.16|{0, 1}|166|2|0.4012605042016807|1.9939982891082764|[0.52083333 0.56842105 0.46315789 0.52631579 0.56842105]|[0.5625     0.56842105 0.56842105 0.56842105 0.55789474]|[0.53125    0.51578947 0.47368421 0.52631579 0.52631579]|0.5294298245614035|0.5651315789473684|0.5146710526315789
2023-05-09 13:04:34|algorithm5|ori|musk|0.18|{0, 1}|166|2|0.4012605042016807|2.1220719814300537|[0.52083333 0.56842105 0.46315789 0.52631579 0.56842105]|[0.5625     0.56842105 0.56842105 0.56842105 0.55789474]|[0.53125    0.51578947 0.47368421 0.52631579 0.52631579]|0.5294298245614035|0.5651315789473684|0.5146710526315789
2023-05-09 13:04:36|algorithm5|ori|musk|0.19999999999999998|{0, 1}|166|2|0.4012605042016807|2.2780656814575195|[0.52083333 0.56842105 0.46315789 0.52631579 0.56842105]|[0.5625     0.56842105 0.56842105 0.56842105 0.55789474]|[0.53125    0.51578947 0.47368421 0.52631579 0.52631579]|0.5294298245614035|0.5651315789473684|0.5146710526315789
