结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-09 13:05:58|algorithm5|ori|pima|0.02|{0, 1, 3, 5}|8|4|1.0|0.1800827980041504|[0.74025974 0.75324675 0.73376623 0.74509804 0.75816993]|[0.77272727 0.77922078 0.75324675 0.7254902  0.79084967]|[0.74025974 0.75974026 0.70779221 0.66666667 0.7124183 ]|0.7461081402257872|0.7643069348951702|0.7173754350224939
2023-05-09 13:05:58|algorithm5|ori|pima|0.04|{0, 1, 2, 3, 4, 5}|8|6|1.0|0.16500067710876465|[0.73376623 0.7012987  0.74675325 0.75816993 0.80392157]|[0.77922078 0.77922078 0.74675325 0.73856209 0.77777778]|[0.70779221 0.75324675 0.67532468 0.66666667 0.73856209]|0.7487819370172311|0.7643069348951702|0.7083184789067143
2023-05-09 13:05:58|algorithm5|ori|pima|0.06|{0, 1, 2, 3, 5, 6}|8|6|1.0|0.18897533416748047|[0.72727273 0.73376623 0.72727273 0.7254902  0.75816993]|[0.78571429 0.79220779 0.74675325 0.7124183  0.80392157]|[0.71428571 0.76623377 0.67532468 0.67320261 0.74509804]|0.7343943638061285|0.7682030387912742|0.7148289618877854
2023-05-09 13:05:58|algorithm5|ori|pima|0.08|{0, 1, 2, 4, 5, 6, 7}|8|7|0.9986979166666666|0.2089993953704834|[0.76623377 0.75974026 0.72727273 0.7254902  0.78431373]|[0.78571429 0.78571429 0.75974026 0.7124183  0.80392157]|[0.74675325 0.75324675 0.70779221 0.69934641 0.74509804]|0.7526101349630762|0.7695017400899754|0.7304473304473305
2023-05-09 13:05:59|algorithm5|ori|pima|0.1|{0, 1, 2}|8|3|0.6015625|0.1830000877380371|[0.72727273 0.77272727 0.72077922 0.69934641 0.75816993]|[0.75324675 0.74025974 0.76623377 0.74509804 0.77777778]|[0.69480519 0.69480519 0.69480519 0.67973856 0.73856209]|0.7356591121297005|0.7565232153467447|0.7005432476020712
2023-05-09 13:05:59|algorithm5|ori|pima|0.12000000000000001|{0, 1, 2}|8|3|0.6015625|0.20399856567382812|[0.72727273 0.77272727 0.72077922 0.69934641 0.75816993]|[0.75324675 0.74025974 0.76623377 0.74509804 0.77777778]|[0.68831169 0.69480519 0.69480519 0.67973856 0.73856209]|0.7356591121297005|0.7565232153467447|0.6992445463033699
2023-05-09 13:05:59|algorithm5|ori|pima|0.14|{0, 1, 2}|8|3|0.6015625|0.23599982261657715|[0.72727273 0.77272727 0.72077922 0.69934641 0.75816993]|[0.75324675 0.74025974 0.76623377 0.74509804 0.77777778]|[0.68181818 0.69480519 0.69480519 0.67973856 0.73856209]|0.7356591121297005|0.7565232153467447|0.6979458450046685
2023-05-09 13:05:59|algorithm5|ori|pima|0.16|{0, 1, 2}|8|3|0.6015625|0.27716803550720215|[0.72727273 0.77272727 0.72077922 0.69934641 0.75816993]|[0.75324675 0.74025974 0.76623377 0.74509804 0.77777778]|[0.69480519 0.69480519 0.69480519 0.67973856 0.73856209]|0.7356591121297005|0.7565232153467447|0.7005432476020712
2023-05-09 13:06:00|algorithm5|ori|pima|0.18|{0, 1, 2}|8|3|0.6015625|0.3150339126586914|[0.72727273 0.77272727 0.72077922 0.69934641 0.75816993]|[0.75324675 0.74025974 0.76623377 0.74509804 0.77777778]|[0.68831169 0.69480519 0.69480519 0.67973856 0.73856209]|0.7356591121297005|0.7565232153467447|0.6992445463033699
2023-05-09 13:06:00|algorithm5|ori|pima|0.19999999999999998|{0, 1, 2}|8|3|0.6015625|0.3442540168762207|[0.72727273 0.77272727 0.72077922 0.69934641 0.75816993]|[0.75324675 0.74025974 0.76623377 0.74509804 0.77777778]|[0.69480519 0.69480519 0.69480519 0.67973856 0.73856209]|0.7356591121297005|0.7565232153467447|0.7005432476020712
