结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-09 13:07:53|algorithm5|ori|waveform|0.02|{2, 3, 4, 10, 16}|21|5|1.0|18.894511938095093|[0.744 0.713 0.729 0.723 0.718]|[0.781 0.721 0.773 0.745 0.748]|[0.733 0.706 0.745 0.704 0.716]|0.7253999999999999|0.7535999999999999|0.7208
2023-05-09 13:08:09|algorithm5|ori|waveform|0.04|{0}|21|1|0.2|13.559220790863037|[0.357 0.343 0.364 0.34  0.331]|[0.339 0.339 0.339 0.339 0.34 ]|[0.322 0.332 0.329 0.314 0.343]|0.34700000000000003|0.33920000000000006|0.328
2023-05-09 13:08:29|algorithm5|ori|waveform|0.06|{0}|21|1|0.2|17.113068103790283|[0.357 0.343 0.364 0.34  0.331]|[0.339 0.339 0.339 0.339 0.34 ]|[0.322 0.332 0.329 0.314 0.343]|0.34700000000000003|0.33920000000000006|0.328
2023-05-09 13:08:54|algorithm5|ori|waveform|0.08|{0}|21|1|0.2|22.28944206237793|[0.357 0.343 0.364 0.34  0.331]|[0.339 0.339 0.339 0.339 0.34 ]|[0.322 0.332 0.329 0.314 0.343]|0.34700000000000003|0.33920000000000006|0.328
2023-05-09 13:09:23|algorithm5|ori|waveform|0.1|{0}|21|1|0.2|27.283512353897095|[0.357 0.343 0.364 0.34  0.331]|[0.339 0.339 0.339 0.339 0.34 ]|[0.322 0.332 0.329 0.314 0.343]|0.34700000000000003|0.33920000000000006|0.328
2023-05-09 13:10:01|algorithm5|ori|waveform|0.12000000000000001|{0}|21|1|0.2|35.43645739555359|[0.357 0.343 0.364 0.34  0.331]|[0.339 0.339 0.339 0.339 0.34 ]|[0.322 0.332 0.329 0.314 0.343]|0.34700000000000003|0.33920000000000006|0.328
2023-05-09 13:10:51|algorithm5|ori|waveform|0.14|{0}|21|1|0.2|46.904653787612915|[0.357 0.343 0.364 0.34  0.331]|[0.339 0.339 0.339 0.339 0.34 ]|[0.322 0.332 0.329 0.314 0.343]|0.34700000000000003|0.33920000000000006|0.328
2023-05-09 13:11:49|algorithm5|ori|waveform|0.16|{0}|21|1|0.2|55.73483848571777|[0.357 0.343 0.364 0.34  0.331]|[0.339 0.339 0.339 0.339 0.34 ]|[0.322 0.332 0.329 0.314 0.343]|0.34700000000000003|0.33920000000000006|0.328
2023-05-09 13:12:55|algorithm5|ori|waveform|0.18|{0}|21|1|0.2|63.306679010391235|[0.357 0.343 0.364 0.34  0.331]|[0.339 0.339 0.339 0.339 0.34 ]|[0.322 0.332 0.329 0.314 0.343]|0.34700000000000003|0.33920000000000006|0.328
2023-05-09 13:14:07|algorithm5|ori|waveform|0.19999999999999998|{0}|21|1|0.2|70.17275381088257|[0.357 0.343 0.364 0.34  0.331]|[0.339 0.339 0.339 0.339 0.34 ]|[0.322 0.332 0.329 0.314 0.343]|0.34700000000000003|0.33920000000000006|0.328
2023-05-09 13:15:26|algorithm5|ori|waveform|0.21999999999999997|{0}|21|1|0.2|75.72527480125427|[0.357 0.343 0.364 0.34  0.331]|[0.339 0.339 0.339 0.339 0.34 ]|[0.322 0.332 0.329 0.314 0.343]|0.34700000000000003|0.33920000000000006|0.328
2023-05-09 13:16:50|algorithm5|ori|waveform|0.23999999999999996|{0}|21|1|0.2|82.06238532066345|[0.357 0.343 0.364 0.34  0.331]|[0.339 0.339 0.339 0.339 0.34 ]|[0.322 0.332 0.329 0.314 0.343]|0.34700000000000003|0.33920000000000006|0.328
2023-05-09 13:18:22|algorithm5|ori|waveform|0.25999999999999995|{0}|21|1|0.2|88.95436787605286|[0.357 0.343 0.364 0.34  0.331]|[0.339 0.339 0.339 0.339 0.34 ]|[0.322 0.332 0.329 0.314 0.343]|0.34700000000000003|0.33920000000000006|0.328
2023-05-09 13:20:01|algorithm5|ori|waveform|0.27999999999999997|{0}|21|1|0.2|96.21903204917908|[0.357 0.343 0.364 0.34  0.331]|[0.339 0.339 0.339 0.339 0.34 ]|[0.322 0.332 0.329 0.314 0.343]|0.34700000000000003|0.33920000000000006|0.328
2023-05-09 13:21:46|algorithm5|ori|waveform|0.3|{0}|21|1|0.2|102.50918817520142|[0.357 0.343 0.364 0.34  0.331]|[0.339 0.339 0.339 0.339 0.34 ]|[0.322 0.332 0.329 0.314 0.343]|0.34700000000000003|0.33920000000000006|0.328
2023-05-09 13:23:38|algorithm5|ori|waveform|0.32|{0}|21|1|0.2|109.41051816940308|[0.357 0.343 0.364 0.34  0.331]|[0.339 0.339 0.339 0.339 0.34 ]|[0.322 0.332 0.329 0.314 0.343]|0.34700000000000003|0.33920000000000006|0.328
2023-05-09 13:25:39|algorithm5|ori|waveform|0.34|{0}|21|1|0.2|118.6872947216034|[0.357 0.343 0.364 0.34  0.331]|[0.339 0.339 0.339 0.339 0.34 ]|[0.322 0.332 0.329 0.314 0.343]|0.34700000000000003|0.33920000000000006|0.328
2023-05-09 13:27:47|algorithm5|ori|waveform|0.36000000000000004|{0}|21|1|0.2|125.55126786231995|[0.357 0.343 0.364 0.34  0.331]|[0.339 0.339 0.339 0.339 0.34 ]|[0.322 0.332 0.329 0.314 0.343]|0.34700000000000003|0.33920000000000006|0.328
2023-05-09 13:30:06|algorithm5|ori|waveform|0.38000000000000006|{0}|21|1|0.2|135.87849760055542|[0.357 0.343 0.364 0.34  0.331]|[0.339 0.339 0.339 0.339 0.34 ]|[0.322 0.332 0.329 0.314 0.343]|0.34700000000000003|0.33920000000000006|0.328
2023-05-09 13:32:37|algorithm5|ori|waveform|0.4000000000000001|{0}|21|1|0.2|147.81598615646362|[0.357 0.343 0.364 0.34  0.331]|[0.339 0.339 0.339 0.339 0.34 ]|[0.322 0.332 0.329 0.314 0.343]|0.34700000000000003|0.33920000000000006|0.328
