结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-09 13:05:08|algorithm5|ori|wdbc|0.02|{0, 1, 2, 6}|30|4|1.0|0.4600868225097656|[0.92982456 0.92105263 0.92982456 0.9122807  0.9380531 ]|[0.92982456 0.92982456 0.93859649 0.90350877 0.91150442]|[0.92105263 0.90350877 0.95614035 0.92105263 0.91150442]|0.9262071106970968|0.9226517621487347|0.9226517621487347
2023-05-09 13:05:08|algorithm5|ori|wdbc|0.04|{1, 2, 27, 4}|30|4|1.0|0.48307085037231445|[0.93859649 0.9122807  0.96491228 0.93859649 0.97345133]|[0.94736842 0.92982456 0.95614035 0.92982456 0.96460177]|[0.93859649 0.92982456 0.94736842 0.90350877 0.96460177]|0.9455674584691819|0.9455519329296693|0.9367800031051079
2023-05-09 13:05:09|algorithm5|ori|wdbc|0.06|{1, 2, 3, 4, 8, 27}|30|6|1.0|0.4840712547302246|[0.94736842 0.92982456 0.95614035 0.94736842 0.97345133]|[0.95614035 0.94736842 0.95614035 0.94736842 0.96460177]|[0.92982456 0.93859649 0.95614035 0.90350877 0.97345133]|0.9508306163639186|0.9543238627542306|0.9403043005744449
2023-05-09 13:05:09|algorithm5|ori|wdbc|0.08|{0, 1, 2, 4, 27, 8, 11}|30|7|1.0|0.5049386024475098|[0.93859649 0.92982456 0.94736842 0.95614035 0.97345133]|[0.96491228 0.92982456 0.95614035 0.93859649 0.96460177]|[0.92105263 0.94736842 0.93859649 0.90350877 0.95575221]|0.9490762303990063|0.9508150908244062|0.9332557056357708
2023-05-09 13:05:10|algorithm5|ori|wdbc|0.1|{1, 2, 4, 21, 24, 27, 28}|30|7|1.0|0.5510773658752441|[0.93859649 0.92105263 0.94736842 0.93859649 0.96460177]|[0.94736842 0.94736842 0.96491228 0.94736842 0.96460177]|[0.92105263 0.92105263 0.94736842 0.92105263 0.96460177]|0.9420431609998448|0.9543238627542306|0.9350256171401956
2023-05-09 13:05:11|algorithm5|ori|wdbc|0.12000000000000001|{1, 3, 4, 5, 8, 21, 24, 27}|30|8|1.0|0.6299946308135986|[0.92982456 0.89473684 0.94736842 0.93859649 0.96460177]|[0.94736842 0.93859649 0.96491228 0.95614035 0.95575221]|[0.92105263 0.93859649 0.94736842 0.92982456 0.96460177]|0.9350256171401956|0.9525539512498058|0.9402887750349324
2023-05-09 13:05:11|algorithm5|ori|wdbc|0.14|{1, 2, 4, 7, 8, 21, 24, 25, 27}|30|9|1.0|0.6289205551147461|[0.96491228 0.92982456 0.94736842 0.94736842 0.98230088]|[0.95614035 0.93859649 0.95614035 0.96491228 0.95575221]|[0.92982456 0.87719298 0.92982456 0.88596491 0.96460177]|0.9543549138332557|0.9543083372147182|0.9174817574910726
2023-05-09 13:05:12|algorithm5|ori|wdbc|0.16|{1, 4, 6, 8, 9, 11, 20, 21, 24, 27, 28}|30|11|1.0|0.7449591159820557|[0.97368421 0.96491228 0.95614035 0.95614035 0.98230088]|[0.96491228 0.97368421 0.97368421 0.94736842 0.99115044]|[0.9122807  0.97368421 0.9122807  0.94736842 0.94690265]|0.9666356155876418|0.9701599130569788|0.9385033379909951
2023-05-09 13:05:13|algorithm5|ori|wdbc|0.18|{0, 1, 2, 3, 4, 7, 8, 9, 11, 21, 24, 25, 27, 28}|30|14|1.0|0.7671706676483154|[0.97368421 0.96491228 0.96491228 0.95614035 0.98230088]|[0.96491228 0.97368421 0.96491228 0.96491228 0.97345133]|[0.92982456 0.92105263 0.95614035 0.89473684 0.96460177]|0.968390001552554|0.9683744760130415|0.9332712311752832
2023-05-09 13:05:14|algorithm5|ori|wdbc|0.19999999999999998|{1, 2, 3, 4, 7, 8, 9, 11, 17, 18, 21, 24, 25, 26, 27, 29}|30|16|1.0|0.8959965705871582|[0.97368421 0.94736842 0.95614035 0.95614035 0.97345133]|[0.95614035 0.94736842 0.96491228 0.96491228 0.97345133]|[0.92982456 0.9122807  0.95614035 0.90350877 0.95575221]|0.9613569321533924|0.9613569321533924|0.9315013196708586
