结果生成时间|算法名称|数据集名称|半径|约简结果|依赖度|约简时间
2023-03-05 14:35:42|NeighborhoodRoughSet|BreastCancer|0.02|{0, 1, 2, 5}|1.0|0.5492324829101562
2023-03-05 14:35:42|NeighborhoodRoughSet|BreastCancer|0.04|{0, 1, 2, 5}|1.0|0.4612271785736084
2023-03-05 14:35:43|NeighborhoodRoughSet|BreastCancer|0.06|{0, 1, 2, 5}|1.0|0.4725039005279541
2023-03-05 14:35:43|NeighborhoodRoughSet|BreastCancer|0.08|{0, 1, 2, 5}|1.0|0.44748640060424805
2023-03-05 14:35:44|NeighborhoodRoughSet|BreastCancer|0.1|{0, 1, 2, 5}|1.0|0.448427677154541
2023-03-05 14:35:44|NeighborhoodRoughSet|BreastCancer|0.12000000000000001|{0, 1, 2, 3, 5}|1.0|0.5140135288238525
2023-03-05 14:35:45|NeighborhoodRoughSet|BreastCancer|0.14|{0, 1, 2, 3, 5}|1.0|0.5257217884063721
2023-03-05 14:35:45|NeighborhoodRoughSet|BreastCancer|0.16|{0, 1, 2, 4, 5, 6}|1.0|0.603987455368042
2023-03-05 14:35:46|NeighborhoodRoughSet|BreastCancer|0.18|{0, 1, 2, 4, 5, 6}|1.0|0.5974206924438477
2023-03-05 14:35:46|NeighborhoodRoughSet|BreastCancer|0.19999999999999998|{0, 2, 3, 5, 6, 7}|1.0|0.5979998111724854
2023-03-05 14:35:47|NeighborhoodRoughSet|BreastCancer|0.21999999999999997|{0, 2, 3, 5, 6, 7}|1.0|0.6005716323852539
2023-03-05 14:35:48|NeighborhoodRoughSet|BreastCancer|0.23999999999999996|{0, 1, 3, 4, 5, 6, 7}|1.0|0.8504073619842529
2023-03-05 14:35:48|NeighborhoodRoughSet|BreastCancer|0.25999999999999995|{0, 1, 3, 4, 5, 7, 8}|1.0|0.9856879711151123
2023-03-05 14:35:49|NeighborhoodRoughSet|BreastCancer|0.27999999999999997|{0, 1, 2, 3, 4, 5, 6, 7, 8}|1.0|0.9431633949279785
2023-03-05 14:35:50|NeighborhoodRoughSet|BreastCancer|0.3|{0, 1, 2, 3, 4, 5, 6, 7, 8}|0.9971387696709585|0.935800313949585
2023-03-05 14:35:51|NeighborhoodRoughSet|BreastCancer|0.32|{0, 1, 2, 3, 4, 5, 6, 7, 8}|0.994277539341917|0.9797115325927734
2023-03-05 14:35:52|NeighborhoodRoughSet|BreastCancer|0.34|{0, 1, 2, 3, 4, 5, 6, 7, 8}|0.9899856938483548|1.0494563579559326
2023-03-05 14:35:53|NeighborhoodRoughSet|BreastCancer|0.36000000000000004|{0, 1, 2, 3, 4, 5, 6, 7, 8}|0.9785407725321889|1.047314167022705
2023-03-05 14:35:54|NeighborhoodRoughSet|BreastCancer|0.38000000000000006|{0, 1, 2, 3, 4, 5, 6, 7, 8}|0.9699570815450643|1.033789873123169
2023-03-05 14:35:55|NeighborhoodRoughSet|BreastCancer|0.4000000000000001|{0, 1, 2, 3, 4, 5, 6, 7, 8}|0.9642346208869814|1.0478813648223877
