结果生成时间|算法名称|数据集名称|半径|约简结果|依赖度|约简时间
2023-03-05 11:01:41|NeighborhoodRoughSet|Glass|0.02|{0, 1, 3, 4}|1.0|0.04172873497009277
2023-03-05 11:01:41|NeighborhoodRoughSet|Glass|0.04|{0, 1, 2, 3, 4, 6, 8}|1.0|0.0535430908203125
2023-03-05 11:01:41|NeighborhoodRoughSet|Glass|0.06|{0, 1, 2, 3, 4, 5, 6, 8}|0.9485981308411215|0.06301569938659668
2023-03-05 11:01:41|NeighborhoodRoughSet|Glass|0.08|{0, 1, 2, 3, 4, 5, 6, 7, 8}|0.7850467289719626|0.061029911041259766
2023-03-05 11:01:41|NeighborhoodRoughSet|Glass|0.1|{0, 1, 2, 3, 4, 5, 6, 7, 8}|0.6635514018691588|0.0648801326751709
2023-03-05 11:01:41|NeighborhoodRoughSet|Glass|0.12000000000000001|{0, 1, 2, 3, 4, 5, 6, 7, 8}|0.5700934579439252|0.07312297821044922
2023-03-05 11:01:41|NeighborhoodRoughSet|Glass|0.14|{0, 1, 2, 3, 4, 5, 6, 8}|0.5|0.07943320274353027
2023-03-05 11:01:41|NeighborhoodRoughSet|Glass|0.16|{0, 1, 2, 3, 4, 5, 6, 7, 8}|0.45794392523364486|0.07146167755126953
2023-03-05 11:01:41|NeighborhoodRoughSet|Glass|0.18|{0, 1, 2, 3, 4, 5, 6, 7, 8}|0.3878504672897196|0.07803606986999512
2023-03-05 11:01:41|NeighborhoodRoughSet|Glass|0.19999999999999998|{0, 1, 2, 3, 4, 5, 6, 7, 8}|0.3598130841121495|0.07854223251342773
2023-03-05 11:01:42|NeighborhoodRoughSet|Glass|0.21999999999999997|{0, 1, 2, 3, 4, 5, 6, 7, 8}|0.34579439252336447|0.08578085899353027
2023-03-05 11:01:42|NeighborhoodRoughSet|Glass|0.23999999999999996|{0, 1, 2, 3, 4, 5, 6, 7, 8}|0.32710280373831774|0.08996868133544922
2023-03-05 11:01:42|NeighborhoodRoughSet|Glass|0.25999999999999995|{0, 1, 2, 3, 4, 5, 6, 7, 8}|0.3037383177570093|0.08959341049194336
2023-03-05 11:01:42|NeighborhoodRoughSet|Glass|0.27999999999999997|{0, 1, 2, 3, 4, 6, 7, 8}|0.2803738317757009|0.09233283996582031
2023-03-05 11:01:42|NeighborhoodRoughSet|Glass|0.3|{0, 1, 2, 3, 4, 5, 6, 7, 8}|0.2616822429906542|0.0945901870727539
2023-03-05 11:01:42|NeighborhoodRoughSet|Glass|0.32|{0, 1, 2, 3, 4, 5, 6, 7, 8}|0.24299065420560748|0.1000051498413086
2023-03-05 11:01:42|NeighborhoodRoughSet|Glass|0.34|{0, 1, 2, 3, 4, 5, 6, 7, 8}|0.22429906542056074|0.09400129318237305
2023-03-05 11:01:42|NeighborhoodRoughSet|Glass|0.36000000000000004|{0, 1, 2, 3, 4, 5, 6, 7, 8}|0.205607476635514|0.11044740676879883
2023-03-05 11:01:42|NeighborhoodRoughSet|Glass|0.38000000000000006|{0, 1, 2, 3, 4, 6, 7, 8}|0.1822429906542056|0.10477185249328613
2023-03-05 11:01:42|NeighborhoodRoughSet|Glass|0.4000000000000001|{0, 1, 2, 3, 4, 6, 7, 8}|0.16355140186915887|0.10521817207336426
