结果生成时间|算法名称|数据集名称|半径|约简结果|依赖度|约简时间
2023-03-05 11:01:15|NeighborhoodRoughSet|GlaucomaM|0.02|{0, 52, 46}|1.0|0.14495539665222168
2023-03-05 11:01:15|NeighborhoodRoughSet|GlaucomaM|0.04|{52, 21, 55}|1.0|0.16190600395202637
2023-03-05 11:01:15|NeighborhoodRoughSet|GlaucomaM|0.06|{17, 52, 46, 1}|1.0|0.20913410186767578
2023-03-05 11:01:16|NeighborhoodRoughSet|GlaucomaM|0.08|{16, 0, 52, 27, 46}|1.0|0.2633075714111328
2023-03-05 11:01:16|NeighborhoodRoughSet|GlaucomaM|0.1|{2, 51, 52, 23, 46}|1.0|0.28577637672424316
2023-03-05 11:01:16|NeighborhoodRoughSet|GlaucomaM|0.12000000000000001|{2, 51, 52, 22, 24, 46}|1.0|0.33286499977111816
2023-03-05 11:01:17|NeighborhoodRoughSet|GlaucomaM|0.14|{17, 51, 52, 22, 24, 9, 46}|1.0|0.38883495330810547
2023-03-05 11:01:17|NeighborhoodRoughSet|GlaucomaM|0.16|{50, 52, 4, 6, 23, 24, 46, 31}|1.0|0.4320828914642334
2023-03-05 11:01:17|NeighborhoodRoughSet|GlaucomaM|0.18|{6, 9, 12, 46, 15, 20, 22, 55, 26}|1.0|0.5350000858306885
2023-03-05 11:01:18|NeighborhoodRoughSet|GlaucomaM|0.19999999999999998|{6, 7, 8, 46, 14, 48, 17, 21, 53, 55}|1.0|0.5545463562011719
2023-03-05 11:01:18|NeighborhoodRoughSet|GlaucomaM|0.21999999999999997|{8, 45, 46, 14, 48, 17, 50, 52, 21, 53, 23}|1.0|0.6083874702453613
2023-03-05 11:01:19|NeighborhoodRoughSet|GlaucomaM|0.23999999999999996|{2, 9, 46, 14, 48, 17, 50, 53, 21, 55, 54}|1.0|0.6446552276611328
2023-03-05 11:01:20|NeighborhoodRoughSet|GlaucomaM|0.25999999999999995|{6, 8, 43, 13, 46, 48, 17, 50, 20, 53, 54, 23}|1.0|0.7119097709655762
2023-03-05 11:01:20|NeighborhoodRoughSet|GlaucomaM|0.27999999999999997|{5, 6, 9, 43, 46, 14, 48, 50, 23, 21, 54, 22, 55, 20}|1.0|0.8338260650634766
2023-03-05 11:01:21|NeighborhoodRoughSet|GlaucomaM|0.3|{8, 9, 16, 17, 18, 20, 21, 23, 28, 38, 46, 50, 52, 53, 55}|1.0|0.930018424987793
2023-03-05 11:01:22|NeighborhoodRoughSet|GlaucomaM|0.32|{1, 2, 6, 8, 9, 13, 17, 18, 20, 21, 22, 23, 43, 46, 48, 52, 53, 55, 56, 60}|1.0|1.0398733615875244
2023-03-05 11:01:23|NeighborhoodRoughSet|GlaucomaM|0.34|{4, 8, 12, 16, 17, 18, 19, 20, 21, 23, 43, 46, 48, 50, 52, 53, 55, 56, 61}|1.0|1.1743853092193604
2023-03-05 11:01:24|NeighborhoodRoughSet|GlaucomaM|0.36000000000000004|{0, 1, 4, 5, 7, 12, 17, 19, 22, 23, 25, 26, 31, 42, 43, 45, 46, 48, 50, 52, 53, 55, 56}|0.9897959183673469|1.2460131645202637
2023-03-05 11:01:26|NeighborhoodRoughSet|GlaucomaM|0.38000000000000006|{0, 9, 14, 16, 17, 19, 20, 21, 22, 23, 25, 26, 36, 38, 43, 44, 45, 46, 48, 50, 52, 53, 54, 55, 56, 61}|1.0|1.4646239280700684
2023-03-05 11:01:27|NeighborhoodRoughSet|GlaucomaM|0.4000000000000001|{4, 7, 8, 9, 10, 12, 16, 17, 18, 19, 20, 21, 22, 23, 26, 38, 41, 43, 46, 48, 50, 51, 53, 54, 55, 56, 61}|0.9897959183673469|1.797260046005249
