结果生成时间|算法名称|数据集名称|半径|约简结果|依赖度|约简时间
2023-03-05 11:02:07|NeighborhoodRoughSet|Ionosphere|0.02|{19, 4, 5}|1.0|0.20909786224365234
2023-03-05 11:02:07|NeighborhoodRoughSet|Ionosphere|0.04|{2, 3, 30, 23}|1.0|0.2696101665496826
2023-03-05 11:02:08|NeighborhoodRoughSet|Ionosphere|0.06|{2, 19, 3, 23, 30}|1.0|0.354114294052124
2023-03-05 11:02:08|NeighborhoodRoughSet|Ionosphere|0.08|{2, 3, 23, 13, 30}|1.0|0.3657042980194092
2023-03-05 11:02:08|NeighborhoodRoughSet|Ionosphere|0.1|{33, 2, 3, 4, 12, 23}|1.0|0.5307877063751221
2023-03-05 11:02:09|NeighborhoodRoughSet|Ionosphere|0.12000000000000001|{0, 16, 33, 2, 4, 23, 8}|1.0|0.5700869560241699
2023-03-05 11:02:10|NeighborhoodRoughSet|Ionosphere|0.14|{33, 2, 4, 12, 15, 17, 23}|1.0|0.6409227848052979
2023-03-05 11:02:10|NeighborhoodRoughSet|Ionosphere|0.16|{2, 4, 6, 7, 18, 19, 20, 21, 23}|1.0|0.7410922050476074
2023-03-05 11:02:11|NeighborhoodRoughSet|Ionosphere|0.18|{33, 2, 4, 6, 7, 11, 16, 23, 26}|1.0|0.831890344619751
2023-03-05 11:02:12|NeighborhoodRoughSet|Ionosphere|0.19999999999999998|{33, 2, 3, 4, 6, 7, 16, 23, 26, 27}|1.0|0.999495267868042
2023-03-05 11:02:13|NeighborhoodRoughSet|Ionosphere|0.21999999999999997|{33, 2, 3, 4, 5, 6, 7, 8, 10, 16, 21, 23, 26}|0.9971509971509972|1.1395835876464844
2023-03-05 11:02:14|NeighborhoodRoughSet|Ionosphere|0.23999999999999996|{0, 32, 33, 2, 4, 5, 6, 7, 8, 12, 16, 18, 23, 27, 29, 31}|0.9914529914529915|1.150467872619629
2023-03-05 11:02:15|NeighborhoodRoughSet|Ionosphere|0.25999999999999995|{0, 33, 2, 3, 4, 6, 7, 9, 12, 19, 23, 24, 27, 29}|0.9829059829059829|1.1955444812774658
2023-03-05 11:02:16|NeighborhoodRoughSet|Ionosphere|0.27999999999999997|{0, 2, 4, 5, 6, 7, 9, 11, 13, 19, 23, 24, 25, 27, 28, 29}|0.9715099715099715|1.2056493759155273
2023-03-05 11:02:17|NeighborhoodRoughSet|Ionosphere|0.3|{0, 33, 2, 4, 7, 8, 19, 21, 23, 24, 25, 27, 28, 30}|0.9544159544159544|1.1370713710784912
2023-03-05 11:02:19|NeighborhoodRoughSet|Ionosphere|0.32|{2, 3, 4, 5, 7, 9, 11, 19, 20, 22, 23, 24, 25, 26, 29, 30, 31, 33}|0.9686609686609686|1.4591264724731445
2023-03-05 11:02:20|NeighborhoodRoughSet|Ionosphere|0.34|{0, 2, 4, 8, 10, 14, 16, 18, 19, 21, 23, 24, 25, 27, 28, 29, 30, 32, 33}|0.9572649572649573|1.4617903232574463
2023-03-05 11:02:22|NeighborhoodRoughSet|Ionosphere|0.36000000000000004|{0, 2, 4, 6, 8, 11, 14, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30, 33}|0.9544159544159544|1.5445170402526855
2023-03-05 11:02:23|NeighborhoodRoughSet|Ionosphere|0.38000000000000006|{0, 2, 4, 6, 11, 14, 15, 16, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30, 31, 33}|0.9515669515669516|1.6077594757080078
2023-03-05 11:02:25|NeighborhoodRoughSet|Ionosphere|0.4000000000000001|{0, 2, 3, 4, 6, 9, 11, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30, 31, 32, 33}|0.9544159544159544|1.7776062488555908
