结果生成时间|算法名称|数据集名称|半径|约简结果|依赖度|约简时间
2023-03-05 11:02:26|NeighborhoodRoughSet|movement|0.02|{0, 66, 53}|1.0|0.5816268920898438
2023-03-05 11:02:27|NeighborhoodRoughSet|movement|0.04|{62, 80, 6, 55}|1.0|0.7870073318481445
2023-03-05 11:02:28|NeighborhoodRoughSet|movement|0.06|{0, 35, 68, 86, 63}|1.0|0.9781105518341064
2023-03-05 11:02:29|NeighborhoodRoughSet|movement|0.08|{48, 19, 21, 10, 76, 63}|0.9944444444444445|1.1901862621307373
2023-03-05 11:02:30|NeighborhoodRoughSet|movement|0.1|{0, 65, 52, 11, 62, 47}|0.9944444444444445|1.2517619132995605
2023-03-05 11:02:31|NeighborhoodRoughSet|movement|0.12000000000000001|{64, 71, 9, 12, 47, 88, 25}|0.9944444444444445|1.6483848094940186
2023-03-05 11:02:33|NeighborhoodRoughSet|movement|0.14|{26, 4, 74, 25, 58, 11, 45, 79}|0.9944444444444445|1.7021393775939941
2023-03-05 11:02:35|NeighborhoodRoughSet|movement|0.16|{34, 38, 71, 13, 79, 18, 84, 20, 56, 25}|0.9944444444444445|2.073465347290039
2023-03-05 11:02:37|NeighborhoodRoughSet|movement|0.18|{33, 2, 66, 71, 13, 79, 54, 22, 88, 25}|0.9888888888888889|2.1632513999938965
2023-03-05 11:02:39|NeighborhoodRoughSet|movement|0.19999999999999998|{0, 32, 2, 35, 73, 9, 79, 50, 84, 55, 58}|0.9888888888888889|2.5548720359802246
2023-03-05 11:02:41|NeighborhoodRoughSet|movement|0.21999999999999997|{34, 66, 11, 43, 79, 20, 23, 54, 55, 88, 25, 53}|0.9888888888888889|2.793189525604248
2023-03-05 11:02:44|NeighborhoodRoughSet|movement|0.23999999999999996|{0, 66, 38, 71, 9, 43, 18, 84, 53, 55, 88, 89, 60, 63}|0.9888888888888889|3.1146080493927
2023-03-05 11:02:47|NeighborhoodRoughSet|movement|0.25999999999999995|{0, 33, 34, 1, 8, 73, 9, 43, 28, 46, 84, 85, 55, 88, 60}|0.9833333333333333|3.209625482559204
2023-03-05 11:02:51|NeighborhoodRoughSet|movement|0.27999999999999997|{1, 7, 71, 81, 82, 20, 88, 29, 33, 36, 45, 46, 52, 53, 58, 60}|0.9833333333333333|3.659919261932373
2023-03-05 11:02:54|NeighborhoodRoughSet|movement|0.3|{0, 1, 3, 71, 73, 16, 81, 84, 20, 21, 88, 31, 34, 39, 42, 45, 47, 50, 55, 56, 57, 62}|0.9888888888888889|4.518569469451904
2023-03-05 11:02:59|NeighborhoodRoughSet|movement|0.32|{0}|0.0|0.9559993743896484
2023-03-05 11:03:00|NeighborhoodRoughSet|movement|0.34|{0}|0.0|1.0189292430877686
2023-03-05 11:03:01|NeighborhoodRoughSet|movement|0.36000000000000004|{0}|0.0|1.0089607238769531
2023-03-05 11:03:02|NeighborhoodRoughSet|movement|0.38000000000000006|{0}|0.0|1.0447237491607666
2023-03-05 11:03:03|NeighborhoodRoughSet|movement|0.4000000000000001|{0}|0.0|1.0791990756988525
