结果生成时间|算法名称|数据集名称|半径|约简结果|依赖度|约简时间
2023-03-05 11:03:14|NeighborhoodRoughSet|musk|0.02|{67, 3, 5, 45, 111}|1.0|2.7670769691467285
2023-03-05 11:03:17|NeighborhoodRoughSet|musk|0.04|{16, 49, 130, 5, 87, 11}|1.0|3.6643898487091064
2023-03-05 11:03:21|NeighborhoodRoughSet|musk|0.06|{130, 67, 87, 73, 28, 157}|1.0|3.786945343017578
2023-03-05 11:03:24|NeighborhoodRoughSet|musk|0.08|{98, 130, 5, 11, 87, 88, 157}|1.0|5.11850118637085
2023-03-05 11:03:30|NeighborhoodRoughSet|musk|0.1|{128, 32, 1, 3, 5, 11, 14, 87, 91}|1.0|6.100595474243164
2023-03-05 11:03:36|NeighborhoodRoughSet|musk|0.12000000000000001|{128, 130, 67, 3, 5, 73, 53, 56, 24, 91}|1.0|6.83309531211853
2023-03-05 11:03:42|NeighborhoodRoughSet|musk|0.14|{128, 67, 7, 73, 138, 28, 83, 87, 89, 123, 124}|1.0|8.060750246047974
2023-03-05 11:03:51|NeighborhoodRoughSet|musk|0.16|{128, 1, 67, 5, 77, 80, 18, 83, 87, 31}|1.0|8.444791316986084
2023-03-05 11:03:59|NeighborhoodRoughSet|musk|0.18|{128, 96, 1, 106, 139, 13, 14, 113, 54, 87, 125, 31}|1.0|9.231741428375244
2023-03-05 11:04:08|NeighborhoodRoughSet|musk|0.19999999999999998|{128, 1, 0, 67, 3, 154, 106, 13, 79, 112, 87, 58, 125}|1.0|9.4637610912323
2023-03-05 11:04:18|NeighborhoodRoughSet|musk|0.21999999999999997|{96, 1, 133, 135, 107, 14, 112, 49, 83, 87, 93, 94, 31}|1.0|11.791252613067627
2023-03-05 11:04:29|NeighborhoodRoughSet|musk|0.23999999999999996|{96, 69, 106, 14, 60, 112, 49, 124, 78, 20, 87, 156, 95}|1.0|12.2226083278656
2023-03-05 11:04:42|NeighborhoodRoughSet|musk|0.25999999999999995|{160, 96, 67, 102, 7, 39, 73, 106, 9, 60, 112, 156, 53, 23, 124, 157}|1.0|12.92674446105957
2023-03-05 11:04:55|NeighborhoodRoughSet|musk|0.27999999999999997|{64, 0, 67, 9, 10, 79, 83, 19, 21, 87, 95, 96, 98, 43, 107, 50, 124}|1.0|14.351173400878906
2023-03-05 11:05:09|NeighborhoodRoughSet|musk|0.3|{130, 7, 138, 74, 11, 142, 83, 87, 90, 156, 31, 98, 45, 46, 47, 119, 58, 123}|1.0|15.69166374206543
2023-03-05 11:05:25|NeighborhoodRoughSet|musk|0.32|{0, 1, 3, 134, 7, 138, 79, 87, 27, 157, 96, 98, 102, 106, 109, 124, 125}|1.0|17.560818433761597
2023-03-05 11:05:42|NeighborhoodRoughSet|musk|0.34|{1, 67, 3, 6, 138, 12, 13, 16, 17, 87, 153, 27, 156, 29, 28, 96, 162, 98, 106, 48, 124, 125}|1.0|18.32773518562317
2023-03-05 11:06:01|NeighborhoodRoughSet|musk|0.36000000000000004|{128, 67, 8, 12, 83, 87, 156, 31, 160, 96, 162, 98, 103, 106, 107, 44, 48, 113, 53, 119, 58}|1.0|19.73574662208557
2023-03-05 11:06:20|NeighborhoodRoughSet|musk|0.38000000000000006|{67, 5, 6, 72, 14, 82, 86, 87, 88, 154, 156, 29, 96, 32, 162, 98, 107, 44, 45, 46, 49, 60, 125}|1.0|20.465367317199707
2023-03-05 11:06:41|NeighborhoodRoughSet|musk|0.4000000000000001|{65, 1, 67, 3, 7, 15, 19, 21, 22, 87, 152, 157, 30, 31, 96, 162, 42, 107, 43, 44, 46, 48, 122}|1.0|24.92955708503723
