结果生成时间|算法名称|数据集名称|半径|约简结果|依赖度|约简时间
2023-03-05 14:36:11|NeighborhoodRoughSet|pima|0.02|{0, 1, 5, 7}|1.0|0.27856898307800293
2023-03-05 14:36:12|NeighborhoodRoughSet|pima|0.04|{0, 1, 2, 5, 6}|1.0|0.3486194610595703
2023-03-05 14:36:12|NeighborhoodRoughSet|pima|0.06|{0, 1, 2, 3, 5, 7}|1.0|0.46116018295288086
2023-03-05 14:36:12|NeighborhoodRoughSet|pima|0.08|{0, 1, 2, 3, 4, 6, 7}|0.9986979166666666|0.501396656036377
2023-03-05 14:36:13|NeighborhoodRoughSet|pima|0.1|{0, 1, 2, 3, 4, 5, 6, 7}|0.99609375|0.5629520416259766
2023-03-05 14:36:14|NeighborhoodRoughSet|pima|0.12000000000000001|{0, 1, 2, 3, 4, 5, 6, 7}|0.9817708333333334|0.7153623104095459
2023-03-05 14:36:14|NeighborhoodRoughSet|pima|0.14|{0, 1, 2, 3, 4, 5, 6, 7}|0.9427083333333334|0.6685330867767334
2023-03-05 14:36:15|NeighborhoodRoughSet|pima|0.16|{0, 1, 2, 3, 4, 5, 6, 7}|0.85546875|0.7591309547424316
2023-03-05 14:36:16|NeighborhoodRoughSet|pima|0.18|{0, 1, 2, 3, 4, 5, 6, 7}|0.7252604166666666|0.8068580627441406
2023-03-05 14:36:16|NeighborhoodRoughSet|pima|0.19999999999999998|{0, 1, 2, 3, 4, 5, 6, 7}|0.56640625|0.9207508563995361
2023-03-05 14:36:17|NeighborhoodRoughSet|pima|0.21999999999999997|{0, 1, 2, 3, 4, 5, 6, 7}|0.43359375|0.9290423393249512
2023-03-05 14:36:18|NeighborhoodRoughSet|pima|0.23999999999999996|{0, 1, 2, 3, 4, 5, 6, 7}|0.31640625|1.0751194953918457
2023-03-05 14:36:19|NeighborhoodRoughSet|pima|0.25999999999999995|{0, 1, 2, 3, 4, 5, 6, 7}|0.23177083333333334|1.104802131652832
2023-03-05 14:36:21|NeighborhoodRoughSet|pima|0.27999999999999997|{0, 1, 2, 3, 4, 5, 6, 7}|0.1796875|1.1864862442016602
2023-03-05 14:36:22|NeighborhoodRoughSet|pima|0.3|{0, 1, 2, 3, 4, 5, 6, 7}|0.12630208333333334|1.212228536605835
2023-03-05 14:36:23|NeighborhoodRoughSet|pima|0.32|{3}|0.0013020833333333333|0.6363146305084229
2023-03-05 14:36:24|NeighborhoodRoughSet|pima|0.34|{3}|0.0013020833333333333|0.6490299701690674
2023-03-05 14:36:24|NeighborhoodRoughSet|pima|0.36000000000000004|{3}|0.0013020833333333333|0.6621456146240234
2023-03-05 14:36:25|NeighborhoodRoughSet|pima|0.38000000000000006|{3}|0.0013020833333333333|0.6649136543273926
2023-03-05 14:36:26|NeighborhoodRoughSet|pima|0.4000000000000001|{0, 3}|0.0013020833333333333|0.9544942378997803
