结果生成时间|算法名称|数据集名称|半径|约简结果|依赖度|约简时间
2023-03-05 11:01:14|NeighborhoodRoughSet|plrx|0.02|{0, 3, 4}|1.0|0.023003578186035156
2023-03-05 11:01:14|NeighborhoodRoughSet|plrx|0.04|{0, 2, 7}|1.0|0.025443315505981445
2023-03-05 11:01:14|NeighborhoodRoughSet|plrx|0.06|{0, 2, 5, 7}|1.0|0.031488895416259766
2023-03-05 11:01:14|NeighborhoodRoughSet|plrx|0.08|{0, 3, 4, 7}|1.0|0.03850555419921875
2023-03-05 11:01:14|NeighborhoodRoughSet|plrx|0.1|{0, 1, 3, 4, 7}|1.0|0.044365644454956055
2023-03-05 11:01:14|NeighborhoodRoughSet|plrx|0.12000000000000001|{0, 3, 4, 7, 9, 11}|1.0|0.05399632453918457
2023-03-05 11:01:14|NeighborhoodRoughSet|plrx|0.14|{0, 1, 3, 4, 9, 11}|1.0|0.056444406509399414
2023-03-05 11:01:14|NeighborhoodRoughSet|plrx|0.16|{0, 1, 3, 4, 6, 10, 11}|1.0|0.060114383697509766
2023-03-05 11:01:14|NeighborhoodRoughSet|plrx|0.18|{0, 1, 3, 4, 6, 7, 10, 11}|1.0|0.0658881664276123
2023-03-05 11:01:14|NeighborhoodRoughSet|plrx|0.19999999999999998|{0, 1, 2, 3, 4, 6, 7, 8, 9, 11}|1.0|0.07000494003295898
2023-03-05 11:01:14|NeighborhoodRoughSet|plrx|0.21999999999999997|{0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11}|1.0|0.07657194137573242
2023-03-05 11:01:14|NeighborhoodRoughSet|plrx|0.23999999999999996|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}|0.9945054945054945|0.08757567405700684
2023-03-05 11:01:15|NeighborhoodRoughSet|plrx|0.25999999999999995|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}|0.9615384615384616|0.09663772583007812
2023-03-05 11:01:15|NeighborhoodRoughSet|plrx|0.27999999999999997|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}|0.9175824175824175|0.0918424129486084
2023-03-05 11:01:15|NeighborhoodRoughSet|plrx|0.3|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}|0.8571428571428571|0.09119415283203125
2023-03-05 11:01:15|NeighborhoodRoughSet|plrx|0.32|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}|0.7692307692307693|0.09852242469787598
2023-03-05 11:01:15|NeighborhoodRoughSet|plrx|0.34|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}|0.6978021978021978|0.10103869438171387
2023-03-05 11:01:15|NeighborhoodRoughSet|plrx|0.36000000000000004|{0, 6}|0.01098901098901099|0.06038093566894531
2023-03-05 11:01:15|NeighborhoodRoughSet|plrx|0.38000000000000006|{0, 6}|0.01098901098901099|0.05809164047241211
2023-03-05 11:01:15|NeighborhoodRoughSet|plrx|0.4000000000000001|{0}|0.005494505494505495|0.03797197341918945
