结果生成时间|算法名称|数据集名称|半径|约简结果|依赖度|约简时间
2023-03-05 14:39:47|NeighborhoodRoughSet|waveform|0.02|{9, 11, 4, 5}|1.0|26.786492824554443
2023-03-05 14:40:14|NeighborhoodRoughSet|waveform|0.04|{0, 1, 4, 5, 9, 14}|1.0|40.08426022529602
2023-03-05 14:40:54|NeighborhoodRoughSet|waveform|0.06|{0, 1, 16, 2, 4, 10, 14}|1.0|56.27043390274048
2023-03-05 14:41:50|NeighborhoodRoughSet|waveform|0.08|{0, 1, 19, 4, 8, 9, 11, 15}|1.0|66.77482056617737
2023-03-05 14:42:57|NeighborhoodRoughSet|waveform|0.1|{0, 1, 2, 3, 4, 5, 9, 10, 11}|1.0|77.71536326408386
2023-03-05 14:44:15|NeighborhoodRoughSet|waveform|0.12000000000000001|{0, 1, 2, 3, 4, 6, 8, 9, 10, 13}|1.0|98.01967763900757
2023-03-05 14:45:53|NeighborhoodRoughSet|waveform|0.14|{0, 1, 2, 3, 4, 5, 9, 10, 11, 16, 18}|1.0|113.16157746315002
2023-03-05 14:47:46|NeighborhoodRoughSet|waveform|0.16|{0, 1, 2, 3, 4, 5, 7, 9, 10, 11, 13, 19}|1.0|128.01785516738892
2023-03-05 14:49:54|NeighborhoodRoughSet|waveform|0.18|{0, 1, 2, 3, 5, 7, 8, 9, 10, 11, 14, 19, 20}|1.0|153.52464628219604
2023-03-05 14:52:27|NeighborhoodRoughSet|waveform|0.19999999999999998|{0, 1, 2, 3, 4, 5, 9, 10, 11, 13, 14, 18, 19, 20}|1.0|170.90274143218994
2023-03-05 14:55:18|NeighborhoodRoughSet|waveform|0.21999999999999997|{0, 1, 2, 3, 6, 7, 9, 10, 11, 12, 14, 17, 18, 19, 20}|1.0|196.91284584999084
2023-03-05 14:58:35|NeighborhoodRoughSet|waveform|0.23999999999999996|{0}|0.0|118.67983317375183
2023-03-05 15:00:34|NeighborhoodRoughSet|waveform|0.25999999999999995|{0}|0.0|128.65213990211487
2023-03-05 15:02:44|NeighborhoodRoughSet|waveform|0.27999999999999997|{0}|0.0|142.20939373970032
2023-03-05 15:05:06|NeighborhoodRoughSet|waveform|0.3|{0}|0.0|155.4678292274475
2023-03-05 15:07:43|NeighborhoodRoughSet|waveform|0.32|{0}|0.0|165.89090633392334
2023-03-05 15:10:29|NeighborhoodRoughSet|waveform|0.34|{0}|0.0|179.197909116745
2023-03-05 15:13:29|NeighborhoodRoughSet|waveform|0.36000000000000004|{0}|0.0|194.75761938095093
2023-03-05 15:16:45|NeighborhoodRoughSet|waveform|0.38000000000000006|{0}|0.0|212.34324264526367
2023-03-05 15:20:18|NeighborhoodRoughSet|waveform|0.4000000000000001|{0}|0.0|238.933114528656
