结果生成时间|算法名称|数据集名称|半径|约简结果|依赖度|约简时间
2023-03-05 15:39:01|AttributeGroupAttributeReduction|Vehicle|0.02|{17, 7}|0.5319148936170213|4.962702751159668
2023-03-05 15:39:06|AttributeGroupAttributeReduction|Vehicle|0.04|{8, 17, 4, 7}|0.5425531914893617|6.869107723236084
2023-03-05 15:39:13|AttributeGroupAttributeReduction|Vehicle|0.06|{9, 10, 4, 17}|0.5768321513002365|4.779014348983765
2023-03-05 15:39:18|AttributeGroupAttributeReduction|Vehicle|0.08|{9, 14, 17, 7}|0.5283687943262412|6.93830132484436
2023-03-05 15:39:25|AttributeGroupAttributeReduction|Vehicle|0.1|{7, 9, 13, 15, 17}|0.5685579196217494|6.8489415645599365
2023-03-05 15:39:32|AttributeGroupAttributeReduction|Vehicle|0.12000000000000001|{4, 5, 7, 9, 11, 14, 17}|0.5945626477541371|8.764485597610474
2023-03-05 15:39:41|AttributeGroupAttributeReduction|Vehicle|0.14|{1, 4, 7, 9, 10, 14, 16, 17}|0.5886524822695035|8.4527006149292
2023-03-05 15:39:50|AttributeGroupAttributeReduction|Vehicle|0.16|{5, 7, 9, 10, 13, 14, 15, 16, 17}|0.5697399527186762|8.773096799850464
2023-03-05 15:39:59|AttributeGroupAttributeReduction|Vehicle|0.18|{2, 7, 9, 11, 13, 14, 15, 16, 17}|0.5851063829787234|8.665525913238525
2023-03-05 15:40:08|AttributeGroupAttributeReduction|Vehicle|0.19999999999999998|{0, 4, 5, 7, 9, 11, 14, 15, 16, 17}|0.6040189125295509|9.096181869506836
2023-03-05 15:40:17|AttributeGroupAttributeReduction|Vehicle|0.21999999999999997|{0, 2, 4, 5, 6, 7, 9, 11, 14, 15, 16, 17}|0.6099290780141844|9.724773645401001
2023-03-05 15:40:27|AttributeGroupAttributeReduction|Vehicle|0.23999999999999996|{0, 2, 4, 6, 7, 9, 11, 13, 14, 15, 16, 17}|0.5862884160756501|11.20017957687378
2023-03-05 15:40:39|AttributeGroupAttributeReduction|Vehicle|0.25999999999999995|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 17}|0.6134751773049646|12.148375034332275
2023-03-05 15:40:51|AttributeGroupAttributeReduction|Vehicle|0.27999999999999997|{17, 11, 5, 9}|0.11583924349881797|6.7917234897613525
2023-03-05 15:40:58|AttributeGroupAttributeReduction|Vehicle|0.3|{17, 11, 5, 1}|0.0933806146572104|6.892106294631958
2023-03-05 15:41:05|AttributeGroupAttributeReduction|Vehicle|0.32|{8, 17, 5}|0.07328605200945626|5.965623140335083
2023-03-05 15:41:11|AttributeGroupAttributeReduction|Vehicle|0.34|{17, 3}|0.05319148936170213|5.250718355178833
2023-03-05 15:41:17|AttributeGroupAttributeReduction|Vehicle|0.36000000000000004|{0, 17, 3, 13}|0.054373522458628844|6.100768327713013
2023-03-05 15:41:23|AttributeGroupAttributeReduction|Vehicle|0.38000000000000006|{0, 3, 5, 14, 17}|0.05555555555555555|6.165922403335571
2023-03-05 15:41:29|AttributeGroupAttributeReduction|Vehicle|0.4000000000000001|{0, 17, 3, 13}|0.054373522458628844|7.1014604568481445
