结果生成时间|算法名称|数据集名称|半径|约简结果|依赖度|约简时间
2023-03-05 15:35:08|AttributeGroupAttributeReduction|australian|0.02|{0, 4, 7, 9, 10}|0.6115942028985507|2.048901319503784
2023-03-05 15:35:10|AttributeGroupAttributeReduction|australian|0.04|{0, 4, 7, 9, 10}|0.6275362318840579|2.068833827972412
2023-03-05 15:35:12|AttributeGroupAttributeReduction|australian|0.06|{0, 4, 7, 8, 10, 12, 13}|0.6463768115942029|2.619039535522461
2023-03-05 15:35:15|AttributeGroupAttributeReduction|australian|0.08|{0, 1, 4, 7, 10, 13}|0.6521739130434783|2.4593231678009033
2023-03-05 15:35:18|AttributeGroupAttributeReduction|australian|0.1|{0, 1, 4, 7, 8, 9, 10}|0.7101449275362319|2.585200071334839
2023-03-05 15:35:20|AttributeGroupAttributeReduction|australian|0.12000000000000001|{0, 2, 4, 7, 8, 10, 13}|0.6855072463768116|2.606985092163086
2023-03-05 15:35:23|AttributeGroupAttributeReduction|australian|0.14|{0, 2, 4, 6, 7, 8, 10}|0.6579710144927536|2.6351816654205322
2023-03-05 15:35:26|AttributeGroupAttributeReduction|australian|0.16|{5, 13}|0.03188405797101449|1.4199225902557373
2023-03-05 15:35:28|AttributeGroupAttributeReduction|australian|0.18|{13}|0.020289855072463767|1.3403880596160889
2023-03-05 15:35:29|AttributeGroupAttributeReduction|australian|0.19999999999999998|{13}|0.02463768115942029|1.336193323135376
2023-03-05 15:35:31|AttributeGroupAttributeReduction|australian|0.21999999999999997|{13, 7}|0.0391304347826087|1.4423563480377197
2023-03-05 15:35:32|AttributeGroupAttributeReduction|australian|0.23999999999999996|{13, 7}|0.06231884057971015|1.4395136833190918
2023-03-05 15:35:34|AttributeGroupAttributeReduction|australian|0.25999999999999995|{13, 7}|0.03333333333333333|1.4863276481628418
2023-03-05 15:35:36|AttributeGroupAttributeReduction|australian|0.27999999999999997|{13, 7}|0.04927536231884058|1.3985719680786133
2023-03-05 15:35:37|AttributeGroupAttributeReduction|australian|0.3|{5, 13}|0.03188405797101449|1.4109423160552979
2023-03-05 15:35:39|AttributeGroupAttributeReduction|australian|0.32|{13}|0.007246376811594203|1.3724594116210938
2023-03-05 15:35:41|AttributeGroupAttributeReduction|australian|0.34|{13}|0.007246376811594203|1.3174552917480469
2023-03-05 15:35:42|AttributeGroupAttributeReduction|australian|0.36000000000000004|{13}|0.010144927536231883|1.319188117980957
2023-03-05 15:35:44|AttributeGroupAttributeReduction|australian|0.38000000000000006|{13}|0.011594202898550725|1.318915605545044
2023-03-05 15:35:45|AttributeGroupAttributeReduction|australian|0.4000000000000001|{13}|0.015942028985507246|1.3930926322937012
