结果生成时间|算法名称|数据集名称|半径|约简结果|依赖度|约简时间
2023-03-05 15:43:35|AttributeGroupAttributeReduction|data_banknote|0.02|{0, 1}|0.8542274052478134|1.1563081741333008
2023-03-05 15:43:36|AttributeGroupAttributeReduction|data_banknote|0.04|{0, 1, 2}|0.9766763848396501|1.4087650775909424
2023-03-05 15:43:38|AttributeGroupAttributeReduction|data_banknote|0.06|{0, 1, 2}|0.9876093294460642|2.0252320766448975
2023-03-05 15:43:40|AttributeGroupAttributeReduction|data_banknote|0.08|{0, 1, 2, 3}|0.9905247813411079|1.6451144218444824
2023-03-05 15:43:42|AttributeGroupAttributeReduction|data_banknote|0.1|{0, 1, 2}|0.9948979591836735|1.4970262050628662
2023-03-05 15:43:44|AttributeGroupAttributeReduction|data_banknote|0.12000000000000001|{0, 1, 2, 3}|0.999271137026239|1.6352698802947998
2023-03-05 15:43:45|AttributeGroupAttributeReduction|data_banknote|0.14|{0, 1, 2, 3}|0.999271137026239|1.5736629962921143
2023-03-05 15:43:47|AttributeGroupAttributeReduction|data_banknote|0.16|{0, 1, 2, 3}|0.9985422740524781|1.5990855693817139
2023-03-05 15:43:49|AttributeGroupAttributeReduction|data_banknote|0.18|{0, 1, 2, 3}|0.9963556851311953|1.6518847942352295
2023-03-05 15:43:51|AttributeGroupAttributeReduction|data_banknote|0.19999999999999998|{0, 1, 2, 3}|0.9817784256559767|2.0149407386779785
2023-03-05 15:43:53|AttributeGroupAttributeReduction|data_banknote|0.21999999999999997|{0, 1, 2, 3}|0.9336734693877551|1.5601284503936768
2023-03-05 15:43:55|AttributeGroupAttributeReduction|data_banknote|0.23999999999999996|{0, 1, 2, 3}|0.9154518950437318|1.9993584156036377
2023-03-05 15:43:57|AttributeGroupAttributeReduction|data_banknote|0.25999999999999995|{0, 1, 2, 3}|0.8986880466472303|2.0219948291778564
2023-03-05 15:43:59|AttributeGroupAttributeReduction|data_banknote|0.27999999999999997|{0, 1, 3}|0.7543731778425656|1.9061083793640137
2023-03-05 15:44:01|AttributeGroupAttributeReduction|data_banknote|0.3|{0, 1, 3}|0.7004373177842566|1.858356237411499
2023-03-05 15:44:04|AttributeGroupAttributeReduction|data_banknote|0.32|{0, 1, 2, 3}|0.6042274052478134|1.7747914791107178
2023-03-05 15:44:05|AttributeGroupAttributeReduction|data_banknote|0.34|{0, 1, 2, 3}|0.5043731778425656|1.9861602783203125
2023-03-05 15:44:08|AttributeGroupAttributeReduction|data_banknote|0.36000000000000004|{0, 1, 2, 3}|0.36005830903790087|2.1083619594573975
2023-03-05 15:44:10|AttributeGroupAttributeReduction|data_banknote|0.38000000000000006|{0, 1, 2}|0.09110787172011661|2.409172534942627
2023-03-05 15:44:13|AttributeGroupAttributeReduction|data_banknote|0.4000000000000001|{0, 1}|0.1282798833819242|1.9573163986206055
