结果生成时间|算法名称|数据集名称|半径|约简结果|依赖度|约简时间
2023-03-05 14:54:31|AttributeGroupAttributeReduction|seeds|0.02|{1}|0.7047619047619048|0.16876840591430664
2023-03-05 14:54:32|AttributeGroupAttributeReduction|seeds|0.04|{1, 5}|0.7571428571428571|0.2569568157196045
2023-03-05 14:54:32|AttributeGroupAttributeReduction|seeds|0.06|{0, 5}|0.8380952380952381|0.24429035186767578
2023-03-05 14:54:33|AttributeGroupAttributeReduction|seeds|0.08|{0, 5}|0.861904761904762|0.25565338134765625
2023-03-05 14:54:33|AttributeGroupAttributeReduction|seeds|0.1|{0, 4, 5}|0.8523809523809524|0.2843048572540283
2023-03-05 14:54:34|AttributeGroupAttributeReduction|seeds|0.12000000000000001|{0, 1, 4, 5}|0.8809523809523809|0.340623140335083
2023-03-05 14:54:34|AttributeGroupAttributeReduction|seeds|0.14|{4, 5, 6}|0.8952380952380953|0.29045748710632324
2023-03-05 14:54:34|AttributeGroupAttributeReduction|seeds|0.16|{4, 5, 6}|0.9095238095238095|0.31230735778808594
2023-03-05 14:54:35|AttributeGroupAttributeReduction|seeds|0.18|{1, 3, 5, 6}|0.9380952380952381|0.34387707710266113
2023-03-05 14:54:35|AttributeGroupAttributeReduction|seeds|0.19999999999999998|{1, 2, 3, 5, 6}|0.9142857142857143|0.4014894962310791
2023-03-05 14:54:36|AttributeGroupAttributeReduction|seeds|0.21999999999999997|{1, 3, 4, 5, 6}|0.9238095238095239|0.39223194122314453
2023-03-05 14:54:37|AttributeGroupAttributeReduction|seeds|0.23999999999999996|{0, 1, 2, 4, 5}|0.8714285714285714|0.4050624370574951
2023-03-05 14:54:37|AttributeGroupAttributeReduction|seeds|0.25999999999999995|{0, 1, 2, 4, 5, 6}|0.8857142857142857|0.42874670028686523
2023-03-05 14:54:38|AttributeGroupAttributeReduction|seeds|0.27999999999999997|{0, 1, 2, 3, 4, 5, 6}|0.8857142857142857|0.43338608741760254
2023-03-05 14:54:38|AttributeGroupAttributeReduction|seeds|0.3|{1, 2, 3, 4, 5, 6}|0.8761904761904762|0.44060230255126953
2023-03-05 14:54:39|AttributeGroupAttributeReduction|seeds|0.32|{0, 1, 2, 3, 4, 5, 6}|0.8857142857142857|0.4335446357727051
2023-03-05 14:54:40|AttributeGroupAttributeReduction|seeds|0.34|{1}|0.2714285714285714|0.16766858100891113
2023-03-05 14:54:40|AttributeGroupAttributeReduction|seeds|0.36000000000000004|{1}|0.28095238095238095|0.1651597023010254
2023-03-05 14:54:40|AttributeGroupAttributeReduction|seeds|0.38000000000000006|{0, 1, 3, 4, 5, 6}|0.8238095238095238|0.4083116054534912
2023-03-05 14:54:41|AttributeGroupAttributeReduction|seeds|0.4000000000000001|{0, 1, 2, 5, 6}|0.8285714285714286|0.4297521114349365
