结果生成时间|算法名称|数据集名称|半径|约简结果|依赖度|约简时间
2023-03-05 20:46:00|DisSimilarityAttributeReduction|BreastCancer|0.02|{0, 8, 5, 7}|0.7124463519313304|3.6750564575195312
2023-03-05 20:46:04|DisSimilarityAttributeReduction|BreastCancer|0.04|{0, 8, 5, 7}|0.7124463519313304|3.6804399490356445
2023-03-05 20:46:08|DisSimilarityAttributeReduction|BreastCancer|0.06|{0, 8, 5, 7}|0.7124463519313304|3.649489164352417
2023-03-05 20:46:11|DisSimilarityAttributeReduction|BreastCancer|0.08|{0, 8, 5, 7}|0.7124463519313304|3.659014940261841
2023-03-05 20:46:15|DisSimilarityAttributeReduction|BreastCancer|0.1|{0, 8, 5, 7}|0.7124463519313304|3.6266303062438965
2023-03-05 20:46:18|DisSimilarityAttributeReduction|BreastCancer|0.12000000000000001|{0, 8, 4, 5}|0.8412017167381974|3.417353630065918
2023-03-05 20:46:22|DisSimilarityAttributeReduction|BreastCancer|0.14|{0, 8, 4, 5}|0.8412017167381974|3.387350082397461
2023-03-05 20:46:25|DisSimilarityAttributeReduction|BreastCancer|0.16|{0, 8, 2, 7}|0.8369098712446352|3.5047473907470703
2023-03-05 20:46:29|DisSimilarityAttributeReduction|BreastCancer|0.18|{0, 8, 2, 7}|0.8369098712446352|3.4842238426208496
2023-03-05 20:46:32|DisSimilarityAttributeReduction|BreastCancer|0.19999999999999998|{0, 8, 6, 7}|0.7553648068669528|3.4361822605133057
2023-03-05 20:46:36|DisSimilarityAttributeReduction|BreastCancer|0.21999999999999997|{0, 8, 6, 7}|0.7553648068669528|3.483973503112793
2023-03-05 20:46:39|DisSimilarityAttributeReduction|BreastCancer|0.23999999999999996|{0, 3, 4, 5}|0.9356223175965666|3.351369619369507
2023-03-05 20:46:43|DisSimilarityAttributeReduction|BreastCancer|0.25999999999999995|{8, 0, 2, 5}|0.9155937052932761|3.1988933086395264
2023-03-05 20:46:46|DisSimilarityAttributeReduction|BreastCancer|0.27999999999999997|{8, 0, 2, 5}|0.9012875536480687|3.1766257286071777
2023-03-05 20:46:49|DisSimilarityAttributeReduction|BreastCancer|0.3|{8, 0, 2, 5}|0.8955650929899857|3.1643288135528564
2023-03-05 20:46:52|DisSimilarityAttributeReduction|BreastCancer|0.32|{8, 1, 5, 0}|0.9241773962804005|3.2473769187927246
2023-03-05 20:46:55|DisSimilarityAttributeReduction|BreastCancer|0.34|{0, 1, 4, 5}|0.9413447782546495|3.0683581829071045
2023-03-05 20:46:58|DisSimilarityAttributeReduction|BreastCancer|0.36000000000000004|{0, 1, 4, 5}|0.9356223175965666|3.161421060562134
2023-03-05 20:47:02|DisSimilarityAttributeReduction|BreastCancer|0.38000000000000006|{0, 1, 4, 5}|0.9341917024320457|3.1850085258483887
2023-03-05 20:47:05|DisSimilarityAttributeReduction|BreastCancer|0.4000000000000001|{0, 1, 4, 5}|0.9370529327610873|2.982099771499634
