结果生成时间|算法名称|数据集名称|半径|约简结果|依赖度|约简时间
2023-03-05 16:38:51|DisSimilarityAttributeReduction|BreastTissue|0.02|{1, 5}|0.2830188679245283|0.2618141174316406
2023-03-05 16:38:52|DisSimilarityAttributeReduction|BreastTissue|0.04|{1, 5}|0.36792452830188677|0.24558663368225098
2023-03-05 16:38:52|DisSimilarityAttributeReduction|BreastTissue|0.06|{1, 5}|0.3113207547169811|0.24837756156921387
2023-03-05 16:38:52|DisSimilarityAttributeReduction|BreastTissue|0.08|{2, 3, 5, 7}|0.37735849056603776|0.32141661643981934
2023-03-05 16:38:53|DisSimilarityAttributeReduction|BreastTissue|0.1|{0, 1, 2, 3}|0.4056603773584906|0.3229377269744873
2023-03-05 16:38:53|DisSimilarityAttributeReduction|BreastTissue|0.12000000000000001|{0, 2, 3, 6}|0.4056603773584906|0.3086667060852051
2023-03-05 16:38:53|DisSimilarityAttributeReduction|BreastTissue|0.14|{0, 1, 2, 3}|0.42452830188679247|0.32799410820007324
2023-03-05 16:38:54|DisSimilarityAttributeReduction|BreastTissue|0.16|{0, 1, 2, 3}|0.41509433962264153|0.31212425231933594
2023-03-05 16:38:54|DisSimilarityAttributeReduction|BreastTissue|0.18|{0, 2, 3, 5}|0.42452830188679247|0.3154184818267822
2023-03-05 16:38:54|DisSimilarityAttributeReduction|BreastTissue|0.19999999999999998|{0, 1, 2, 3}|0.3867924528301887|0.3110804557800293
2023-03-05 16:38:54|DisSimilarityAttributeReduction|BreastTissue|0.21999999999999997|{0, 2, 3, 4}|0.41509433962264153|0.32553577423095703
2023-03-05 16:38:55|DisSimilarityAttributeReduction|BreastTissue|0.23999999999999996|{0, 2, 3, 4}|0.41509433962264153|0.32020044326782227
2023-03-05 16:38:55|DisSimilarityAttributeReduction|BreastTissue|0.25999999999999995|{0, 1, 2, 3, 4, 5}|0.42452830188679247|0.4828627109527588
2023-03-05 16:38:56|DisSimilarityAttributeReduction|BreastTissue|0.27999999999999997|{0, 1, 2, 3, 4, 5}|0.4528301886792453|0.36413073539733887
2023-03-05 16:38:56|DisSimilarityAttributeReduction|BreastTissue|0.3|{0, 1, 2, 3}|0.41509433962264153|0.40922045707702637
2023-03-05 16:38:56|DisSimilarityAttributeReduction|BreastTissue|0.32|{0, 1, 2, 3, 6, 8}|0.41509433962264153|0.3770580291748047
2023-03-05 16:38:57|DisSimilarityAttributeReduction|BreastTissue|0.34|{0, 1, 2, 3, 4, 8}|0.4339622641509434|0.4016122817993164
2023-03-05 16:38:57|DisSimilarityAttributeReduction|BreastTissue|0.36000000000000004|{0, 1, 2, 3, 4, 6, 7, 8}|0.41509433962264153|0.49610066413879395
2023-03-05 16:38:58|DisSimilarityAttributeReduction|BreastTissue|0.38000000000000006|{0, 1, 2, 3, 4, 6, 7, 8}|0.36792452830188677|0.39101457595825195
2023-03-05 16:38:58|DisSimilarityAttributeReduction|BreastTissue|0.4000000000000001|{0, 1, 2, 3}|0.2358490566037736|0.4574248790740967
