结果生成时间|算法名称|数据集名称|半径|约简结果|依赖度|约简时间
2023-03-05 20:50:19|DisSimilarityAttributeReduction|College|0.02|{6, 7}|0.7258687258687259|13.545884370803833
2023-03-05 20:50:33|DisSimilarityAttributeReduction|College|0.04|{15, 5, 6, 7}|0.7168597168597168|22.583837270736694
2023-03-05 20:50:55|DisSimilarityAttributeReduction|College|0.06|{0, 12, 6, 7}|0.7837837837837838|27.91793179512024
2023-03-05 20:51:23|DisSimilarityAttributeReduction|College|0.08|{2, 12, 6, 7}|0.8185328185328186|30.47278642654419
2023-03-05 20:51:54|DisSimilarityAttributeReduction|College|0.1|{1, 12, 5, 7}|0.833976833976834|30.939340353012085
2023-03-05 20:52:25|DisSimilarityAttributeReduction|College|0.12000000000000001|{16, 1, 6, 7, 9, 14}|0.7799227799227799|30.661090850830078
2023-03-05 20:52:55|DisSimilarityAttributeReduction|College|0.14|{0, 5, 6, 7, 11, 14}|0.8352638352638353|28.561702013015747
2023-03-05 20:53:24|DisSimilarityAttributeReduction|College|0.16|{0, 1, 5, 7, 11, 14}|0.8326898326898327|27.80997586250305
2023-03-05 20:53:52|DisSimilarityAttributeReduction|College|0.18|{0, 3, 5, 7, 8, 12}|0.8468468468468469|27.147907972335815
2023-03-05 20:54:19|DisSimilarityAttributeReduction|College|0.19999999999999998|{2, 4, 5, 7, 11, 14}|0.8687258687258688|24.328301191329956
2023-03-05 20:54:43|DisSimilarityAttributeReduction|College|0.21999999999999997|{0, 2, 4, 5, 7, 8, 12, 14}|0.8416988416988417|22.664846420288086
2023-03-05 20:55:06|DisSimilarityAttributeReduction|College|0.23999999999999996|{16, 4, 5, 7, 10, 12}|0.8764478764478765|20.70602774620056
2023-03-05 20:55:26|DisSimilarityAttributeReduction|College|0.25999999999999995|{16, 2, 4, 5, 7, 12}|0.8854568854568855|19.138928651809692
2023-03-05 20:55:46|DisSimilarityAttributeReduction|College|0.27999999999999997|{2, 3, 4, 5, 7, 12, 13, 14}|0.8635778635778636|18.098488330841064
2023-03-05 20:56:04|DisSimilarityAttributeReduction|College|0.3|{2, 4, 5, 6, 7, 8, 11, 12, 14, 16}|0.8442728442728443|16.68019461631775
2023-03-05 20:56:20|DisSimilarityAttributeReduction|College|0.32|{2, 3, 4, 5, 7, 8, 11, 12, 13, 14}|0.8236808236808236|16.297050714492798
2023-03-05 20:56:37|DisSimilarityAttributeReduction|College|0.34|{2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 14, 16}|0.8275418275418276|14.388073682785034
2023-03-05 20:56:51|DisSimilarityAttributeReduction|College|0.36000000000000004|{2, 3, 4, 5, 6, 7, 8, 10, 12, 13, 14, 16}|0.8314028314028314|13.189430713653564
2023-03-05 20:57:04|DisSimilarityAttributeReduction|College|0.38000000000000006|{2, 3, 4, 5, 7, 11, 12, 13, 14, 16}|0.8275418275418276|13.454621315002441
2023-03-05 20:57:18|DisSimilarityAttributeReduction|College|0.4000000000000001|{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16}|0.8185328185328186|12.52082085609436
