结果生成时间|算法名称|数据集名称|半径|约简结果|依赖度|约简时间
2023-03-05 16:47:41|DisSimilarityAttributeReduction|Glass|0.02|{8, 5, 6, 7}|0.2757009345794392|0.7575821876525879
2023-03-05 16:47:41|DisSimilarityAttributeReduction|Glass|0.04|{0, 2, 5, 6, 7, 8}|0.4439252336448598|0.8515198230743408
2023-03-05 16:47:42|DisSimilarityAttributeReduction|Glass|0.06|{0, 2, 3, 4, 5, 6, 7, 8}|0.37850467289719625|0.9098911285400391
2023-03-05 16:47:43|DisSimilarityAttributeReduction|Glass|0.08|{0, 1, 3, 4, 7, 8}|0.4485981308411215|1.060387134552002
2023-03-05 16:47:44|DisSimilarityAttributeReduction|Glass|0.1|{0, 1, 2, 3, 4, 5, 6, 7, 8}|0.4392523364485981|1.049837350845337
2023-03-05 16:47:45|DisSimilarityAttributeReduction|Glass|0.12000000000000001|{0, 1, 2, 3, 4, 5, 6, 7, 8}|0.35046728971962615|1.01792573928833
2023-03-05 16:47:46|DisSimilarityAttributeReduction|Glass|0.14|{0, 1, 2, 3, 4, 5, 6, 7, 8}|0.3691588785046729|0.9148495197296143
2023-03-05 16:47:47|DisSimilarityAttributeReduction|Glass|0.16|{0, 1, 2, 3, 5, 6, 7, 8}|0.37383177570093457|0.9780125617980957
2023-03-05 16:47:48|DisSimilarityAttributeReduction|Glass|0.18|{0, 1, 2, 3, 5, 6, 7, 8}|0.29439252336448596|1.0063109397888184
2023-03-05 16:47:49|DisSimilarityAttributeReduction|Glass|0.19999999999999998|{0, 1, 2, 3, 7, 8}|0.29906542056074764|0.9112253189086914
2023-03-05 16:47:50|DisSimilarityAttributeReduction|Glass|0.21999999999999997|{0, 2, 3, 5, 7, 8}|0.2523364485981308|0.9898300170898438
2023-03-05 16:47:51|DisSimilarityAttributeReduction|Glass|0.23999999999999996|{0, 2, 3, 4, 7, 8}|0.27102803738317754|1.0234179496765137
2023-03-05 16:47:52|DisSimilarityAttributeReduction|Glass|0.25999999999999995|{0, 1, 2, 3, 4, 5, 6, 7, 8}|0.2803738317757009|1.0641820430755615
2023-03-05 16:47:53|DisSimilarityAttributeReduction|Glass|0.27999999999999997|{0, 1, 2, 3, 4, 6, 7, 8}|0.26635514018691586|0.8989801406860352
2023-03-05 16:47:54|DisSimilarityAttributeReduction|Glass|0.3|{0, 1, 2, 3, 4, 5, 6, 7, 8}|0.2850467289719626|0.9311749935150146
2023-03-05 16:47:55|DisSimilarityAttributeReduction|Glass|0.32|{0, 1, 2, 3, 4, 5, 6, 7, 8}|0.20093457943925233|0.9923436641693115
2023-03-05 16:47:56|DisSimilarityAttributeReduction|Glass|0.34|{1, 2, 3, 4, 5, 6, 7, 8}|0.19158878504672897|1.0032868385314941
2023-03-05 16:47:57|DisSimilarityAttributeReduction|Glass|0.36000000000000004|{8, 2, 5, 7}|0.14485981308411214|0.8141224384307861
2023-03-05 16:47:58|DisSimilarityAttributeReduction|Glass|0.38000000000000006|{8, 2, 5, 7}|0.1542056074766355|0.7882368564605713
2023-03-05 16:47:59|DisSimilarityAttributeReduction|Glass|0.4000000000000001|{8, 2, 5, 7}|0.16822429906542055|0.792656421661377
