结果生成时间|算法名称|数据集名称|半径|约简结果|依赖度|约简时间
2023-03-05 16:39:24|DisSimilarityAttributeReduction|GlaucomaM|0.02|{34, 46}|0.6224489795918368|7.117274045944214
2023-03-05 16:39:31|DisSimilarityAttributeReduction|GlaucomaM|0.04|{33, 34, 37, 30}|0.5204081632653061|7.610239267349243
2023-03-05 16:39:39|DisSimilarityAttributeReduction|GlaucomaM|0.06|{32, 1, 42, 34}|0.6887755102040817|19.883917331695557
2023-03-05 16:39:59|DisSimilarityAttributeReduction|GlaucomaM|0.08|{32, 34, 35, 52, 42, 46}|0.6989795918367347|22.301695823669434
2023-03-05 16:40:21|DisSimilarityAttributeReduction|GlaucomaM|0.1|{34, 61, 44, 21}|0.6122448979591837|21.27557396888733
2023-03-05 16:40:42|DisSimilarityAttributeReduction|GlaucomaM|0.12000000000000001|{34, 51, 42, 58, 44, 61}|0.5969387755102041|23.236274003982544
2023-03-05 16:41:06|DisSimilarityAttributeReduction|GlaucomaM|0.14|{48, 21, 58, 13}|0.6632653061224489|14.740875244140625
2023-03-05 16:41:20|DisSimilarityAttributeReduction|GlaucomaM|0.16|{2, 34, 21, 7, 9, 46}|0.673469387755102|9.970572233200073
2023-03-05 16:41:30|DisSimilarityAttributeReduction|GlaucomaM|0.18|{34, 21, 22, 9, 12, 46}|0.6938775510204082|10.389370918273926
2023-03-05 16:41:41|DisSimilarityAttributeReduction|GlaucomaM|0.19999999999999998|{1, 23, 21, 30, 10, 46}|0.6479591836734694|10.626081943511963
2023-03-05 16:41:51|DisSimilarityAttributeReduction|GlaucomaM|0.21999999999999997|{2, 21, 23, 8, 41, 46}|0.6581632653061225|10.574386596679688
2023-03-05 16:42:02|DisSimilarityAttributeReduction|GlaucomaM|0.23999999999999996|{19, 21, 23, 56, 9, 46}|0.6989795918367347|10.217946290969849
2023-03-05 16:42:12|DisSimilarityAttributeReduction|GlaucomaM|0.25999999999999995|{17, 21, 6, 23, 41, 15, 46, 57}|0.6530612244897959|12.06085205078125
2023-03-05 16:42:24|DisSimilarityAttributeReduction|GlaucomaM|0.27999999999999997|{49, 34, 21, 54, 23, 9, 46, 31}|0.6122448979591837|12.419396877288818
2023-03-05 16:42:37|DisSimilarityAttributeReduction|GlaucomaM|0.3|{17, 52, 4, 21, 23, 56, 10, 46}|0.6989795918367347|11.565597772598267
2023-03-05 16:42:48|DisSimilarityAttributeReduction|GlaucomaM|0.32|{17, 50, 52, 4, 23, 24, 59, 46}|0.6479591836734694|11.561701536178589
2023-03-05 16:43:00|DisSimilarityAttributeReduction|GlaucomaM|0.34|{12, 44, 46, 17, 50, 23, 56, 59, 60, 31}|0.6938775510204082|12.28248119354248
2023-03-05 16:43:12|DisSimilarityAttributeReduction|GlaucomaM|0.36000000000000004|{2, 37, 9, 42, 46, 17, 50, 52, 21, 54, 23, 29}|0.673469387755102|12.616027116775513
2023-03-05 16:43:25|DisSimilarityAttributeReduction|GlaucomaM|0.38000000000000006|{2, 37, 46, 17, 50, 52, 21, 54, 23, 25, 28, 31}|0.6479591836734694|12.864148378372192
2023-03-05 16:43:37|DisSimilarityAttributeReduction|GlaucomaM|0.4000000000000001|{2, 4, 5, 9, 42, 46, 50, 51, 52, 21, 54, 23, 24, 31}|0.6479591836734694|13.597637176513672
