结果生成时间|算法名称|数据集名称|半径|约简结果|依赖度|约简时间
2023-03-05 16:48:43|DisSimilarityAttributeReduction|PimaIndiansDiabetes|0.02|{0, 1, 2, 22}|0.6381766381766382|5.684539079666138
2023-03-05 16:48:49|DisSimilarityAttributeReduction|PimaIndiansDiabetes|0.04|{0, 1, 4, 23}|0.7863247863247863|6.019670724868774
2023-03-05 16:48:55|DisSimilarityAttributeReduction|PimaIndiansDiabetes|0.06|{0, 1, 4, 30}|0.7863247863247863|6.26411771774292
2023-03-05 16:49:01|DisSimilarityAttributeReduction|PimaIndiansDiabetes|0.08|{0, 1, 13, 22}|0.7207977207977208|6.666922569274902
2023-03-05 16:49:08|DisSimilarityAttributeReduction|PimaIndiansDiabetes|0.1|{0, 1, 2, 3, 26, 30}|0.7037037037037037|7.340074062347412
2023-03-05 16:49:15|DisSimilarityAttributeReduction|PimaIndiansDiabetes|0.12000000000000001|{0, 1, 2, 3, 22, 26}|0.7777777777777778|7.595517873764038
2023-03-05 16:49:23|DisSimilarityAttributeReduction|PimaIndiansDiabetes|0.14|{0, 1, 3, 4, 8, 26}|0.7521367521367521|8.316939353942871
2023-03-05 16:49:31|DisSimilarityAttributeReduction|PimaIndiansDiabetes|0.16|{0, 1, 3, 4, 8, 26}|0.7578347578347578|8.959534168243408
2023-03-05 16:49:40|DisSimilarityAttributeReduction|PimaIndiansDiabetes|0.18|{33, 2, 4, 23}|0.7834757834757835|8.164480447769165
2023-03-05 16:49:48|DisSimilarityAttributeReduction|PimaIndiansDiabetes|0.19999999999999998|{32, 33, 2, 1, 4, 23}|0.8091168091168092|8.958207607269287
2023-03-05 16:49:57|DisSimilarityAttributeReduction|PimaIndiansDiabetes|0.21999999999999997|{32, 33, 2, 1, 24, 9}|0.7407407407407407|10.198600053787231
2023-03-05 16:50:08|DisSimilarityAttributeReduction|PimaIndiansDiabetes|0.23999999999999996|{32, 33, 2, 1, 6, 25}|0.7749287749287749|8.558085918426514
2023-03-05 16:50:16|DisSimilarityAttributeReduction|PimaIndiansDiabetes|0.25999999999999995|{33, 4, 21, 24, 26, 11}|0.7464387464387464|8.672898530960083
2023-03-05 16:50:25|DisSimilarityAttributeReduction|PimaIndiansDiabetes|0.27999999999999997|{33, 1, 18, 4, 23, 24}|0.7549857549857549|9.552542686462402
2023-03-05 16:50:34|DisSimilarityAttributeReduction|PimaIndiansDiabetes|0.3|{2, 6, 7, 25, 12, 13}|0.7720797720797721|9.032832145690918
2023-03-05 16:50:43|DisSimilarityAttributeReduction|PimaIndiansDiabetes|0.32|{33, 2, 1, 4, 7, 20, 23, 24}|0.7464387464387464|9.702958822250366
2023-03-05 16:50:53|DisSimilarityAttributeReduction|PimaIndiansDiabetes|0.34|{4, 7, 23, 24, 26, 27}|0.7350427350427351|10.31716775894165
2023-03-05 16:51:03|DisSimilarityAttributeReduction|PimaIndiansDiabetes|0.36000000000000004|{16, 33, 2, 19, 20, 7, 27, 14}|0.7065527065527065|14.780968189239502
2023-03-05 16:51:18|DisSimilarityAttributeReduction|PimaIndiansDiabetes|0.38000000000000006|{16, 2, 7, 30, 27, 12, 14, 15}|0.698005698005698|20.291041612625122
2023-03-05 16:51:39|DisSimilarityAttributeReduction|PimaIndiansDiabetes|0.4000000000000001|{16, 2, 18, 23, 27, 12, 13, 14}|0.6837606837606838|20.178911685943604
