结果生成时间|算法名称|数据集名称|半径|约简结果|依赖度|约简时间
2023-03-05 20:57:30|DisSimilarityAttributeReduction|Vehicle|0.02|{8, 13, 5, 7}|0.4858156028368794|12.45877981185913
2023-03-05 20:57:43|DisSimilarityAttributeReduction|Vehicle|0.04|{16, 11, 4, 5}|0.5709219858156028|21.393197536468506
2023-03-05 20:58:04|DisSimilarityAttributeReduction|Vehicle|0.06|{17, 3, 4, 5, 7, 13}|0.574468085106383|31.817503929138184
2023-03-05 20:58:36|DisSimilarityAttributeReduction|Vehicle|0.08|{0, 1, 4, 5, 7, 13}|0.6158392434988179|35.172354221343994
2023-03-05 20:59:11|DisSimilarityAttributeReduction|Vehicle|0.1|{16, 1, 17, 4, 5, 7, 8, 13}|0.599290780141844|40.499186992645264
2023-03-05 20:59:52|DisSimilarityAttributeReduction|Vehicle|0.12000000000000001|{17, 4, 5, 7, 8, 9, 13, 14}|0.5874704491725768|41.66878080368042
2023-03-05 21:00:33|DisSimilarityAttributeReduction|Vehicle|0.14|{0, 1, 17, 4, 5, 6, 13, 14}|0.5567375886524822|41.648679971694946
2023-03-05 21:01:15|DisSimilarityAttributeReduction|Vehicle|0.16|{0, 16, 4, 5, 9, 11, 14, 15}|0.5484633569739953|41.618305921554565
2023-03-05 21:01:57|DisSimilarityAttributeReduction|Vehicle|0.18|{0, 17, 4, 5, 8, 9, 14, 15}|0.557919621749409|40.75735807418823
2023-03-05 21:02:37|DisSimilarityAttributeReduction|Vehicle|0.19999999999999998|{0, 1, 4, 8, 9, 13, 14, 15, 16, 17}|0.5933806146572104|40.29008388519287
2023-03-05 21:03:18|DisSimilarityAttributeReduction|Vehicle|0.21999999999999997|{0, 2, 4, 5, 7, 9, 14, 15, 16, 17}|0.5957446808510638|39.23589873313904
2023-03-05 21:03:57|DisSimilarityAttributeReduction|Vehicle|0.23999999999999996|{0, 1, 2, 4, 5, 6, 7, 8, 9, 13, 14, 15, 16, 17}|0.6063829787234043|38.67869710922241
2023-03-05 21:04:36|DisSimilarityAttributeReduction|Vehicle|0.25999999999999995|{0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17}|0.5957446808510638|38.14006304740906
2023-03-05 21:05:14|DisSimilarityAttributeReduction|Vehicle|0.27999999999999997|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17}|0.6052009456264775|35.774842262268066
2023-03-05 21:05:49|DisSimilarityAttributeReduction|Vehicle|0.3|{0, 1, 2, 3, 4, 5, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17}|0.5602836879432624|34.490750789642334
2023-03-05 21:06:24|DisSimilarityAttributeReduction|Vehicle|0.32|{16, 17, 5, 8, 9, 10}|0.16548463356973994|29.966906547546387
2023-03-05 21:06:54|DisSimilarityAttributeReduction|Vehicle|0.34|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17}|0.4929078014184397|30.35991644859314
2023-03-05 21:07:24|DisSimilarityAttributeReduction|Vehicle|0.36000000000000004|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17}|0.3735224586288416|29.13855242729187
2023-03-05 21:07:53|DisSimilarityAttributeReduction|Vehicle|0.38000000000000006|{16, 17, 10, 1}|0.07801418439716312|23.25489640235901
2023-03-05 21:08:17|DisSimilarityAttributeReduction|Vehicle|0.4000000000000001|{17, 10}|0.04846335697399527|20.219265699386597
