结果生成时间|算法名称|数据集名称|半径|约简结果|依赖度|约简时间
2023-03-05 20:41:29|DisSimilarityAttributeReduction|australian|0.02|{0, 1, 5, 7, 8, 11}|0.6202898550724638|14.72898530960083
2023-03-05 20:41:44|DisSimilarityAttributeReduction|australian|0.04|{0, 4, 7, 8, 9, 10}|0.6623188405797101|14.63426661491394
2023-03-05 20:41:58|DisSimilarityAttributeReduction|australian|0.06|{0, 4, 7, 8, 9, 10}|0.6884057971014492|14.972388505935669
2023-03-05 20:42:13|DisSimilarityAttributeReduction|australian|0.08|{0, 1, 4, 7, 9, 13}|0.6739130434782609|15.289501190185547
2023-03-05 20:42:29|DisSimilarityAttributeReduction|australian|0.1|{0, 1, 3, 4, 7, 8, 9, 11}|0.6710144927536232|14.644551277160645
2023-03-05 20:42:43|DisSimilarityAttributeReduction|australian|0.12000000000000001|{0, 1, 4, 7, 8, 9, 11, 12}|0.6594202898550725|15.93526005744934
2023-03-05 20:42:59|DisSimilarityAttributeReduction|australian|0.14|{2, 3, 4, 7, 8, 9, 11, 12}|0.7|14.74160385131836
2023-03-05 20:43:14|DisSimilarityAttributeReduction|australian|0.16|{2, 4, 7, 8, 9, 10, 11, 12}|0.7188405797101449|13.912666320800781
2023-03-05 20:43:28|DisSimilarityAttributeReduction|australian|0.18|{2, 4, 6, 7, 8, 10, 11, 12}|0.672463768115942|13.698322534561157
2023-03-05 20:43:42|DisSimilarityAttributeReduction|australian|0.19999999999999998|{0, 2, 4, 5, 7, 8, 10, 11}|0.7|13.550865888595581
2023-03-05 20:43:55|DisSimilarityAttributeReduction|australian|0.21999999999999997|{2, 3, 4, 5, 7, 8, 9, 10, 11, 12}|0.6826086956521739|13.26396894454956
2023-03-05 20:44:08|DisSimilarityAttributeReduction|australian|0.23999999999999996|{0, 1, 2, 4, 5, 7, 8, 10, 11, 13}|0.7014492753623188|13.06135892868042
2023-03-05 20:44:22|DisSimilarityAttributeReduction|australian|0.25999999999999995|{0, 2, 3, 4, 7, 8, 10, 11}|0.6753623188405797|12.706324100494385
2023-03-05 20:44:34|DisSimilarityAttributeReduction|australian|0.27999999999999997|{0, 1, 2, 4, 5, 6, 7, 8, 9, 10}|0.6565217391304348|12.648803234100342
2023-03-05 20:44:47|DisSimilarityAttributeReduction|australian|0.3|{0, 1, 2, 4, 5, 7, 8, 10, 11, 13}|0.6739130434782609|12.755939245223999
2023-03-05 20:45:00|DisSimilarityAttributeReduction|australian|0.32|{0, 1, 2, 4, 5, 7, 8, 10, 11, 12}|0.6898550724637681|12.27273941040039
2023-03-05 20:45:12|DisSimilarityAttributeReduction|australian|0.34|{0, 1, 2, 3, 4, 5, 7, 8, 10, 11}|0.6826086956521739|12.352627515792847
2023-03-05 20:45:24|DisSimilarityAttributeReduction|australian|0.36000000000000004|{0, 1, 2, 3, 4, 5, 7, 8, 10, 11}|0.6840579710144927|12.262247800827026
2023-03-05 20:45:37|DisSimilarityAttributeReduction|australian|0.38000000000000006|{0, 1, 3, 4, 5, 7, 8, 10, 11, 13}|0.7|11.967628955841064
2023-03-05 20:45:49|DisSimilarityAttributeReduction|australian|0.4000000000000001|{0, 1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 13}|0.6811594202898551|11.658674240112305
