结果生成时间|算法名称|数据集名称|半径|约简结果|依赖度|约简时间
2023-03-05 21:38:26|DisSimilarityAttributeReduction|data_banknote|0.02|{0, 3}|0.8104956268221575|2.0474863052368164
2023-03-05 21:38:28|DisSimilarityAttributeReduction|data_banknote|0.04|{0, 1, 2, 3}|0.8768221574344023|3.5325896739959717
2023-03-05 21:38:31|DisSimilarityAttributeReduction|data_banknote|0.06|{0, 1, 2, 3}|0.9795918367346939|4.6147520542144775
2023-03-05 21:38:36|DisSimilarityAttributeReduction|data_banknote|0.08|{0, 1, 2, 3}|0.9905247813411079|5.782840728759766
2023-03-05 21:38:42|DisSimilarityAttributeReduction|data_banknote|0.1|{0, 1, 2, 3}|0.989067055393586|6.585097312927246
2023-03-05 21:38:48|DisSimilarityAttributeReduction|data_banknote|0.12000000000000001|{0, 1, 2, 3}|0.999271137026239|7.277735948562622
2023-03-05 21:38:55|DisSimilarityAttributeReduction|data_banknote|0.14|{0, 1, 2, 3}|0.999271137026239|7.436243057250977
2023-03-05 21:39:03|DisSimilarityAttributeReduction|data_banknote|0.16|{0, 1, 2, 3}|0.9985422740524781|7.602797508239746
2023-03-05 21:39:10|DisSimilarityAttributeReduction|data_banknote|0.18|{0, 1, 2, 3}|0.9963556851311953|7.652738094329834
2023-03-05 21:39:18|DisSimilarityAttributeReduction|data_banknote|0.19999999999999998|{0, 1, 2, 3}|0.9817784256559767|7.314882040023804
2023-03-05 21:39:25|DisSimilarityAttributeReduction|data_banknote|0.21999999999999997|{0, 1, 2, 3}|0.9336734693877551|7.711889266967773
2023-03-05 21:39:33|DisSimilarityAttributeReduction|data_banknote|0.23999999999999996|{0, 1, 2, 3}|0.9154518950437318|7.127823114395142
2023-03-05 21:39:40|DisSimilarityAttributeReduction|data_banknote|0.25999999999999995|{0, 1, 2, 3}|0.8986880466472303|6.592000722885132
2023-03-05 21:39:47|DisSimilarityAttributeReduction|data_banknote|0.27999999999999997|{0, 1, 2, 3}|0.7295918367346939|7.412608623504639
2023-03-05 21:39:54|DisSimilarityAttributeReduction|data_banknote|0.3|{0, 1, 2, 3}|0.6960641399416909|6.345034599304199
2023-03-05 21:40:01|DisSimilarityAttributeReduction|data_banknote|0.32|{0, 1, 2, 3}|0.6042274052478134|5.965554237365723
2023-03-05 21:40:07|DisSimilarityAttributeReduction|data_banknote|0.34|{0, 1, 2, 3}|0.5043731778425656|7.9822211265563965
2023-03-05 21:40:15|DisSimilarityAttributeReduction|data_banknote|0.36000000000000004|{0, 1, 2, 3}|0.36005830903790087|7.495455026626587
2023-03-05 21:40:22|DisSimilarityAttributeReduction|data_banknote|0.38000000000000006|{0, 1}|0.1282798833819242|8.535133361816406
2023-03-05 21:40:31|DisSimilarityAttributeReduction|data_banknote|0.4000000000000001|{0, 1}|0.1282798833819242|6.913609027862549
