结果生成时间|算法名称|数据集名称|半径|约简结果|依赖度|约简时间
2023-03-05 20:47:08|DisSimilarityAttributeReduction|diabetes|0.02|{1, 4}|0.3841145833333333|2.0722239017486572
2023-03-05 20:47:10|DisSimilarityAttributeReduction|diabetes|0.04|{1, 4, 6, 7}|0.3580729166666667|3.6161508560180664
2023-03-05 20:47:13|DisSimilarityAttributeReduction|diabetes|0.06|{4, 5, 6, 7}|0.4947916666666667|5.111140489578247
2023-03-05 20:47:19|DisSimilarityAttributeReduction|diabetes|0.08|{1, 4, 5, 7}|0.5455729166666666|6.04732346534729
2023-03-05 20:47:25|DisSimilarityAttributeReduction|diabetes|0.1|{1, 4, 5, 7}|0.52734375|6.535327434539795
2023-03-05 20:47:31|DisSimilarityAttributeReduction|diabetes|0.12000000000000001|{1, 3, 4, 5, 6, 7}|0.51953125|6.78207802772522
2023-03-05 20:47:38|DisSimilarityAttributeReduction|diabetes|0.14|{0, 1, 4, 5, 6, 7}|0.5625|6.598300218582153
2023-03-05 20:47:45|DisSimilarityAttributeReduction|diabetes|0.16|{0, 1, 3, 5, 6, 7}|0.5885416666666666|6.473356246948242
2023-03-05 20:47:51|DisSimilarityAttributeReduction|diabetes|0.18|{0, 1, 2, 3, 4, 5, 6, 7}|0.5390625|6.107706785202026
2023-03-05 20:47:57|DisSimilarityAttributeReduction|diabetes|0.19999999999999998|{0, 1, 2, 3, 4, 5, 6, 7}|0.55078125|5.872192144393921
2023-03-05 20:48:03|DisSimilarityAttributeReduction|diabetes|0.21999999999999997|{0, 1, 2, 3, 4, 5, 6, 7}|0.5286458333333334|5.524597406387329
2023-03-05 20:48:08|DisSimilarityAttributeReduction|diabetes|0.23999999999999996|{0, 1, 2, 3, 4, 5, 6, 7}|0.4895833333333333|5.001953840255737
2023-03-05 20:48:13|DisSimilarityAttributeReduction|diabetes|0.25999999999999995|{0, 1, 2, 3, 4, 5, 6, 7}|0.421875|4.748592138290405
2023-03-05 20:48:18|DisSimilarityAttributeReduction|diabetes|0.27999999999999997|{0, 1, 2, 3, 4, 5, 6, 7}|0.33984375|4.528374671936035
2023-03-05 20:48:23|DisSimilarityAttributeReduction|diabetes|0.3|{0, 1, 2, 3, 4, 5, 6, 7}|0.3020833333333333|3.9552416801452637
2023-03-05 20:48:27|DisSimilarityAttributeReduction|diabetes|0.32|{0, 1, 2, 3, 4, 5, 6, 7}|0.1640625|3.5913662910461426
2023-03-05 20:48:30|DisSimilarityAttributeReduction|diabetes|0.34|{0, 1, 2, 3, 4, 5, 6, 7}|0.1015625|3.30340576171875
2023-03-05 20:48:34|DisSimilarityAttributeReduction|diabetes|0.36000000000000004|{0, 1, 3, 5, 6, 7}|0.09375|2.987126111984253
2023-03-05 20:48:37|DisSimilarityAttributeReduction|diabetes|0.38000000000000006|{0, 1, 2, 5, 6, 7}|0.11067708333333333|2.8395614624023438
2023-03-05 20:48:39|DisSimilarityAttributeReduction|diabetes|0.4000000000000001|{0, 1, 2, 3, 4, 5, 6, 7}|0.11067708333333333|2.8931057453155518
