结果生成时间|算法名称|数据集名称|半径|约简结果|依赖度|约简时间
2023-03-05 20:41:14|DisSimilarityAttributeReduction|diamonds_filter|0.02|{1, 3}|0.4557595993322204|0.5681416988372803
2023-03-05 20:41:15|DisSimilarityAttributeReduction|diamonds_filter|0.04|{1, 3}|0.4724540901502504|0.5608408451080322
2023-03-05 20:41:16|DisSimilarityAttributeReduction|diamonds_filter|0.06|{0, 1, 2, 3}|0.5025041736227045|0.5711915493011475
2023-03-05 20:41:16|DisSimilarityAttributeReduction|diamonds_filter|0.08|{1, 2}|0.8480801335559266|0.6384670734405518
2023-03-05 20:41:17|DisSimilarityAttributeReduction|diamonds_filter|0.1|{0, 1, 2, 3}|0.7045075125208681|0.7660343647003174
2023-03-05 20:41:18|DisSimilarityAttributeReduction|diamonds_filter|0.12000000000000001|{0, 1, 2, 3}|0.7545909849749582|0.7757341861724854
2023-03-05 20:41:18|DisSimilarityAttributeReduction|diamonds_filter|0.14|{0, 1, 2, 3}|0.7746243739565943|0.7923002243041992
2023-03-05 20:41:19|DisSimilarityAttributeReduction|diamonds_filter|0.16|{0, 1, 2, 3}|0.7612687813021702|0.84244704246521
2023-03-05 20:41:20|DisSimilarityAttributeReduction|diamonds_filter|0.18|{0, 1, 2, 3}|0.7746243739565943|0.8788962364196777
2023-03-05 20:41:21|DisSimilarityAttributeReduction|diamonds_filter|0.19999999999999998|{0, 1, 2, 3}|0.7779632721202003|0.8462858200073242
2023-03-05 20:41:22|DisSimilarityAttributeReduction|diamonds_filter|0.21999999999999997|{0, 1, 2, 3}|0.8046744574290484|0.9419972896575928
2023-03-05 20:41:23|DisSimilarityAttributeReduction|diamonds_filter|0.23999999999999996|{0, 1, 2, 3}|0.7161936560934892|0.8571248054504395
2023-03-05 20:41:23|DisSimilarityAttributeReduction|diamonds_filter|0.25999999999999995|{0, 1, 2, 3}|0.6460767946577629|0.8062784671783447
2023-03-05 20:41:24|DisSimilarityAttributeReduction|diamonds_filter|0.27999999999999997|{0, 1, 2, 3}|0.6243739565943238|0.821235179901123
2023-03-05 20:41:25|DisSimilarityAttributeReduction|diamonds_filter|0.3|{0, 1, 2, 3}|0.5809682804674458|0.6999857425689697
2023-03-05 20:41:26|DisSimilarityAttributeReduction|diamonds_filter|0.32|{0, 1, 2, 3}|0.44240400667779634|0.6460673809051514
2023-03-05 20:41:26|DisSimilarityAttributeReduction|diamonds_filter|0.34|{0, 1, 2, 3}|0.335559265442404|0.6496288776397705
2023-03-05 20:41:27|DisSimilarityAttributeReduction|diamonds_filter|0.36000000000000004|{0, 1, 2, 3}|0.35392320534223703|0.6649775505065918
2023-03-05 20:41:28|DisSimilarityAttributeReduction|diamonds_filter|0.38000000000000006|{1, 3}|0.1986644407345576|0.669910192489624
2023-03-05 20:41:28|DisSimilarityAttributeReduction|diamonds_filter|0.4000000000000001|{1, 3}|0.19699499165275458|0.6733090877532959
