结果生成时间|算法名称|数据集名称|半径|约简结果|依赖度|约简时间
2023-03-05 16:57:51|DisSimilarityAttributeReduction|movement|0.02|{56, 51}|0.4527777777777778|93.45832896232605
2023-03-05 16:59:25|DisSimilarityAttributeReduction|movement|0.04|{16, 49, 51, 14}|0.41388888888888886|63.33006286621094
2023-03-05 17:00:28|DisSimilarityAttributeReduction|movement|0.06|{49, 51, 30, 87}|0.45555555555555555|148.02096724510193
2023-03-05 17:02:56|DisSimilarityAttributeReduction|movement|0.08|{49, 51, 20, 31}|0.49444444444444446|152.7988932132721
2023-03-05 17:05:29|DisSimilarityAttributeReduction|movement|0.1|{16, 65, 51, 37}|0.5027777777777778|154.36719155311584
2023-03-05 17:08:03|DisSimilarityAttributeReduction|movement|0.12000000000000001|{16, 49, 35, 51, 4, 30}|0.5638888888888889|123.94528579711914
2023-03-05 17:10:07|DisSimilarityAttributeReduction|movement|0.14|{49, 51, 40, 10, 30, 15}|0.6|83.25292944908142
2023-03-05 17:11:30|DisSimilarityAttributeReduction|movement|0.16|{49, 28, 51, 29, 46, 12, 13, 30}|0.6333333333333333|100.32005190849304
2023-03-05 17:13:11|DisSimilarityAttributeReduction|movement|0.18|{2, 37, 24, 25, 75, 59, 60, 14}|0.6166666666666667|102.22997188568115
2023-03-05 17:14:53|DisSimilarityAttributeReduction|movement|0.19999999999999998|{16, 75, 4, 37, 57, 26, 11, 60}|0.6555555555555556|101.7803304195404
2023-03-05 17:16:35|DisSimilarityAttributeReduction|movement|0.21999999999999997|{35, 10, 54, 55, 25, 26, 11, 12}|0.6861111111111111|103.21300029754639
2023-03-05 17:18:18|DisSimilarityAttributeReduction|movement|0.23999999999999996|{33, 66, 83, 84, 5, 53, 24, 44}|0.675|105.51895332336426
2023-03-05 17:20:04|DisSimilarityAttributeReduction|movement|0.25999999999999995|{0, 64, 36, 37, 71, 48, 20, 55, 88, 27}|0.6777777777777778|116.52910351753235
2023-03-05 17:22:00|DisSimilarityAttributeReduction|movement|0.27999999999999997|{33, 66, 67, 36, 9, 13, 14, 48, 81, 80, 86, 55}|0.6666666666666666|127.37588000297546
2023-03-05 17:24:07|DisSimilarityAttributeReduction|movement|0.3|{0, 68, 71, 11, 79, 81, 20, 55, 86, 23, 88, 29}|0.6861111111111111|127.60823035240173
2023-03-05 17:26:15|DisSimilarityAttributeReduction|movement|0.32|{0, 66, 38, 71, 9, 45, 81, 20, 55, 54, 23, 88}|0.7|127.84564971923828
2023-03-05 17:28:23|DisSimilarityAttributeReduction|movement|0.34|{0, 2, 4, 69, 70, 9, 77, 46, 80, 81, 20, 55, 23, 88, 89, 60}|0.6972222222222222|151.3799238204956
2023-03-05 17:30:54|DisSimilarityAttributeReduction|movement|0.36000000000000004|{0, 33, 70, 71, 38, 9, 10, 11, 44, 43, 79, 20, 84, 23}|0.6833333333333333|140.5715456008911
2023-03-05 17:33:15|DisSimilarityAttributeReduction|movement|0.38000000000000006|{0, 33, 2, 5, 70, 71, 9, 11, 44, 81, 20, 84, 23, 89, 60, 63}|0.6861111111111111|999.4682545661926
2023-03-05 17:49:54|DisSimilarityAttributeReduction|movement|0.4000000000000001|{0, 1, 65, 3, 2, 70, 71, 7, 9, 79, 81, 20, 22, 23, 88, 41, 42, 47}|0.6972222222222222|165.58173847198486
