结果生成时间|算法名称|数据集名称|半径|约简结果|依赖度|约简时间
2023-03-05 17:53:47|DisSimilarityAttributeReduction|musk|0.02|{144, 66, 37, 157}|0.453781512605042|198.64898419380188
2023-03-05 17:57:06|DisSimilarityAttributeReduction|musk|0.04|{144, 1, 66, 130, 36, 20}|0.47689075630252103|220.8105592727661
2023-03-05 18:00:47|DisSimilarityAttributeReduction|musk|0.06|{144, 66, 67, 4, 151, 91}|0.5315126050420168|243.05825757980347
2023-03-05 18:04:50|DisSimilarityAttributeReduction|musk|0.08|{144, 33, 66, 4, 101, 138, 90, 27}|0.5084033613445378|256.94225215911865
2023-03-05 18:09:07|DisSimilarityAttributeReduction|musk|0.1|{65, 66, 4, 150, 23, 11, 42, 91}|0.6029411764705882|272.30491304397583
2023-03-05 18:13:39|DisSimilarityAttributeReduction|musk|0.12000000000000001|{65, 66, 67, 130, 9, 75, 78, 91, 156, 30}|0.5525210084033614|319.66201734542847
2023-03-05 18:18:59|DisSimilarityAttributeReduction|musk|0.14|{96, 144, 50, 67, 91, 92, 94, 15}|0.5882352941176471|484.9714813232422
2023-03-05 18:27:03|DisSimilarityAttributeReduction|musk|0.16|{96, 65, 130, 69, 46, 144, 20, 154, 91, 94}|0.5483193277310925|492.9276955127716
2023-03-05 18:35:16|DisSimilarityAttributeReduction|musk|0.18|{96, 161, 64, 144, 149, 135, 124, 78}|0.6008403361344538|550.914708852768
2023-03-05 18:44:27|DisSimilarityAttributeReduction|musk|0.19999999999999998|{96, 162, 67, 109, 49, 117, 91, 92, 94, 31}|0.6071428571428571|580.7215266227722
2023-03-05 18:54:08|DisSimilarityAttributeReduction|musk|0.21999999999999997|{66, 3, 39, 140, 155, 109, 144, 49, 147, 123, 92, 31}|0.6050420168067226|631.0855672359467
2023-03-05 19:04:39|DisSimilarityAttributeReduction|musk|0.23999999999999996|{161, 2, 129, 4, 103, 79, 112, 48, 21, 54, 23, 58}|0.6617647058823529|458.318879365921
2023-03-05 19:12:17|DisSimilarityAttributeReduction|musk|0.25999999999999995|{161, 98, 162, 58, 164, 103, 109, 79, 112, 84, 21, 23, 26, 92}|0.6428571428571429|450.402955532074
2023-03-05 19:19:48|DisSimilarityAttributeReduction|musk|0.27999999999999997|{96, 64, 161, 35, 129, 135, 74, 139, 109, 22, 152, 155, 61, 31}|0.6533613445378151|640.5876228809357
2023-03-05 19:30:28|DisSimilarityAttributeReduction|musk|0.3|{64, 1, 129, 70, 11, 143, 82, 153, 155, 159, 31, 162, 36, 165, 112, 49, 54, 122}|0.6113445378151261|595.0147669315338
2023-03-05 19:40:23|DisSimilarityAttributeReduction|musk|0.32|{159, 64, 129, 36, 73, 10, 111, 146, 21, 54, 92, 63, 95, 31}|0.6323529411764706|665.0210049152374
2023-03-05 19:51:29|DisSimilarityAttributeReduction|musk|0.34|{64, 1, 129, 138, 10, 78, 16, 146, 31, 160, 159, 98, 36, 38, 40, 41, 56, 121}|0.5987394957983193|520.6324949264526
2023-03-05 20:00:09|DisSimilarityAttributeReduction|musk|0.36000000000000004|{64, 96, 35, 41, 31, 109, 79, 16, 52, 54, 152, 60, 63, 159}|0.5882352941176471|601.4578349590302
2023-03-05 20:10:11|DisSimilarityAttributeReduction|musk|0.38000000000000006|{64, 129, 2, 131, 12, 16, 145, 93, 94, 31, 96, 159, 98, 41, 112, 51, 52, 120}|0.5609243697478992|711.4005534648895
2023-03-05 20:22:02|DisSimilarityAttributeReduction|musk|0.4000000000000001|{64, 130, 131, 9, 11, 12, 16, 89, 56, 28, 158, 31, 159, 32, 98, 111, 51, 53, 120, 61}|0.6428571428571429|717.4316229820251
