结果生成时间|算法名称|数据集名称|半径|约简结果|依赖度|约简时间
2023-03-05 20:48:42|DisSimilarityAttributeReduction|pima|0.02|{1, 4}|0.3841145833333333|2.264669179916382
2023-03-05 20:48:45|DisSimilarityAttributeReduction|pima|0.04|{1, 4, 6, 7}|0.3580729166666667|3.9744462966918945
2023-03-05 20:48:49|DisSimilarityAttributeReduction|pima|0.06|{4, 5, 6, 7}|0.4947916666666667|5.685696840286255
2023-03-05 20:48:54|DisSimilarityAttributeReduction|pima|0.08|{1, 4, 5, 7}|0.5455729166666666|6.319523334503174
2023-03-05 20:49:01|DisSimilarityAttributeReduction|pima|0.1|{1, 4, 5, 7}|0.52734375|6.692342281341553
2023-03-05 20:49:07|DisSimilarityAttributeReduction|pima|0.12000000000000001|{1, 3, 4, 5, 6, 7}|0.51953125|7.0058088302612305
2023-03-05 20:49:14|DisSimilarityAttributeReduction|pima|0.14|{0, 1, 4, 5, 6, 7}|0.5625|6.654961824417114
2023-03-05 20:49:21|DisSimilarityAttributeReduction|pima|0.16|{0, 1, 3, 5, 6, 7}|0.5885416666666666|6.615556240081787
2023-03-05 20:49:28|DisSimilarityAttributeReduction|pima|0.18|{0, 1, 2, 3, 4, 5, 6, 7}|0.5390625|6.403180122375488
2023-03-05 20:49:34|DisSimilarityAttributeReduction|pima|0.19999999999999998|{0, 1, 2, 3, 4, 5, 6, 7}|0.55078125|6.30525541305542
2023-03-05 20:49:40|DisSimilarityAttributeReduction|pima|0.21999999999999997|{0, 1, 2, 3, 4, 5, 6, 7}|0.5286458333333334|5.690117359161377
2023-03-05 20:49:46|DisSimilarityAttributeReduction|pima|0.23999999999999996|{0, 1, 2, 3, 4, 5, 6, 7}|0.4895833333333333|4.975170850753784
2023-03-05 20:49:51|DisSimilarityAttributeReduction|pima|0.25999999999999995|{0, 1, 2, 3, 4, 5, 6, 7}|0.421875|4.636782646179199
2023-03-05 20:49:56|DisSimilarityAttributeReduction|pima|0.27999999999999997|{0, 1, 2, 3, 4, 5, 6, 7}|0.33984375|4.449333667755127
2023-03-05 20:50:00|DisSimilarityAttributeReduction|pima|0.3|{0, 1, 2, 3, 4, 5, 6, 7}|0.3020833333333333|3.8811817169189453
2023-03-05 20:50:04|DisSimilarityAttributeReduction|pima|0.32|{0, 1, 2, 3, 4, 5, 6, 7}|0.1640625|3.718527317047119
2023-03-05 20:50:08|DisSimilarityAttributeReduction|pima|0.34|{0, 1, 2, 3, 4, 5, 6, 7}|0.1015625|3.145378828048706
2023-03-05 20:50:11|DisSimilarityAttributeReduction|pima|0.36000000000000004|{0, 1, 3, 5, 6, 7}|0.09375|2.9754080772399902
2023-03-05 20:50:14|DisSimilarityAttributeReduction|pima|0.38000000000000006|{0, 1, 2, 5, 6, 7}|0.11067708333333333|2.7357685565948486
2023-03-05 20:50:16|DisSimilarityAttributeReduction|pima|0.4000000000000001|{0, 1, 2, 3, 4, 5, 6, 7}|0.11067708333333333|2.6254544258117676
