结果生成时间|算法名称|数据集名称|半径|约简结果|依赖度|约简时间
2023-03-05 16:39:13|DisSimilarityAttributeReduction|plrx|0.02|{0, 11}|0.46703296703296704|0.36969542503356934
2023-03-05 16:39:14|DisSimilarityAttributeReduction|plrx|0.04|{9, 7}|0.5934065934065934|0.3930020332336426
2023-03-05 16:39:14|DisSimilarityAttributeReduction|plrx|0.06|{11, 3}|0.46703296703296704|0.38796210289001465
2023-03-05 16:39:14|DisSimilarityAttributeReduction|plrx|0.08|{11, 3}|0.33516483516483514|0.42742419242858887
2023-03-05 16:39:15|DisSimilarityAttributeReduction|plrx|0.1|{11, 9, 3, 6}|0.3956043956043956|0.47313427925109863
2023-03-05 16:39:15|DisSimilarityAttributeReduction|plrx|0.12000000000000001|{9, 2, 11, 6}|0.5054945054945055|0.48679280281066895
2023-03-05 16:39:16|DisSimilarityAttributeReduction|plrx|0.14|{0, 2, 11, 4}|0.5054945054945055|0.519505500793457
2023-03-05 16:39:16|DisSimilarityAttributeReduction|plrx|0.16|{0, 3, 11, 4}|0.521978021978022|0.4945850372314453
2023-03-05 16:39:17|DisSimilarityAttributeReduction|plrx|0.18|{8, 2, 4, 7}|0.532967032967033|0.503359317779541
2023-03-05 16:39:17|DisSimilarityAttributeReduction|plrx|0.19999999999999998|{2, 3, 4, 5, 8, 11}|0.5384615384615384|0.5651853084564209
2023-03-05 16:39:18|DisSimilarityAttributeReduction|plrx|0.21999999999999997|{0, 2, 3, 4, 8, 11}|0.521978021978022|0.5721945762634277
2023-03-05 16:39:18|DisSimilarityAttributeReduction|plrx|0.23999999999999996|{1, 2, 3, 4, 5, 8, 10, 11}|0.5274725274725275|0.5990850925445557
2023-03-05 16:39:19|DisSimilarityAttributeReduction|plrx|0.25999999999999995|{0, 1, 2, 3, 4, 6, 10, 11}|0.4945054945054945|0.6290032863616943
2023-03-05 16:39:20|DisSimilarityAttributeReduction|plrx|0.27999999999999997|{1, 2, 3, 4, 5, 7, 10, 11}|0.44505494505494503|0.6188580989837646
2023-03-05 16:39:20|DisSimilarityAttributeReduction|plrx|0.3|{0, 1, 3, 4, 5, 7, 9, 11}|0.45604395604395603|0.6303291320800781
2023-03-05 16:39:21|DisSimilarityAttributeReduction|plrx|0.32|{0, 3, 4, 5, 7, 8, 9, 11}|0.4340659340659341|0.636263370513916
2023-03-05 16:39:21|DisSimilarityAttributeReduction|plrx|0.34|{1, 2, 3, 4, 5, 6, 7, 8, 10, 11}|0.4175824175824176|0.6634500026702881
2023-03-05 16:39:22|DisSimilarityAttributeReduction|plrx|0.36000000000000004|{1, 2, 3, 4, 5, 6, 7, 9, 10, 11}|0.4010989010989011|0.648632287979126
2023-03-05 16:39:23|DisSimilarityAttributeReduction|plrx|0.38000000000000006|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}|0.43956043956043955|0.6339960098266602
2023-03-05 16:39:23|DisSimilarityAttributeReduction|plrx|0.4000000000000001|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}|0.35714285714285715|0.712883472442627
