结果生成时间|算法名称|数据集名称|半径|约简结果|依赖度|约简时间
2023-03-05 17:52:40|DisSimilarityAttributeReduction|vote|0.02|{1, 2, 3, 4, 9, 10}|0.8804597701149425|3.3262035846710205
2023-03-05 17:52:43|DisSimilarityAttributeReduction|vote|0.04|{1, 2, 3, 4, 9, 10}|0.8804597701149425|3.1777689456939697
2023-03-05 17:52:46|DisSimilarityAttributeReduction|vote|0.06|{1, 2, 3, 4, 9, 10}|0.8804597701149425|3.2983145713806152
2023-03-05 17:52:50|DisSimilarityAttributeReduction|vote|0.08|{1, 2, 3, 4, 9, 10}|0.8804597701149425|3.171879291534424
2023-03-05 17:52:53|DisSimilarityAttributeReduction|vote|0.1|{1, 2, 3, 4, 9, 10}|0.8804597701149425|3.433574914932251
2023-03-05 17:52:56|DisSimilarityAttributeReduction|vote|0.12000000000000001|{1, 2, 3, 4, 9, 10}|0.8804597701149425|3.3429806232452393
2023-03-05 17:53:00|DisSimilarityAttributeReduction|vote|0.14|{1, 2, 3, 4, 9, 10}|0.8804597701149425|3.4338316917419434
2023-03-05 17:53:03|DisSimilarityAttributeReduction|vote|0.16|{1, 2, 3, 4, 9, 10}|0.8804597701149425|3.3505055904388428
2023-03-05 17:53:06|DisSimilarityAttributeReduction|vote|0.18|{1, 2, 3, 4, 9, 10}|0.8804597701149425|3.2634716033935547
2023-03-05 17:53:10|DisSimilarityAttributeReduction|vote|0.19999999999999998|{1, 2, 3, 4, 9, 10}|0.8804597701149425|3.241950273513794
2023-03-05 17:53:13|DisSimilarityAttributeReduction|vote|0.21999999999999997|{1, 2, 3, 4, 9, 10}|0.8804597701149425|3.3409926891326904
2023-03-05 17:53:16|DisSimilarityAttributeReduction|vote|0.23999999999999996|{1, 2, 3, 4, 9, 10}|0.8804597701149425|3.478694438934326
2023-03-05 17:53:20|DisSimilarityAttributeReduction|vote|0.25999999999999995|{1, 2, 3, 4, 9, 10}|0.8804597701149425|3.412024736404419
2023-03-05 17:53:23|DisSimilarityAttributeReduction|vote|0.27999999999999997|{1, 2, 3, 4, 9, 10}|0.8804597701149425|3.1601645946502686
2023-03-05 17:53:26|DisSimilarityAttributeReduction|vote|0.3|{1, 2, 3, 4, 9, 10}|0.8804597701149425|3.1922738552093506
2023-03-05 17:53:30|DisSimilarityAttributeReduction|vote|0.32|{1, 2, 3, 4, 9, 10}|0.8804597701149425|3.1277976036071777
2023-03-05 17:53:33|DisSimilarityAttributeReduction|vote|0.34|{1, 2, 3, 4, 9, 10}|0.8804597701149425|3.664663076400757
2023-03-05 17:53:36|DisSimilarityAttributeReduction|vote|0.36000000000000004|{1, 2, 3, 4, 9, 10}|0.8804597701149425|3.9767813682556152
2023-03-05 17:53:40|DisSimilarityAttributeReduction|vote|0.38000000000000006|{1, 2, 3, 4, 9, 10}|0.8804597701149425|3.5158300399780273
2023-03-05 17:53:44|DisSimilarityAttributeReduction|vote|0.4000000000000001|{1, 2, 3, 4, 9, 10}|0.8804597701149425|3.2155468463897705
