结果生成时间|算法名称|数据集名称|半径|约简结果|依赖度|约简时间
2023-03-05 16:39:00|DisSimilarityAttributeReduction|wine|0.02|{0, 1}|0.449438202247191|0.4660782814025879
2023-03-05 16:39:01|DisSimilarityAttributeReduction|wine|0.04|{2, 6}|0.6910112359550562|0.468538761138916
2023-03-05 16:39:01|DisSimilarityAttributeReduction|wine|0.06|{2, 11}|0.5730337078651685|0.5702362060546875
2023-03-05 16:39:02|DisSimilarityAttributeReduction|wine|0.08|{2, 6}|0.5393258426966292|0.5003612041473389
2023-03-05 16:39:02|DisSimilarityAttributeReduction|wine|0.1|{9, 2, 4, 6}|0.6292134831460674|0.6756224632263184
2023-03-05 16:39:03|DisSimilarityAttributeReduction|wine|0.12000000000000001|{9, 2, 4, 6}|0.7528089887640449|0.6066393852233887
2023-03-05 16:39:03|DisSimilarityAttributeReduction|wine|0.14|{2, 10, 4, 6}|0.7921348314606742|0.62697434425354
2023-03-05 16:39:04|DisSimilarityAttributeReduction|wine|0.16|{1, 2, 12, 9}|0.8146067415730337|0.6265666484832764
2023-03-05 16:39:05|DisSimilarityAttributeReduction|wine|0.18|{1, 2, 12, 9}|0.8651685393258427|0.634026288986206
2023-03-05 16:39:05|DisSimilarityAttributeReduction|wine|0.19999999999999998|{0, 10, 11, 4}|0.8932584269662921|0.6405236721038818
2023-03-05 16:39:06|DisSimilarityAttributeReduction|wine|0.21999999999999997|{0, 10, 2, 6}|0.9269662921348315|0.6461708545684814
2023-03-05 16:39:07|DisSimilarityAttributeReduction|wine|0.23999999999999996|{0, 10, 2, 6}|0.9382022471910112|0.7373111248016357
2023-03-05 16:39:07|DisSimilarityAttributeReduction|wine|0.25999999999999995|{0, 10, 4, 6}|0.9382022471910112|0.6597192287445068
2023-03-05 16:39:08|DisSimilarityAttributeReduction|wine|0.27999999999999997|{0, 1, 11, 12}|0.9438202247191011|0.6300704479217529
2023-03-05 16:39:09|DisSimilarityAttributeReduction|wine|0.3|{0, 10, 11, 12}|0.949438202247191|0.7992267608642578
2023-03-05 16:39:09|DisSimilarityAttributeReduction|wine|0.32|{0, 6, 7, 9, 10, 12}|0.9550561797752809|0.7902297973632812
2023-03-05 16:39:10|DisSimilarityAttributeReduction|wine|0.34|{0, 6, 7, 9, 10, 12}|0.9662921348314607|0.7537117004394531
2023-03-05 16:39:11|DisSimilarityAttributeReduction|wine|0.36000000000000004|{0, 4, 6, 10, 11, 12}|0.9831460674157303|0.7480306625366211
2023-03-05 16:39:12|DisSimilarityAttributeReduction|wine|0.38000000000000006|{0, 1, 6, 10, 11, 12}|0.9719101123595506|0.7493433952331543
2023-03-05 16:39:12|DisSimilarityAttributeReduction|wine|0.4000000000000001|{0, 7, 9, 10, 11, 12}|0.9606741573033708|0.7991058826446533
