结果生成时间|算法名称|数据集名称|半径|约简结果|依赖度|约简时间
2023-03-05 17:25:19|WeightedAttributeReduction|PimaIndiansDiabetes|0.02|{0, 4, 31}|0.6809116809116809|44.048506021499634
2023-03-05 17:26:03|WeightedAttributeReduction|PimaIndiansDiabetes|0.04|{4, 5, 15}|0.7492877492877493|43.02374839782715
2023-03-05 17:26:46|WeightedAttributeReduction|PimaIndiansDiabetes|0.06|{4, 5, 15}|0.8034188034188035|43.413403034210205
2023-03-05 17:27:29|WeightedAttributeReduction|PimaIndiansDiabetes|0.08|{0, 4, 30}|0.7749287749287749|43.756964921951294
2023-03-05 17:28:13|WeightedAttributeReduction|PimaIndiansDiabetes|0.1|{4, 5, 30}|0.8062678062678063|43.34332728385925
2023-03-05 17:28:56|WeightedAttributeReduction|PimaIndiansDiabetes|0.12000000000000001|{28, 4, 21}|0.792022792022792|45.095521450042725
2023-03-05 17:29:42|WeightedAttributeReduction|PimaIndiansDiabetes|0.14|{32, 4, 21}|0.811965811965812|44.610456228256226
2023-03-05 17:30:26|WeightedAttributeReduction|PimaIndiansDiabetes|0.16|{2, 3, 30}|0.8290598290598291|43.43903470039368
2023-03-05 17:31:10|WeightedAttributeReduction|PimaIndiansDiabetes|0.18|{2, 3, 4, 20, 26}|0.7521367521367521|63.41958451271057
2023-03-05 17:32:13|WeightedAttributeReduction|PimaIndiansDiabetes|0.19999999999999998|{0, 2, 26, 4}|0.7606837606837606|55.14446139335632
2023-03-05 17:33:08|WeightedAttributeReduction|PimaIndiansDiabetes|0.21999999999999997|{2, 3, 4, 6, 26}|0.7663817663817664|64.20572972297668
2023-03-05 17:34:12|WeightedAttributeReduction|PimaIndiansDiabetes|0.23999999999999996|{2, 26, 4, 30}|0.7407407407407407|53.990747690200806
2023-03-05 17:35:06|WeightedAttributeReduction|PimaIndiansDiabetes|0.25999999999999995|{33, 2, 19, 4, 20, 26}|0.7692307692307693|925.19793009758
2023-03-05 17:50:32|WeightedAttributeReduction|PimaIndiansDiabetes|0.27999999999999997|{16, 33, 2, 4, 7, 15}|0.7692307692307693|75.41279983520508
2023-03-05 17:51:47|WeightedAttributeReduction|PimaIndiansDiabetes|0.3|{4, 21, 7, 28, 29}|0.7549857549857549|66.80706334114075
2023-03-05 17:52:54|WeightedAttributeReduction|PimaIndiansDiabetes|0.32|{4, 21, 7, 23, 24}|0.7891737891737892|66.21385860443115
2023-03-05 17:54:00|WeightedAttributeReduction|PimaIndiansDiabetes|0.34|{18, 19, 4, 21, 7}|0.7692307692307693|66.08228850364685
2023-03-05 17:55:06|WeightedAttributeReduction|PimaIndiansDiabetes|0.36000000000000004|{4, 21, 22, 23, 8}|0.7777777777777778|57.7341673374176
2023-03-05 17:56:04|WeightedAttributeReduction|PimaIndiansDiabetes|0.38000000000000006|{33, 4, 21, 20, 14, 8, 30}|0.7863247863247863|76.3795394897461
2023-03-05 17:57:20|WeightedAttributeReduction|PimaIndiansDiabetes|0.4000000000000001|{2, 4, 21, 29, 30}|0.7891737891737892|56.73498272895813
