结果生成时间|算法名称|数据集名称|半径|约简结果|依赖度|约简时间
2023-03-05 15:13:58|VariableRadiusNeighborhoodRoughSet|Iris|0.02|{0, 2}|150|0.011230945587158203
2023-03-05 15:13:58|VariableRadiusNeighborhoodRoughSet|Iris|0.04|{0, 1, 2}|150|0.013245344161987305
2023-03-05 15:13:58|VariableRadiusNeighborhoodRoughSet|Iris|0.06|{1, 3}|150|0.014000892639160156
2023-03-05 15:13:58|VariableRadiusNeighborhoodRoughSet|Iris|0.08|{0, 1, 3}|150|0.016328096389770508
2023-03-05 15:13:58|VariableRadiusNeighborhoodRoughSet|Iris|0.1|{0, 1, 3}|150|0.01805877685546875
2023-03-05 15:13:58|VariableRadiusNeighborhoodRoughSet|Iris|0.12000000000000001|{0, 1, 2, 3}|150|0.020417451858520508
2023-03-05 15:13:58|VariableRadiusNeighborhoodRoughSet|Iris|0.14|{0, 1, 2, 3}|150|0.019971370697021484
2023-03-05 15:13:58|VariableRadiusNeighborhoodRoughSet|Iris|0.16|{0, 1, 2, 3}|150|0.021199703216552734
2023-03-05 15:13:58|VariableRadiusNeighborhoodRoughSet|Iris|0.18|{0, 1, 2, 3}|149|0.02319169044494629
2023-03-05 15:13:58|VariableRadiusNeighborhoodRoughSet|Iris|0.19999999999999998|{0, 1, 2, 3}|145|0.0271909236907959
2023-03-05 15:13:58|VariableRadiusNeighborhoodRoughSet|Iris|0.21999999999999997|{0, 1, 2, 3}|143|0.02599477767944336
2023-03-05 15:13:58|VariableRadiusNeighborhoodRoughSet|Iris|0.23999999999999996|{0, 1, 2, 3}|137|0.024681568145751953
2023-03-05 15:13:58|VariableRadiusNeighborhoodRoughSet|Iris|0.25999999999999995|{0, 1, 2, 3}|135|0.028139352798461914
2023-03-05 15:13:58|VariableRadiusNeighborhoodRoughSet|Iris|0.27999999999999997|{0, 1, 2, 3}|132|0.028579235076904297
2023-03-05 15:13:58|VariableRadiusNeighborhoodRoughSet|Iris|0.3|{0, 1, 2, 3}|128|0.022862911224365234
2023-03-05 15:13:58|VariableRadiusNeighborhoodRoughSet|Iris|0.32|{0, 1, 2, 3}|123|0.026039600372314453
2023-03-05 15:13:58|VariableRadiusNeighborhoodRoughSet|Iris|0.34|{0, 1, 2, 3}|118|0.029456138610839844
2023-03-05 15:13:58|VariableRadiusNeighborhoodRoughSet|Iris|0.36000000000000004|{0, 1, 2, 3}|110|0.029274702072143555
2023-03-05 15:13:58|VariableRadiusNeighborhoodRoughSet|Iris|0.38000000000000006|{0, 1, 2, 3}|108|0.026945114135742188
2023-03-05 15:13:58|VariableRadiusNeighborhoodRoughSet|Iris|0.4000000000000001|{0, 1, 2, 3}|103|0.02513599395751953
2023-03-05 18:28:39|VariableRadiusNeighborhoodRoughSet|Iris|0.02|{0, 2}|1.0|0.013999700546264648
2023-03-05 18:28:39|VariableRadiusNeighborhoodRoughSet|Iris|0.04|{0, 1, 2}|1.0|0.0232236385345459
2023-03-05 18:28:39|VariableRadiusNeighborhoodRoughSet|Iris|0.06|{1, 3}|1.0|0.01668262481689453
2023-03-05 18:28:39|VariableRadiusNeighborhoodRoughSet|Iris|0.08|{0, 1, 3}|1.0|0.019400835037231445
2023-03-05 18:28:39|VariableRadiusNeighborhoodRoughSet|Iris|0.1|{0, 1, 3}|1.0|0.03492259979248047
2023-03-05 18:28:39|VariableRadiusNeighborhoodRoughSet|Iris|0.12000000000000001|{0, 1, 2, 3}|1.0|0.022770404815673828
2023-03-05 18:28:39|VariableRadiusNeighborhoodRoughSet|Iris|0.14|{0, 1, 2, 3}|1.0|0.0260775089263916
2023-03-05 18:28:39|VariableRadiusNeighborhoodRoughSet|Iris|0.16|{0, 1, 2, 3}|1.0|0.02592301368713379
2023-03-05 18:28:39|VariableRadiusNeighborhoodRoughSet|Iris|0.18|{0, 1, 2, 3}|0.9933333333333333|0.026999950408935547
2023-03-05 18:28:39|VariableRadiusNeighborhoodRoughSet|Iris|0.19999999999999998|{0, 1, 2, 3}|0.9666666666666667|0.027332067489624023
2023-03-05 18:28:39|VariableRadiusNeighborhoodRoughSet|Iris|0.21999999999999997|{0, 1, 2, 3}|0.9533333333333334|0.029000520706176758
2023-03-05 18:28:39|VariableRadiusNeighborhoodRoughSet|Iris|0.23999999999999996|{0, 1, 2, 3}|0.9133333333333333|0.028845787048339844
2023-03-05 18:28:39|VariableRadiusNeighborhoodRoughSet|Iris|0.25999999999999995|{0, 1, 2, 3}|0.9|0.030589818954467773
2023-03-05 18:28:39|VariableRadiusNeighborhoodRoughSet|Iris|0.27999999999999997|{0, 1, 2, 3}|0.88|0.03104853630065918
2023-03-05 18:28:39|VariableRadiusNeighborhoodRoughSet|Iris|0.3|{0, 1, 2, 3}|0.8533333333333334|0.03230023384094238
2023-03-05 18:28:39|VariableRadiusNeighborhoodRoughSet|Iris|0.32|{0, 1, 2, 3}|0.82|0.03453350067138672
2023-03-05 18:28:39|VariableRadiusNeighborhoodRoughSet|Iris|0.34|{0, 1, 2, 3}|0.7866666666666666|0.033997297286987305
2023-03-05 18:28:39|VariableRadiusNeighborhoodRoughSet|Iris|0.36000000000000004|{0, 1, 2, 3}|0.7333333333333333|0.03600001335144043
2023-03-05 18:28:39|VariableRadiusNeighborhoodRoughSet|Iris|0.38000000000000006|{0, 1, 2, 3}|0.72|0.03866934776306152
2023-03-05 18:28:39|VariableRadiusNeighborhoodRoughSet|Iris|0.4000000000000001|{0, 1, 2, 3}|0.6866666666666666|0.04372811317443848
