结果生成时间|算法名称|数据集名称|半径|约简结果|依赖度|约简时间
2023-03-05 15:23:56|RandomSamplingAttribureReduction|BreastTissue|0.02|{2, 3}|1.0|0.01265406608581543
2023-03-05 15:23:56|RandomSamplingAttribureReduction|BreastTissue|0.04|{8, 2, 3, 4}|1.0|0.011909008026123047
2023-03-05 15:23:56|RandomSamplingAttribureReduction|BreastTissue|0.06|{1, 2, 3, 6, 8}|0.9905660377358491|0.012076139450073242
2023-03-05 15:23:56|RandomSamplingAttribureReduction|BreastTissue|0.08|{1, 2, 3, 4, 6, 7, 8}|0.8773584905660378|0.011147499084472656
2023-03-05 15:23:56|RandomSamplingAttribureReduction|BreastTissue|0.1|{0, 1, 2, 3, 6, 7, 8}|0.7264150943396226|0.027785778045654297
2023-03-05 15:23:56|RandomSamplingAttribureReduction|BreastTissue|0.12000000000000001|{0, 1, 2, 3, 4, 6, 7, 8}|0.6509433962264151|0.042000532150268555
2023-03-05 15:23:56|RandomSamplingAttribureReduction|BreastTissue|0.14|{0, 2, 3, 6, 7, 8}|0.5471698113207547|0.02761983871459961
2023-03-05 15:23:56|RandomSamplingAttribureReduction|BreastTissue|0.16|{0, 1, 2, 3, 6, 7, 8}|0.5377358490566038|0.03580117225646973
2023-03-05 15:23:56|RandomSamplingAttribureReduction|BreastTissue|0.18|{0, 1, 2, 3, 4, 6, 7, 8}|0.4811320754716981|0.01916027069091797
2023-03-05 15:23:56|RandomSamplingAttribureReduction|BreastTissue|0.19999999999999998|{0, 1, 2, 3, 4, 5, 6, 7, 8}|0.4339622641509434|0.02431654930114746
2023-03-05 15:23:56|RandomSamplingAttribureReduction|BreastTissue|0.21999999999999997|{2, 3}|0.19811320754716982|0.014816761016845703
2023-03-05 15:23:56|RandomSamplingAttribureReduction|BreastTissue|0.23999999999999996|{2, 3}|0.19811320754716982|0.02022266387939453
2023-03-05 15:23:56|RandomSamplingAttribureReduction|BreastTissue|0.25999999999999995|{2, 3}|0.18867924528301888|0.013026714324951172
2023-03-05 15:23:56|RandomSamplingAttribureReduction|BreastTissue|0.27999999999999997|{2, 3}|0.18867924528301888|0.013545513153076172
2023-03-05 15:23:56|RandomSamplingAttribureReduction|BreastTissue|0.3|{2, 3, 4}|0.18867924528301888|0.014122962951660156
2023-03-05 15:23:56|RandomSamplingAttribureReduction|BreastTissue|0.32|{2, 3, 4}|0.18867924528301888|0.015073060989379883
2023-03-05 15:23:56|RandomSamplingAttribureReduction|BreastTissue|0.34|{2, 3}|0.1792452830188679|0.013051509857177734
2023-03-05 15:23:56|RandomSamplingAttribureReduction|BreastTissue|0.36000000000000004|{2, 3}|0.16981132075471697|0.01437234878540039
2023-03-05 15:23:56|RandomSamplingAttribureReduction|BreastTissue|0.38000000000000006|{2, 3, 6}|0.16981132075471697|0.013451814651489258
2023-03-05 15:23:56|RandomSamplingAttribureReduction|BreastTissue|0.4000000000000001|{2, 3, 6}|0.16037735849056603|0.014777660369873047
