结果生成时间|算法名称|数据集名称|半径|约简结果|依赖度|约简时间
2023-03-05 15:27:28|RandomSamplingAttribureReduction|College|0.02|{2, 3, 4, 7}|1.0|1.03719162940979
2023-03-05 15:27:29|RandomSamplingAttribureReduction|College|0.04|{2, 3, 4, 7, 8}|1.0|0.7452981472015381
2023-03-05 15:27:29|RandomSamplingAttribureReduction|College|0.06|{2, 4, 7, 10, 12}|1.0|0.8400952816009521
2023-03-05 15:27:30|RandomSamplingAttribureReduction|College|0.08|{0, 1, 2}|0.601029601029601|1.0273089408874512
2023-03-05 15:27:31|RandomSamplingAttribureReduction|College|0.1|{0, 1, 2}|0.601029601029601|1.1274082660675049
2023-03-05 15:27:32|RandomSamplingAttribureReduction|College|0.12000000000000001|{0, 1, 2}|0.601029601029601|1.1735494136810303
2023-03-05 15:27:34|RandomSamplingAttribureReduction|College|0.14|{0, 1, 2}|0.601029601029601|1.3306002616882324
2023-03-05 15:27:35|RandomSamplingAttribureReduction|College|0.16|{0, 1, 2}|0.601029601029601|1.3421573638916016
2023-03-05 15:27:36|RandomSamplingAttribureReduction|College|0.18|{0, 1, 2}|0.601029601029601|1.4684984683990479
2023-03-05 15:27:38|RandomSamplingAttribureReduction|College|0.19999999999999998|{0, 1, 2}|0.601029601029601|1.5339114665985107
2023-03-05 15:27:39|RandomSamplingAttribureReduction|College|0.21999999999999997|{0, 1, 2}|0.601029601029601|1.5988202095031738
2023-03-05 15:27:41|RandomSamplingAttribureReduction|College|0.23999999999999996|{0, 1, 2}|0.601029601029601|1.671304702758789
2023-03-05 15:27:43|RandomSamplingAttribureReduction|College|0.25999999999999995|{0, 1, 2}|0.601029601029601|1.643930435180664
2023-03-05 15:27:44|RandomSamplingAttribureReduction|College|0.27999999999999997|{0, 1, 2}|0.601029601029601|1.6945998668670654
2023-03-05 15:27:46|RandomSamplingAttribureReduction|College|0.3|{0, 1, 2}|0.601029601029601|1.6990368366241455
2023-03-05 15:27:48|RandomSamplingAttribureReduction|College|0.32|{0, 1, 2}|0.601029601029601|1.7491307258605957
2023-03-05 15:27:49|RandomSamplingAttribureReduction|College|0.34|{0, 1, 2}|0.601029601029601|1.7945961952209473
2023-03-05 15:27:51|RandomSamplingAttribureReduction|College|0.36000000000000004|{0, 1, 2}|0.601029601029601|1.8092803955078125
2023-03-05 15:27:53|RandomSamplingAttribureReduction|College|0.38000000000000006|{0, 1, 2}|0.601029601029601|1.9094834327697754
2023-03-05 15:27:55|RandomSamplingAttribureReduction|College|0.4000000000000001|{0, 1, 2}|0.601029601029601|2.086691379547119
