结果生成时间|算法名称|数据集名称|半径|约简结果|依赖度|约简时间
2023-03-05 15:24:11|RandomSamplingAttribureReduction|accent|0.02|{2, 3, 5}|1.0|0.06269431114196777
2023-03-05 15:24:11|RandomSamplingAttribureReduction|accent|0.04|{2, 3, 4, 5, 7}|1.0|0.05845451354980469
2023-03-05 15:24:11|RandomSamplingAttribureReduction|accent|0.06|{1, 2, 3, 4, 7}|1.0|0.08310961723327637
2023-03-05 15:24:11|RandomSamplingAttribureReduction|accent|0.08|{1, 2, 3, 4, 7, 10}|1.0|0.0621035099029541
2023-03-05 15:24:11|RandomSamplingAttribureReduction|accent|0.1|{2, 3, 4, 7, 9, 10, 11}|1.0|0.08960175514221191
2023-03-05 15:24:11|RandomSamplingAttribureReduction|accent|0.12000000000000001|{0, 2, 3, 4, 7, 8, 10, 11}|1.0|0.06931924819946289
2023-03-05 15:24:11|RandomSamplingAttribureReduction|accent|0.14|{0, 1, 2, 3, 4, 5, 7, 9, 10, 11}|1.0|0.06112337112426758
2023-03-05 15:24:11|RandomSamplingAttribureReduction|accent|0.16|{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}|0.9604863221884499|0.042914628982543945
2023-03-05 15:24:11|RandomSamplingAttribureReduction|accent|0.18|{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}|0.9331306990881459|0.040833234786987305
2023-03-05 15:24:11|RandomSamplingAttribureReduction|accent|0.19999999999999998|{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}|0.8419452887537994|0.03940773010253906
2023-03-05 15:24:11|RandomSamplingAttribureReduction|accent|0.21999999999999997|{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}|0.7689969604863222|0.03835868835449219
2023-03-05 15:24:11|RandomSamplingAttribureReduction|accent|0.23999999999999996|{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}|0.6413373860182371|0.04009699821472168
2023-03-05 15:24:11|RandomSamplingAttribureReduction|accent|0.25999999999999995|{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}|0.5440729483282675|0.04187321662902832
2023-03-05 15:24:12|RandomSamplingAttribureReduction|accent|0.27999999999999997|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}|0.5987841945288754|0.34097933769226074
2023-03-05 15:24:12|RandomSamplingAttribureReduction|accent|0.3|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}|0.5045592705167173|0.34737062454223633
2023-03-05 15:24:12|RandomSamplingAttribureReduction|accent|0.32|{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}|0.3525835866261398|0.28839969635009766
2023-03-05 15:24:12|RandomSamplingAttribureReduction|accent|0.34|{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}|0.2887537993920973|0.29970383644104004
2023-03-05 15:24:13|RandomSamplingAttribureReduction|accent|0.36000000000000004|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}|0.3282674772036474|0.387587308883667
2023-03-05 15:24:13|RandomSamplingAttribureReduction|accent|0.38000000000000006|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}|0.2674772036474164|0.41854238510131836
2023-03-05 15:24:14|RandomSamplingAttribureReduction|accent|0.4000000000000001|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}|0.23404255319148937|0.3562006950378418
