结果生成时间|算法名称|数据集名称|半径|约简结果|依赖度|约简时间
2023-03-05 15:28:20|RandomSamplingAttribureReduction|german|0.02|{0, 1, 3, 4, 5, 12}|1.0|1.444140911102295
2023-03-05 15:28:22|RandomSamplingAttribureReduction|german|0.04|{0, 1, 3, 4, 5, 7, 12}|1.0|1.6188266277313232
2023-03-05 15:28:23|RandomSamplingAttribureReduction|german|0.06|{0, 1, 2, 3, 4, 7, 10, 12}|1.0|1.5207955837249756
2023-03-05 15:28:25|RandomSamplingAttribureReduction|german|0.08|{0, 1, 2}|0.6|0.8505828380584717
2023-03-05 15:28:26|RandomSamplingAttribureReduction|german|0.1|{0, 1, 2}|0.6|0.9560654163360596
2023-03-05 15:28:27|RandomSamplingAttribureReduction|german|0.12000000000000001|{0, 1, 2}|0.6|1.0555686950683594
2023-03-05 15:28:28|RandomSamplingAttribureReduction|german|0.14|{0, 1, 2}|0.6|1.6938397884368896
2023-03-05 15:28:29|RandomSamplingAttribureReduction|german|0.16|{0, 1, 2}|0.6|1.7279739379882812
2023-03-05 15:28:31|RandomSamplingAttribureReduction|german|0.18|{0, 1, 2}|0.6|1.8126146793365479
2023-03-05 15:28:33|RandomSamplingAttribureReduction|german|0.19999999999999998|{0, 1, 2}|0.6|1.8342304229736328
2023-03-05 15:28:35|RandomSamplingAttribureReduction|german|0.21999999999999997|{0, 1, 2}|0.6|1.8661110401153564
2023-03-05 15:28:37|RandomSamplingAttribureReduction|german|0.23999999999999996|{0, 1, 2}|0.6|1.9344871044158936
2023-03-05 15:28:39|RandomSamplingAttribureReduction|german|0.25999999999999995|{0, 1, 2}|0.6|2.071430206298828
2023-03-05 15:28:41|RandomSamplingAttribureReduction|german|0.27999999999999997|{0, 1, 2}|0.6|2.205030679702759
2023-03-05 15:28:43|RandomSamplingAttribureReduction|german|0.3|{0, 1, 2}|0.6|2.2775862216949463
2023-03-05 15:28:45|RandomSamplingAttribureReduction|german|0.32|{0, 1, 2}|0.6|2.3557984828948975
2023-03-05 15:28:47|RandomSamplingAttribureReduction|german|0.34|{0, 1, 2}|0.6|2.845446825027466
2023-03-05 15:28:50|RandomSamplingAttribureReduction|german|0.36000000000000004|{0, 1, 2}|0.6|3.195204257965088
2023-03-05 15:28:54|RandomSamplingAttribureReduction|german|0.38000000000000006|{0, 1, 2}|0.6|3.3968048095703125
2023-03-05 15:28:57|RandomSamplingAttribureReduction|german|0.4000000000000001|{0, 1, 2}|0.6|3.486668109893799
