结果生成时间|算法名称|数据集名称|半径|约简结果|依赖度|约简时间
2023-03-05 15:25:57|RandomSamplingAttribureReduction|wdbc|0.02|{0, 1, 2, 6}|1.0|0.4864020347595215
2023-03-05 15:25:58|RandomSamplingAttribureReduction|wdbc|0.04|{1, 2, 27, 4}|1.0|0.5086798667907715
2023-03-05 15:25:58|RandomSamplingAttribureReduction|wdbc|0.06|{1, 2, 3, 4, 8, 27}|1.0|0.4965815544128418
2023-03-05 15:25:59|RandomSamplingAttribureReduction|wdbc|0.08|{0, 1, 2, 4, 27, 8, 11}|1.0|0.5062460899353027
2023-03-05 15:25:59|RandomSamplingAttribureReduction|wdbc|0.1|{1, 2, 4, 21, 24, 27, 28}|1.0|0.5761170387268066
2023-03-05 15:26:00|RandomSamplingAttribureReduction|wdbc|0.12000000000000001|{1, 3, 4, 5, 8, 21, 24, 27}|1.0|0.6710708141326904
2023-03-05 15:26:00|RandomSamplingAttribureReduction|wdbc|0.14|{1, 2, 4, 7, 8, 21, 24, 25, 27}|1.0|0.6434903144836426
2023-03-05 15:26:01|RandomSamplingAttribureReduction|wdbc|0.16|{1, 4, 6, 8, 9, 11, 20, 21, 24, 27, 28}|1.0|0.7371461391448975
2023-03-05 15:26:02|RandomSamplingAttribureReduction|wdbc|0.18|{0, 1, 2, 3, 4, 7, 8, 9, 11, 21, 24, 25, 27, 28}|1.0|0.7862293720245361
2023-03-05 15:26:03|RandomSamplingAttribureReduction|wdbc|0.19999999999999998|{1, 2, 3, 4, 7, 8, 9, 11, 17, 18, 21, 24, 25, 26, 27, 29}|1.0|1.0433580875396729
2023-03-05 15:26:04|RandomSamplingAttribureReduction|wdbc|0.21999999999999997|{0}|0.20035149384885764|1.0163946151733398
2023-03-05 15:26:05|RandomSamplingAttribureReduction|wdbc|0.23999999999999996|{0}|0.20035149384885764|0.9677145481109619
2023-03-05 15:26:06|RandomSamplingAttribureReduction|wdbc|0.25999999999999995|{0}|0.20035149384885764|1.003248929977417
2023-03-05 15:26:07|RandomSamplingAttribureReduction|wdbc|0.27999999999999997|{0}|0.20035149384885764|1.2842543125152588
2023-03-05 15:26:08|RandomSamplingAttribureReduction|wdbc|0.3|{0}|0.20035149384885764|1.038116455078125
2023-03-05 15:26:09|RandomSamplingAttribureReduction|wdbc|0.32|{0}|0.20035149384885764|1.0485782623291016
2023-03-05 15:26:10|RandomSamplingAttribureReduction|wdbc|0.34|{0}|0.20035149384885764|1.1304941177368164
2023-03-05 15:26:11|RandomSamplingAttribureReduction|wdbc|0.36000000000000004|{0}|0.20035149384885764|1.3314075469970703
2023-03-05 15:26:12|RandomSamplingAttribureReduction|wdbc|0.38000000000000006|{0}|0.20035149384885764|2.1667685508728027
2023-03-05 15:26:15|RandomSamplingAttribureReduction|wdbc|0.4000000000000001|{0}|0.20035149384885764|2.243256092071533
